"resource","consumer","res.n","res.m","res.phylum","res.class","res.order","res.family","res.genus","con.n","con.m","con.phylum","con.class","con.order","con.family","con.genus","res.method","con.method","N.records","linkevidence","source.id"
"Acari","Acari",745.5197133,0.1,"Arthropoda","Arachnida",,,,745.5197133,0.1,"Arthropoda","Arachnida",,,,"exact","exact",16,"source","Matthew D Green"
"Acari","Agabus",745.5197133,0.1,"Arthropoda","Arachnida",,,,17.32377539,7.651273071,"Arthropoda","Insecta","Coleoptera","Dytiscidae","Agabus","exact","exact",6,"source","Matthew D Green"
"Agabus","Agabus",17.32377539,7.651273071,"Arthropoda","Insecta","Coleoptera","Dytiscidae","Agabus",17.32377539,7.651273071,"Arthropoda","Insecta","Coleoptera","Dytiscidae","Agabus","genus","genus",56,"source","Matthew D Green"
"Baetis","Agabus",18.51851852,0.712555345,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis",17.32377539,7.651273071,"Arthropoda","Insecta","Coleoptera","Dytiscidae","Agabus","family","exact",9,"source","Matthew D Green"
"Baetis","Oligochaeta",18.51851852,0.712555345,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis",93.78733572,0.506640431,"Annelida","Clitellata",,,,"exact","exact",1,"source","Matthew D Green"
"Baetis","Rhyacophila",18.51851852,0.712555345,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis",2.986857825,5.337910712,"Arthropoda","Insecta","Trichoptera","Rhyacophilidae","Rhyacophila","exact","exact",4,"source","Matthew D Green"
"Baetis","Turbellaria",18.51851852,0.712555345,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis",10.75268817,0.030679362,"Platyhelminthes","Turbellaria",,,,"family","exact",1,"source","Matthew D Green"
"Ceratopogon","Agabus",1.792114695,1.154618482,"Arthropoda","Insecta","Diptera","Ceratopogonidae","Ceratopogon",17.32377539,7.651273071,"Arthropoda","Insecta","Coleoptera","Dytiscidae","Agabus","family","exact",3,"source","Matthew D Green"
"Chironomidae","Acari",2403.823178,0.95630662,"Arthropoda","Insecta","Diptera","Chironomidae",,745.5197133,0.1,"Arthropoda","Arachnida",,,,"exact","exact",1,"source","Matthew D Green"
"Chironomidae","Agabus",2403.823178,0.95630662,"Arthropoda","Insecta","Diptera","Chironomidae",,17.32377539,7.651273071,"Arthropoda","Insecta","Coleoptera","Dytiscidae","Agabus","exact","exact",15,"source","Matthew D Green"
"Chironomidae","Chironomidae",2403.823178,0.95630662,"Arthropoda","Insecta","Diptera","Chironomidae",,2403.823178,0.95630662,"Arthropoda","Insecta","Diptera","Chironomidae",,"exact","exact",1,"source","Matthew D Green"
"Chironomidae","Oligochaeta",2403.823178,0.95630662,"Arthropoda","Insecta","Diptera","Chironomidae",,93.78733572,0.506640431,"Annelida","Clitellata",,,,"family","exact",21,"source","Matthew D Green"
"Chironomidae","Prosimulium",2403.823178,0.95630662,"Arthropoda","Insecta","Diptera","Chironomidae",,29.27120669,0.291869328,"Arthropoda","Insecta","Diptera","Simuliidae","Prosimulium","family","exact",6,"source","Matthew D Green"
"Chironomidae","Rhyacophila",2403.823178,0.95630662,"Arthropoda","Insecta","Diptera","Chironomidae",,2.986857825,5.337910712,"Arthropoda","Insecta","Trichoptera","Rhyacophilidae","Rhyacophila","exact","genus",237,"source","Matthew D Green"
