"node","N","M","phylum","class","order","family","genus"
"Acari",2949.820789,0.1,"Arthropoda","Arachnida",,,
"Ameletus",2.38948626,9.08748113,"Arthropoda","Insecta","Ephemeroptera","Ameletidae","Ameletus"
"Baetis",248.5065711,0.712555345,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis"
"Bezzia",7.168458781,0.162619632,"Arthropoda","Insecta","Diptera","Ceratopogonidae","Bezzia"
"Chelifera",43.01075269,0.684825948,"Arthropoda","Insecta","Diptera","Empididae","Chelifera"
"Chironomidae",5106.92951,0.95630662,"Arthropoda","Insecta","Diptera","Chironomidae",
"Dicosmoecus",3.584229391,7.071423253,"Arthropoda","Insecta","Trichoptera","Limnephilidae","Dicosmoecus"
"Dicranota",3.584229391,0.456662436,"Arthropoda","Insecta","Diptera","Tipulidae","Dicranota"
"Diphetor",124.2532855,2.092471648,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Diphetor"
"Doroneuria",62.12664277,47.55178364,"Arthropoda","Insecta","Plecoptera","Perlidae","Doroneuria"
"Epeorus",4.778972521,14.45630938,"Arthropoda","Insecta","Ephemeroptera","Heptageniidae","Epeorus"
"Heterlimnius",236.5591398,0.562121954,"Arthropoda","Insecta","Coleoptera","Elmidae","Heterlimnius"
"Limnophora",2.38948626,0.83633613,"Arthropoda","Insecta","Diptera","Muscidae","Limnophora"
"Oligochaeta",763.4408602,0.506640431,"Annelida","Clitellata",,,
"Ostracoda",4.778972521,0.014,"Arthropoda","Ostracoda",,,
"Paraleptophlebia",202.5089606,1.004883072,"Arthropoda","Insecta","Ephemeroptera","Leptophlebiidae","Paraleptophlebia"
"Parapsyche",4.778972521,7.624553901,"Arthropoda","Insecta","Trichoptera","Hydropsychidae","Parapsyche"
"Pisidium",40.62126643,0.102405857,"Mollusca","Bivalvia","Veneroida","Pisidiidae","Pisidium"
"Rhyacophila",21.50537634,5.337910712,"Arthropoda","Insecta","Trichoptera","Rhyacophilidae","Rhyacophila"
"Sanfilippodytes",1.792114695,0.66911638,"Arthropoda","Insecta","Coleoptera","Dytiscidae","Sanfilippodytes"
"Serratella",8.363201912,1.176798991,"Arthropoda","Insecta","Ephemeroptera","Ephemerellidae","Serratella"
"Simulium",95.57945042,0.357951466,"Arthropoda","Insecta","Diptera","Simuliidae","Simulium"
"Sweltsa",2.38948626,7.797269444,"Arthropoda","Insecta","Plecoptera","Chloroperlidae","Sweltsa"
"Turbellaria",7.168458781,0.030679362,"Platyhelminthes","Turbellaria",,,
"Zapada",14.33691756,0.789662984,"Arthropoda","Insecta","Plecoptera","Nemouridae","Zapada"
"Benthic.producers",1,0.001,,,,"Benthic.producers",
"Pelagic.producers",1,0.001,,,,"Pelagic.producers",
