"resource","consumer","res.n","res.m","res.phylum","res.class","res.order","res.family","res.genus","con.n","con.m","con.phylum","con.class","con.order","con.family","con.genus","res.method","con.method","N.records","linkevidence","source.id"
"Acari","Acari",745.5197133,0.1,"Arthropoda","Arachnida",,,,745.5197133,0.1,"Arthropoda","Arachnida",,,,"exact","exact",16,"source","Matthew D Green"
"Acari","Agabus",745.5197133,0.1,"Arthropoda","Arachnida",,,,17.32377539,7.651273071,"Arthropoda","Insecta","Coleoptera","Dytiscidae","Agabus","exact","exact",6,"source","Matthew D Green"
"Acari","Chironomidae",745.5197133,0.1,"Arthropoda","Arachnida",,,,2403.823178,0.95630662,"Arthropoda","Insecta","Diptera","Chironomidae",,"exact","family",1,"source","Matthew D Green"
"Agabus","Agabus",17.32377539,7.651273071,"Arthropoda","Insecta","Coleoptera","Dytiscidae","Agabus",17.32377539,7.651273071,"Arthropoda","Insecta","Coleoptera","Dytiscidae","Agabus","genus","genus",56,"source","Matthew D Green"
"Agabus","Desmona",17.32377539,7.651273071,"Arthropoda","Insecta","Coleoptera","Dytiscidae","Agabus",10.75268817,11.25992905,"Arthropoda","Insecta","Trichoptera","Limnephilidae","Desmona","family","family",1,"source","Matthew D Green"
"Agabus","Ecclisomyia",17.32377539,7.651273071,"Arthropoda","Insecta","Coleoptera","Dytiscidae","Agabus",1.792114695,9.197155302,"Arthropoda","Insecta","Trichoptera","Limnephilidae","Ecclisomyia","family","family",1,"source","Matthew D Green"
"Agabus","Psychoglypha",17.32377539,7.651273071,"Arthropoda","Insecta","Coleoptera","Dytiscidae","Agabus",0.597371565,10.61210978,"Arthropoda","Insecta","Trichoptera","Limnephilidae","Psychoglypha","family","family",1,"source","Matthew D Green"
"Baetis","Agabus",18.51851852,0.712555345,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis",17.32377539,7.651273071,"Arthropoda","Insecta","Coleoptera","Dytiscidae","Agabus","family","exact",9,"source","Matthew D Green"
"Baetis","Chironomidae",18.51851852,0.712555345,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis",2403.823178,0.95630662,"Arthropoda","Insecta","Diptera","Chironomidae",,"exact","family",10,"source","Matthew D Green"
"Baetis","Desmona",18.51851852,0.712555345,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis",10.75268817,11.25992905,"Arthropoda","Insecta","Trichoptera","Limnephilidae","Desmona","exact","family",2,"source","Matthew D Green"
"Baetis","Ecclisomyia",18.51851852,0.712555345,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis",1.792114695,9.197155302,"Arthropoda","Insecta","Trichoptera","Limnephilidae","Ecclisomyia","exact","family",2,"source","Matthew D Green"
"Baetis","Limonia",18.51851852,0.712555345,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis",1.792114695,2.268208212,"Arthropoda","Insecta","Diptera","Tipulidae","Limonia","exact","family",6,"source","Matthew D Green"
"Baetis","Oligochaeta",18.51851852,0.712555345,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis",93.78733572,0.506640431,"Annelida","Clitellata",,,,"exact","exact",1,"source","Matthew D Green"
"Baetis","Psychoglypha",18.51851852,0.712555345,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis",0.597371565,10.61210978,"Arthropoda","Insecta","Trichoptera","Limnephilidae","Psychoglypha","exact","family",2,"source","Matthew D Green"
