"resource","consumer","res.n","res.m","res.phylum","res.class","res.order","res.family","res.genus","con.n","con.m","con.phylum","con.class","con.order","con.family","con.genus","res.method","con.method","N.records","linkevidence","source.id"
"Acari","Acari",622.4611709,0.1,"Arthropoda","Arachnida",,,,622.4611709,0.1,"Arthropoda","Arachnida",,,,"exact","exact",16,"Proctor, H., & Pritchard, G. (1989). Neglected Predators : Water Mites (Acari: Parasitengona: Hydrachnellae) in Freshwater Communities. Journal of the North American Benthological Society, 8(1), 100�111.",""
"Acari","Chironomidae",622.4611709,0.1,"Arthropoda","Arachnida",,,,18305.85424,0.95630662,"Arthropoda","Insecta","Diptera","Chironomidae",,"exact","family",1,"Proctor, H., & Pritchard, G. (1989). Neglected Predators : Water Mites (Acari: Parasitengona: Hydrachnellae) in Freshwater Communities. Journal of the North American Benthological Society, 8(1), 100�111.",""
"Baetis","Apatania",17.92114695,0.712555345,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis",150.5376344,0.196011748,"Arthropoda","Insecta","Trichoptera","Apataniidae","Apatania","exact","exact",8,"Proctor, H., & Pritchard, G. (1989). Neglected Predators : Water Mites (Acari: Parasitengona: Hydrachnellae) in Freshwater Communities. Journal of the North American Benthological Society, 8(1), 100�111.",""
"Baetis","Chironomidae",17.92114695,0.712555345,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis",18305.85424,0.95630662,"Arthropoda","Insecta","Diptera","Chironomidae",,"exact","family",10,"Proctor, H., & Pritchard, G. (1989). Neglected Predators : Water Mites (Acari: Parasitengona: Hydrachnellae) in Freshwater Communities. Journal of the North American Benthological Society, 8(1), 100�111.",""
"Baetis","Dicosmoecus",17.92114695,0.712555345,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis",3.584229391,7.071423253,"Arthropoda","Insecta","Trichoptera","Limnephilidae","Dicosmoecus","exact","family",2,"Proctor, H., & Pritchard, G. (1989). Neglected Predators : Water Mites (Acari: Parasitengona: Hydrachnellae) in Freshwater Communities. Journal of the North American Benthological Society, 8(1), 100�111.",""
"Baetis","Dicranota",17.92114695,0.712555345,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis",2.38948626,0.456662436,"Arthropoda","Insecta","Diptera","Tipulidae","Dicranota","exact","family",6,"Proctor, H., & Pritchard, G. (1989). Neglected Predators : Water Mites (Acari: Parasitengona: Hydrachnellae) in Freshwater Communities. Journal of the North American Benthological Society, 8(1), 100�111.",""
"Baetis","Doroneuria",17.92114695,0.712555345,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis",25.08960573,47.55178364,"Arthropoda","Insecta","Plecoptera","Perlidae","Doroneuria","exact","exact",1,"Proctor, H., & Pritchard, G. (1989). Neglected Predators : Water Mites (Acari: Parasitengona: Hydrachnellae) in Freshwater Communities. Journal of the North American Benthological Society, 8(1), 100�111.",""
"Baetis","Oligochaeta",17.92114695,0.712555345,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis",338.1123059,0.506640431,"Annelida","Clitellata",,,,"exact","exact",1,"Proctor, H., & Pritchard, G. (1989). Neglected Predators : Water Mites (Acari: Parasitengona: Hydrachnellae) in Freshwater Communities. Journal of the North American Benthological Society, 8(1), 100�111.",""
"Baetis","Parapsyche",17.92114695,0.712555345,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis",1.19474313,7.624553901,"Arthropoda","Insecta","Trichoptera","Hydropsychidae","Parapsyche","exact","genus",1,"Proctor, H., & Pritchard, G. (1989). Neglected Predators : Water Mites (Acari: Parasitengona: Hydrachnellae) in Freshwater Communities. Journal of the North American Benthological Society, 8(1), 100�111.",""
"Baetis","Psychoglypha",17.92114695,0.712555345,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis",25.08960573,10.61210978,"Arthropoda","Insecta","Trichoptera","Limnephilidae","Psychoglypha","exact","family",2,"Proctor, H., & Pritchard, G. (1989). Neglected Predators : Water Mites (Acari: Parasitengona: Hydrachnellae) in Freshwater Communities. Journal of the North American Benthological Society, 8(1), 100�111.",""
"Baetis","Rhyacophila",17.92114695,0.712555345,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis",7.168458781,5.337910712,"Arthropoda","Insecta","Trichoptera","Rhyacophilidae","Rhyacophila","exact","exact",4,"Proctor, H., & Pritchard, G. (1989). Neglected Predators : Water Mites (Acari: Parasitengona: Hydrachnellae) in Freshwater Communities. Journal of the North American Benthological Society, 8(1), 100�111.",""
"Baetis","Suwallia",17.92114695,0.712555345,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis",7.168458781,2.473558448,"Arthropoda","Insecta","Plecoptera","Chloroperlidae","Suwallia","exact","family",17,"Proctor, H., & Pritchard, G. (1989). Neglected Predators : Water Mites (Acari: Parasitengona: Hydrachnellae) in Freshwater Communities. Journal of the North American Benthological Society, 8(1), 100�111.",""
"Baetis","Sweltsa",17.92114695,0.712555345,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis",16.72640382,7.797269444,"Arthropoda","Insecta","Plecoptera","Chloroperlidae","Sweltsa","exact","family",17,"Proctor, H., & Pritchard, G. (1989). Neglected Predators : Water Mites (Acari: Parasitengona: Hydrachnellae) in Freshwater Communities. Journal of the North American Benthological Society, 8(1), 100�111.",""
"Baetis","Turbellaria",17.92114695,0.712555345,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis",68.10035842,0.030679362,"Platyhelminthes","Turbellaria",,,,"family","exact",1,"Proctor, H., & Pritchard, G. (1989). Neglected Predators : Water Mites (Acari: Parasitengona: Hydrachnellae) in Freshwater Communities. Journal of the North American Benthological Society, 8(1), 100�111.",""
