"node","N","M","phylum","class","order","family","genus"
"Acari",6771.804062,0.1,"Arthropoda","Arachnida",,,
"Ameletus",544.8028674,9.08748113,"Arthropoda","Insecta","Ephemeroptera","Ameletidae","Ameletus"
"Antocha",9.557945042,0.185248823,"Arthropoda","Insecta","Diptera","Tipulidae","Antocha"
"Apatania",712.0669056,0.196011748,"Arthropoda","Insecta","Trichoptera","Apataniidae","Apatania"
"Baetis",597.3715651,0.712555345,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis"
"Bezzia",253.2855436,0.162619632,"Arthropoda","Insecta","Diptera","Ceratopogonidae","Bezzia"
"Chironomidae",44688.17204,0.95630662,"Arthropoda","Insecta","Diptera","Chironomidae",
"Cinygma",243.7275986,10.12718881,"Arthropoda","Insecta","Ephemeroptera","Heptageniidae","Cinygma"
"Cinygmula",105.1373955,7.969282283,"Arthropoda","Insecta","Ephemeroptera","Heptageniidae","Cinygmula"
"Clinocera",81.24253286,1.217892125,"Arthropoda","Insecta","Diptera","Empididae","Clinocera"
"Diphetor",358.4229391,2.092471648,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Diphetor"
"Dixa",52.56869773,0.45476966,"Arthropoda","Insecta","Diptera","Dixidae","Dixa"
"Doroneuria",434.8864994,47.55178364,"Arthropoda","Insecta","Plecoptera","Perlidae","Doroneuria"
"Ecclisomyia",14.33691756,9.197155302,"Arthropoda","Insecta","Trichoptera","Limnephilidae","Ecclisomyia"
"Epeorus",9.557945042,14.45630938,"Arthropoda","Insecta","Ephemeroptera","Heptageniidae","Epeorus"
"Limnophora",43.01075269,0.83633613,"Arthropoda","Insecta","Diptera","Muscidae","Limnophora"
"Neoplasta",57.34767025,1.008478441,"Arthropoda","Insecta","Diptera","Empididae","Neoplasta"
"Oligochaeta",5968.936679,0.506640431,"Annelida","Clitellata",,,
"Ostracoda",774.1935484,0.014,"Arthropoda","Ostracoda",,,
"Paraleptophlebia",473.1182796,1.004883072,"Arthropoda","Insecta","Ephemeroptera","Leptophlebiidae","Paraleptophlebia"
"Parapsyche",33.45280765,7.624553901,"Arthropoda","Insecta","Trichoptera","Hydropsychidae","Parapsyche"
"Pisidium",219.832736,0.102405857,"Mollusca","Bivalvia","Veneroida","Pisidiidae","Pisidium"
"Psychoglypha",100.3584229,10.61210978,"Arthropoda","Insecta","Trichoptera","Limnephilidae","Psychoglypha"
"Rhyacophila",262.8434887,5.337910712,"Arthropoda","Insecta","Trichoptera","Rhyacophilidae","Rhyacophila"
"Serratella",148.1481481,1.176798991,"Arthropoda","Insecta","Ephemeroptera","Ephemerellidae","Serratella"
"Simulium",9.557945042,0.357951466,"Arthropoda","Insecta","Diptera","Simuliidae","Simulium"
"Sweltsa",191.1589008,7.797269444,"Arthropoda","Insecta","Plecoptera","Chloroperlidae","Sweltsa"
"Turbellaria",1882.915173,0.030679362,"Platyhelminthes","Turbellaria",,,
"Zapada",296.2962963,0.789662984,"Arthropoda","Insecta","Plecoptera","Nemouridae","Zapada"
"Benthic.producers",1,0.001,,,,"Benthic.producers",
"Pelagic.producers",1,0.001,,,,"Pelagic.producers",
