"node","N","M","phylum","class","order","family","genus"
"Acari",1481.481482,0.1,"Arthropoda","Arachnida",,,
"Agabus",5.376344086,7.651273071,"Arthropoda","Insecta","Coleoptera","Dytiscidae","Agabus"
"Ameletus",1033.452808,9.08748113,"Arthropoda","Insecta","Ephemeroptera","Ameletidae","Ameletus"
"Baetis",5.461682881,0.712555345,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis"
"Callibaetis",1.792114695,3.974439309,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Callibaetis"
"Chironomidae",241.3381123,0.95630662,"Arthropoda","Insecta","Diptera","Chironomidae",
"Desmona",7.765830346,11.25992905,"Arthropoda","Insecta","Trichoptera","Limnephilidae","Desmona"
"Tipulidae",2.38948626,1.212481117,"Arthropoda","Insecta","Diptera","Tipulidae","Monophilus"
"Neoplasta",0.68271036,1.008478441,"Arthropoda","Insecta","Diptera","Empididae","Neoplasta"
"Oligochaeta",168.9708141,0.506640431,"Annelida","Clitellata",,,
"Ostracoda",21.50537634,0.014,"Arthropoda","Ostracoda",,,
"Pedicia",2.38948626,4.905052628,"Arthropoda","Insecta","Diptera","Pediciidae","Pedicia"
"Prosimulium",11.35005974,0.291869328,"Arthropoda","Insecta","Diptera","Simuliidae","Prosimulium"
"Psychoglypha",8.960573477,10.61210978,"Arthropoda","Insecta","Trichoptera","Limnephilidae","Psychoglypha"
"Rhyacophila",18.43317972,5.337910712,"Arthropoda","Insecta","Trichoptera","Rhyacophilidae","Rhyacophila"
"Dytiscidae",12.28878648,0.66911638,"Arthropoda","Insecta","Coleoptera","Dytiscidae","Sanfilippodytes"
"Simulium",53.76344086,0.357951466,"Arthropoda","Insecta","Diptera","Simuliidae","Simulium"
"Stegopterna",117.5115207,2.733149393,"Arthropoda","Insecta","Diptera","Simuliidae","Stegopterna"
