"resource","consumer","res.n","res.m","res.phylum","res.class","res.order","res.family","res.genus","con.n","con.m","con.phylum","con.class","con.order","con.family","con.genus","res.method","con.method","N.records","linkevidence","source.id"
"Acari","Acari",22212.66428,0.1,"Arthropoda","Arachnida",,,,22212.66428,0.1,"Arthropoda","Arachnida",,,,"exact","exact",16,"Proctor, H., & Pritchard, G. (1989). Neglected Predators : Water Mites (Acari: Parasitengona: Hydrachnellae) in Freshwater Communities. Journal of the North American Benthological Society, 8(1), 100�111.",""
"Acari","Agabus",22212.66428,0.1,"Arthropoda","Arachnida",,,,487.4551971,1.067967109,"Arthropoda","Insecta","Coleoptera","Dytiscidae","Agabus","exact","exact",6,"Proctor, H., & Pritchard, G. (1989). Neglected Predators : Water Mites (Acari: Parasitengona: Hydrachnellae) in Freshwater Communities. Journal of the North American Benthological Society, 8(1), 100�111.",""
"Acari","Chironomidae",22212.66428,0.1,"Arthropoda","Arachnida",,,,49357.22819,0.95630662,"Arthropoda","Insecta","Diptera","Chironomidae",,"exact","family",1,"Proctor, H., & Pritchard, G. (1989). Neglected Predators : Water Mites (Acari: Parasitengona: Hydrachnellae) in Freshwater Communities. Journal of the North American Benthological Society, 8(1), 100�111.",""
"Acari","Dytiscidae",22212.66428,0.1,"Arthropoda","Arachnida",,,,76.46356033,0.66911638,"Arthropoda","Insecta","Coleoptera","Dytiscidae","Sanfilippodytes","exact","family",16,"Proctor, H., & Pritchard, G. (1989). Neglected Predators : Water Mites (Acari: Parasitengona: Hydrachnellae) in Freshwater Communities. Journal of the North American Benthological Society, 8(1), 100�111.",""
"Agabus","Agabus",487.4551971,1.067967109,"Arthropoda","Insecta","Coleoptera","Dytiscidae","Agabus",487.4551971,1.067967109,"Arthropoda","Insecta","Coleoptera","Dytiscidae","Agabus","genus","genus",56,"Proctor, H., & Pritchard, G. (1989). Neglected Predators : Water Mites (Acari: Parasitengona: Hydrachnellae) in Freshwater Communities. Journal of the North American Benthological Society, 8(1), 100�111.",""
"Agabus","Ecclisomyia",487.4551971,1.067967109,"Arthropoda","Insecta","Coleoptera","Dytiscidae","Agabus",28.67383513,9.197155302,"Arthropoda","Insecta","Trichoptera","Limnephilidae","Ecclisomyia","family","family",1,"Proctor, H., & Pritchard, G. (1989). Neglected Predators : Water Mites (Acari: Parasitengona: Hydrachnellae) in Freshwater Communities. Journal of the North American Benthological Society, 8(1), 100�111.",""
"Agabus","Psychoglypha",487.4551971,1.067967109,"Arthropoda","Insecta","Coleoptera","Dytiscidae","Agabus",28.67383513,10.61210978,"Arthropoda","Insecta","Trichoptera","Limnephilidae","Psychoglypha","family","family",1,"Proctor, H., & Pritchard, G. (1989). Neglected Predators : Water Mites (Acari: Parasitengona: Hydrachnellae) in Freshwater Communities. Journal of the North American Benthological Society, 8(1), 100�111.",""
"Agabus","Dytiscidae",487.4551971,1.067967109,"Arthropoda","Insecta","Coleoptera","Dytiscidae","Agabus",76.46356033,0.66911638,"Arthropoda","Insecta","Coleoptera","Dytiscidae","Sanfilippodytes","exact","family",8,"Proctor, H., & Pritchard, G. (1989). Neglected Predators : Water Mites (Acari: Parasitengona: Hydrachnellae) in Freshwater Communities. Journal of the North American Benthological Society, 8(1), 100�111.",""
"Ameletus","Agabus",382.3178017,9.08748113,"Arthropoda","Insecta","Ephemeroptera","Ameletidae","Ameletus",487.4551971,1.067967109,"Arthropoda","Insecta","Coleoptera","Dytiscidae","Agabus","exact","exact",6,"Proctor, H., & Pritchard, G. (1989). Neglected Predators : Water Mites (Acari: Parasitengona: Hydrachnellae) in Freshwater Communities. Journal of the North American Benthological Society, 8(1), 100�111.",""
"Ameletus","Dytiscidae",382.3178017,9.08748113,"Arthropoda","Insecta","Ephemeroptera","Ameletidae","Ameletus",76.46356033,0.66911638,"Arthropoda","Insecta","Coleoptera","Dytiscidae","Sanfilippodytes","exact","family",9,"Proctor, H., & Pritchard, G. (1989). Neglected Predators : Water Mites (Acari: Parasitengona: Hydrachnellae) in Freshwater Communities. Journal of the North American Benthological Society, 8(1), 100�111.",""
"Baetis","Agabus",372.7598566,0.712555345,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis",487.4551971,1.067967109,"Arthropoda","Insecta","Coleoptera","Dytiscidae","Agabus","family","exact",9,"Proctor, H., & Pritchard, G. (1989). Neglected Predators : Water Mites (Acari: Parasitengona: Hydrachnellae) in Freshwater Communities. Journal of the North American Benthological Society, 8(1), 100�111.",""
"Baetis","Chironomidae",372.7598566,0.712555345,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis",49357.22819,0.95630662,"Arthropoda","Insecta","Diptera","Chironomidae",,"exact","family",10,"Proctor, H., & Pritchard, G. (1989). Neglected Predators : Water Mites (Acari: Parasitengona: Hydrachnellae) in Freshwater Communities. Journal of the North American Benthological Society, 8(1), 100�111.",""
