"node","N","M","phylum","class","order","family","genus"
"Acari",108.7216248,0.1,"Arthropoda","Arachnida",,,
"Agabus",27.479092,7.651273071,"Arthropoda","Insecta","Coleoptera","Dytiscidae","Agabus"
"Arctocorisa",0.597371565,2.055659406,"Arthropoda","Insecta","Hemiptera","Corixidae","Arctocorisa"
"Atrichopogon",1.792114695,0.162619632,"Arthropoda","Insecta","Diptera","Ceratopogonidae","Atrichopogon"
"Baetis",8.363201912,0.712555345,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis"
"Chelifera",1.792114695,0.684825948,"Arthropoda","Insecta","Diptera","Empididae","Chelifera"
"Chironomidae",4968.339307,0.95630662,"Arthropoda","Insecta","Diptera","Chironomidae",
"Clinocera",2.986857826,1.217892125,"Arthropoda","Insecta","Diptera","Empididae","Clinocera"
"Desmona",6.571087216,11.25992905,"Arthropoda","Insecta","Trichoptera","Limnephilidae","Desmona"
"Dicosmoecus",4.181600956,7.071423253,"Arthropoda","Insecta","Trichoptera","Limnephilidae","Dicosmoecus"
"Dicranota",5.376344086,0.456662436,"Arthropoda","Insecta","Diptera","Tipulidae","Dicranota"
"Graptocorixa",1.792114695,2.055659406,"Arthropoda","Insecta","Hemiptera","Corixidae","Graptocorixa"
"Limnophora",43.01075269,0.83633613,"Arthropoda","Insecta","Diptera","Muscidae","Limnophora"
"Limonia",6.571087216,2.268208212,"Arthropoda","Insecta","Diptera","Tipulidae","Limonia"
"Metacnephia",3.584229391,0.185290381,"Arthropoda","Insecta","Diptera","Simuliidae","Metacnephia"
"Monohelea",2.986857826,0.162619632,"Arthropoda","Insecta","Diptera","Ceratopogonidae","Monohelea"
"Oligochaeta",459.3787336,0.506640431,"Annelida","Clitellata",,,
"Ormosia",1.792114695,1.317877693,"Arthropoda","Insecta","Diptera","Tipulidae","Ormosia"
"Ostracoda",49.5818399,0.014,"Arthropoda","Ostracoda",,,
"Paraleptophlebia",7.168458781,1.004883072,"Arthropoda","Insecta","Ephemeroptera","Leptophlebiidae","Paraleptophlebia"
"Prosimulium",299.8805257,0.291869328,"Arthropoda","Insecta","Diptera","Simuliidae","Prosimulium"
"Sanfilippodytes",43.01075269,0.66911638,"Arthropoda","Insecta","Coleoptera","Dytiscidae","Sanfilippodytes"
"Simulium",1.19474313,0.357951466,"Arthropoda","Insecta","Diptera","Simuliidae","Simulium"
"Stegopterna",231.7801673,2.733149393,"Arthropoda","Insecta","Diptera","Simuliidae","Stegopterna"
"Suwallia",0.597371565,2.473558448,"Arthropoda","Insecta","Plecoptera","Chloroperlidae","Suwallia"
"Turbellaria",10.15531661,0.030679362,"Platyhelminthes","Turbellaria",,,
