"node","N","M","phylum","class","order","family","genus"
"Acari",484.4285145,0.1,"Arthropoda","Arachnida",,,
"Ameletus",7.168458781,9.08748113,"Arthropoda","Insecta","Ephemeroptera","Ameletidae","Ameletus"
"Apatania",2.867383513,0.196011748,"Arthropoda","Insecta","Trichoptera","Apataniidae","Apatania"
"Baetis",184.7869375,0.712555345,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis"
"Bezzia",49.62166468,0.162619632,"Arthropoda","Insecta","Diptera","Ceratopogonidae","Bezzia"
"Chironomidae",782.7956989,0.95630662,"Arthropoda","Insecta","Diptera","Chironomidae",
"Cinygmula",19.51413779,7.969282283,"Arthropoda","Insecta","Ephemeroptera","Heptageniidae","Cinygmula"
"Clinocera",3.982477101,1.217892125,"Arthropoda","Insecta","Diptera","Empididae","Clinocera"
"Diphetor",64.75507766,2.092471648,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Diphetor"
"Doroneuria",26.28434886,47.55178364,"Arthropoda","Insecta","Plecoptera","Perlidae","Doroneuria"
"Drunella",1.19474313,4.884692448,"Arthropoda","Insecta","Ephemeroptera","Ephemerellidae","Drunella"
"Ecclisomyia",2.867383513,9.197155302,"Arthropoda","Insecta","Trichoptera","Limnephilidae","Ecclisomyia"
"Epeorus",6.770211071,14.45630938,"Arthropoda","Insecta","Ephemeroptera","Heptageniidae","Epeorus"
"Micrasema",4.380724811,5.45856005,"Arthropoda","Insecta","Trichoptera","Brachycentridae","Micrasema"
"Neoplasta",4.778972521,1.008478441,"Arthropoda","Insecta","Diptera","Empididae","Neoplasta"
"Oligochaeta",968.1401832,0.506640431,"Annelida","Clitellata",,,
"Ostracoda",190.3624054,0.014,"Arthropoda","Ostracoda",,,
"Paraleptophlebia",45.47988849,1.004883072,"Arthropoda","Insecta","Ephemeroptera","Leptophlebiidae","Paraleptophlebia"
"Parapsyche",12.34567901,7.624553901,"Arthropoda","Insecta","Trichoptera","Hydropsychidae","Parapsyche"
"Pisidium",283.9506173,0.102405857,"Mollusca","Bivalvia","Veneroida","Pisidiidae","Pisidium"
"Psychoglypha",36.00159299,10.61210978,"Arthropoda","Insecta","Trichoptera","Limnephilidae","Psychoglypha"
"Rhyacophila",8.363201912,5.337910712,"Arthropoda","Insecta","Trichoptera","Rhyacophilidae","Rhyacophila"
"Serratella",5.973715651,1.176798991,"Arthropoda","Insecta","Ephemeroptera","Ephemerellidae","Serratella"
"Simulium",1.59299084,0.357951466,"Arthropoda","Insecta","Diptera","Simuliidae","Simulium"
"Suwallia",1.59299084,2.473558448,"Arthropoda","Insecta","Plecoptera","Chloroperlidae","Suwallia"
"Sweltsa",27.00119474,7.797269444,"Arthropoda","Insecta","Plecoptera","Chloroperlidae","Sweltsa"
"Turbellaria",107.8454799,0.030679362,"Platyhelminthes","Turbellaria",,,
"Yoraperla",1.59299084,2.51842527,"Arthropoda","Insecta","Plecoptera","Peltoperlidae","Yoraperla"
"Zapada",56.94942254,0.789662984,"Arthropoda","Insecta","Plecoptera","Nemouridae","Zapada"
