"resource","consumer","res.taxonomic_name","res.m","res.network","res.o.net","res.site","res.n","res.phylum","res.class","res.order","res.family","res.genus","res.resolved.to","con.taxonomic_name","con.m","con.network","con.o.net","con.site","con.n","con.phylum","con.class","con.order","con.family","con.genus","con.resolved.to","res.method","con.method","N.records","linkevidence","source.id"
"Acari","Acari","Acari",0.1,"BUBBS","BUBBS","Outlet.Vidette.below.2011",484.4285145,"Arthropoda","Arachnida",,,,"Class","Acari",0.1,"BUBBS","BUBBS","Outlet.Vidette.below.2011",484.4285145,"Arthropoda","Arachnida",,,,"Class","exact","exact",16,"Proctor, H., & Pritchard, G. (1989). Neglected Predators : Water Mites (Acari: Parasitengona: Hydrachnellae) in Freshwater Communities. Journal of the North American Benthological Society, 8(1), 100�111.",""
"Acari","Chironomidae","Acari",0.1,"BUBBS","BUBBS","Outlet.Vidette.below.2011",484.4285145,"Arthropoda","Arachnida",,,,"Class","Chironomidae",0.95630662,"BUBBS","BUBBS","Outlet.Vidette.below.2011",782.7956989,"Arthropoda","Insecta","Diptera","Chironomidae",,"Family","exact","family",1,"Proctor, H., & Pritchard, G. (1989). Neglected Predators : Water Mites (Acari: Parasitengona: Hydrachnellae) in Freshwater Communities. Journal of the North American Benthological Society, 8(1), 100�111.",""
"Baetis","Apatania","Baetis",0.712555345,"BUBBS","BUBBS","Outlet.Vidette.below.2011",184.7869375,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis","Genus","Apatania",0.196011748,"BUBBS","BUBBS","Outlet.Vidette.below.2011",2.867383513,"Arthropoda","Insecta","Trichoptera","Apataniidae","Apatania","Genus","exact","exact",8,"Proctor, H., & Pritchard, G. (1989). Neglected Predators : Water Mites (Acari: Parasitengona: Hydrachnellae) in Freshwater Communities. Journal of the North American Benthological Society, 8(1), 100�111.",""
"Baetis","Chironomidae","Baetis",0.712555345,"BUBBS","BUBBS","Outlet.Vidette.below.2011",184.7869375,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis","Genus","Chironomidae",0.95630662,"BUBBS","BUBBS","Outlet.Vidette.below.2011",782.7956989,"Arthropoda","Insecta","Diptera","Chironomidae",,"Family","exact","family",10,"Proctor, H., & Pritchard, G. (1989). Neglected Predators : Water Mites (Acari: Parasitengona: Hydrachnellae) in Freshwater Communities. Journal of the North American Benthological Society, 8(1), 100�111.",""
"Baetis","Doroneuria","Baetis",0.712555345,"BUBBS","BUBBS","Outlet.Vidette.below.2011",184.7869375,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis","Genus","Doroneuria",47.55178364,"BUBBS","BUBBS","Outlet.Vidette.below.2011",26.28434886,"Arthropoda","Insecta","Plecoptera","Perlidae","Doroneuria","Genus","exact","exact",1,"Proctor, H., & Pritchard, G. (1989). Neglected Predators : Water Mites (Acari: Parasitengona: Hydrachnellae) in Freshwater Communities. Journal of the North American Benthological Society, 8(1), 100�111.",""
"Baetis","Ecclisomyia","Baetis",0.712555345,"BUBBS","BUBBS","Outlet.Vidette.below.2011",184.7869375,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis","Genus","Ecclisomyia",9.197155302,"BUBBS","BUBBS","Outlet.Vidette.below.2011",2.867383513,"Arthropoda","Insecta","Trichoptera","Limnephilidae","Ecclisomyia","Genus","exact","family",2,"Proctor, H., & Pritchard, G. (1989). Neglected Predators : Water Mites (Acari: Parasitengona: Hydrachnellae) in Freshwater Communities. Journal of the North American Benthological Society, 8(1), 100�111.",""
"Baetis","Oligochaeta","Baetis",0.712555345,"BUBBS","BUBBS","Outlet.Vidette.below.2011",184.7869375,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis","Genus","Oligochaeta",0.506640431,"BUBBS","BUBBS","Outlet.Vidette.below.2011",968.1401832,"Annelida","Clitellata",,,,"Subclass","exact","exact",1,"Proctor, H., & Pritchard, G. (1989). Neglected Predators : Water Mites (Acari: Parasitengona: Hydrachnellae) in Freshwater Communities. Journal of the North American Benthological Society, 8(1), 100�111.",""
"Baetis","Parapsyche","Baetis",0.712555345,"BUBBS","BUBBS","Outlet.Vidette.below.2011",184.7869375,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis","Genus","Parapsyche",7.624553901,"BUBBS","BUBBS","Outlet.Vidette.below.2011",12.34567901,"Arthropoda","Insecta","Trichoptera","Hydropsychidae","Parapsyche","Genus","exact","genus",1,"Proctor, H., & Pritchard, G. (1989). Neglected Predators : Water Mites (Acari: Parasitengona: Hydrachnellae) in Freshwater Communities. Journal of the North American Benthological Society, 8(1), 100�111.",""
"Baetis","Psychoglypha","Baetis",0.712555345,"BUBBS","BUBBS","Outlet.Vidette.below.2011",184.7869375,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis","Genus","Psychoglypha",10.61210978,"BUBBS","BUBBS","Outlet.Vidette.below.2011",36.00159299,"Arthropoda","Insecta","Trichoptera","Limnephilidae","Psychoglypha","Genus","exact","family",2,"Proctor, H., & Pritchard, G. (1989). Neglected Predators : Water Mites (Acari: Parasitengona: Hydrachnellae) in Freshwater Communities. Journal of the North American Benthological Society, 8(1), 100�111.",""
"Baetis","Rhyacophila","Baetis",0.712555345,"BUBBS","BUBBS","Outlet.Vidette.below.2011",184.7869375,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis","Genus","Rhyacophila",5.337910712,"BUBBS","BUBBS","Outlet.Vidette.below.2011",8.363201912,"Arthropoda","Insecta","Trichoptera","Rhyacophilidae","Rhyacophila","Genus","exact","exact",4,"Proctor, H., & Pritchard, G. (1989). Neglected Predators : Water Mites (Acari: Parasitengona: Hydrachnellae) in Freshwater Communities. Journal of the North American Benthological Society, 8(1), 100�111.",""
"Baetis","Suwallia","Baetis",0.712555345,"BUBBS","BUBBS","Outlet.Vidette.below.2011",184.7869375,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis","Genus","Suwallia",2.473558448,"BUBBS","BUBBS","Outlet.Vidette.below.2011",1.59299084,"Arthropoda","Insecta","Plecoptera","Chloroperlidae","Suwallia","Genus","exact","family",17,"Proctor, H., & Pritchard, G. (1989). Neglected Predators : Water Mites (Acari: Parasitengona: Hydrachnellae) in Freshwater Communities. Journal of the North American Benthological Society, 8(1), 100�111.",""
"Baetis","Sweltsa","Baetis",0.712555345,"BUBBS","BUBBS","Outlet.Vidette.below.2011",184.7869375,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis","Genus","Sweltsa",7.797269444,"BUBBS","BUBBS","Outlet.Vidette.below.2011",27.00119474,"Arthropoda","Insecta","Plecoptera","Chloroperlidae","Sweltsa","Genus","exact","family",17,"Proctor, H., & Pritchard, G. (1989). Neglected Predators : Water Mites (Acari: Parasitengona: Hydrachnellae) in Freshwater Communities. Journal of the North American Benthological Society, 8(1), 100�111.",""
