"resource","consumer","res.n","res.m","res.phylum","res.class","res.order","res.family","res.genus","con.n","con.m","con.phylum","con.class","con.order","con.family","con.genus","res.method","con.method","N.records","linkevidence","source.id"
"Acari","Acari",6771.804062,0.1,"Arthropoda","Arachnida",,,,6771.804062,0.1,"Arthropoda","Arachnida",,,,"exact","exact",16,"Proctor, H., & Pritchard, G. (1989). Neglected Predators : Water Mites (Acari: Parasitengona: Hydrachnellae) in Freshwater Communities. Journal of the North American Benthological Society, 8(1), 100�111.",""
"Acari","Chironomidae",6771.804062,0.1,"Arthropoda","Arachnida",,,,44688.17204,0.95630662,"Arthropoda","Insecta","Diptera","Chironomidae",,"exact","family",1,"Proctor, H., & Pritchard, G. (1989). Neglected Predators : Water Mites (Acari: Parasitengona: Hydrachnellae) in Freshwater Communities. Journal of the North American Benthological Society, 8(1), 100�111.",""
"Antocha","Antocha",9.557945042,0.185248823,"Arthropoda","Insecta","Diptera","Tipulidae","Antocha",9.557945042,0.185248823,"Arthropoda","Insecta","Diptera","Tipulidae","Antocha","family","family",1,"Proctor, H., & Pritchard, G. (1989). Neglected Predators : Water Mites (Acari: Parasitengona: Hydrachnellae) in Freshwater Communities. Journal of the North American Benthological Society, 8(1), 100�111.",""
"Baetis","Antocha",597.3715651,0.712555345,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis",9.557945042,0.185248823,"Arthropoda","Insecta","Diptera","Tipulidae","Antocha","exact","family",6,"Proctor, H., & Pritchard, G. (1989). Neglected Predators : Water Mites (Acari: Parasitengona: Hydrachnellae) in Freshwater Communities. Journal of the North American Benthological Society, 8(1), 100�111.",""
"Baetis","Apatania",597.3715651,0.712555345,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis",712.0669056,0.196011748,"Arthropoda","Insecta","Trichoptera","Apataniidae","Apatania","exact","exact",8,"Proctor, H., & Pritchard, G. (1989). Neglected Predators : Water Mites (Acari: Parasitengona: Hydrachnellae) in Freshwater Communities. Journal of the North American Benthological Society, 8(1), 100�111.",""
"Baetis","Chironomidae",597.3715651,0.712555345,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis",44688.17204,0.95630662,"Arthropoda","Insecta","Diptera","Chironomidae",,"exact","family",10,"Proctor, H., & Pritchard, G. (1989). Neglected Predators : Water Mites (Acari: Parasitengona: Hydrachnellae) in Freshwater Communities. Journal of the North American Benthological Society, 8(1), 100�111.",""
"Baetis","Doroneuria",597.3715651,0.712555345,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis",434.8864994,47.55178364,"Arthropoda","Insecta","Plecoptera","Perlidae","Doroneuria","exact","exact",1,"Proctor, H., & Pritchard, G. (1989). Neglected Predators : Water Mites (Acari: Parasitengona: Hydrachnellae) in Freshwater Communities. Journal of the North American Benthological Society, 8(1), 100�111.",""
"Baetis","Ecclisomyia",597.3715651,0.712555345,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis",14.33691756,9.197155302,"Arthropoda","Insecta","Trichoptera","Limnephilidae","Ecclisomyia","exact","family",2,"Proctor, H., & Pritchard, G. (1989). Neglected Predators : Water Mites (Acari: Parasitengona: Hydrachnellae) in Freshwater Communities. Journal of the North American Benthological Society, 8(1), 100�111.",""
"Baetis","Oligochaeta",597.3715651,0.712555345,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis",5968.936679,0.506640431,"Annelida","Clitellata",,,,"exact","exact",1,"Proctor, H., & Pritchard, G. (1989). Neglected Predators : Water Mites (Acari: Parasitengona: Hydrachnellae) in Freshwater Communities. Journal of the North American Benthological Society, 8(1), 100�111.",""
"Baetis","Parapsyche",597.3715651,0.712555345,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis",33.45280765,7.624553901,"Arthropoda","Insecta","Trichoptera","Hydropsychidae","Parapsyche","exact","genus",1,"Proctor, H., & Pritchard, G. (1989). Neglected Predators : Water Mites (Acari: Parasitengona: Hydrachnellae) in Freshwater Communities. Journal of the North American Benthological Society, 8(1), 100�111.",""
"Baetis","Psychoglypha",597.3715651,0.712555345,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis",100.3584229,10.61210978,"Arthropoda","Insecta","Trichoptera","Limnephilidae","Psychoglypha","exact","family",2,"Proctor, H., & Pritchard, G. (1989). Neglected Predators : Water Mites (Acari: Parasitengona: Hydrachnellae) in Freshwater Communities. Journal of the North American Benthological Society, 8(1), 100�111.",""
