"node","density","phylum","class","order","family","genus"
"Acari",1479.091995,"Arthropoda","Arachnida",,,
"Ameletus",1.19474313,"Arthropoda","Insecta","Ephemeroptera","Ameletidae","Ameletus"
"Baetis",16.72640382,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis"
"Chironomidae",5290.919952,"Arthropoda","Insecta","Diptera","Chironomidae",
"Desmona",6.571087216,"Arthropoda","Insecta","Trichoptera","Limnephilidae","Desmona"
"Oligochaeta",35.24492234,"Annelida","Clitellata",,,
"Oreodytes",8.960573477,"Arthropoda","Insecta","Coleoptera","Dytiscidae","Oreodytes"
"Rhyacophila",8.960573477,"Arthropoda","Insecta","Trichoptera","Rhyacophilidae","Rhyacophila"
"Sialis",3.584229391,"Arthropoda","Insecta","Megaloptera","Sialidae","Sialis"
"Simulium",3.584229391,"Arthropoda","Insecta","Diptera","Simuliidae","Simulium"
"Stegopterna",30.46594982,"Arthropoda","Insecta","Diptera","Simuliidae","Stegopterna"
"Muscidae",22.10274791,"Arthropoda","Insecta","Diptera","Muscidae","Limnophora"
"Limnephilidae",1.19474313,"Arthropoda","Insecta","Trichoptera","Limnephilidae","Psychoglypha"
"Dytiscidae",8.363201912,"Arthropoda","Insecta","Coleoptera","Dytiscidae","Sanfilippodytes"
