"resource","consumer","res.density","res.phylum","res.class","res.order","res.family","res.genus","con.density","con.phylum","con.class","con.order","con.family","con.genus","res.method","con.method","N.records","linkevidence","source.id"
"Acari","Acari",108.7216248,"Arthropoda","Arachnida",,,,108.7216248,"Arthropoda","Arachnida",,,,"exact","exact",8,"source","http://iNaturalist.org is a place where you can record what you see in nature, meet other nature lovers, and learn about the natural world."
"Acari","Agabus",108.7216248,"Arthropoda","Arachnida",,,,27.479092,"Arthropoda","Insecta","Coleoptera","Dytiscidae","Agabus","exact","exact",1,"source","http://iNaturalist.org is a place where you can record what you see in nature, meet other nature lovers, and learn about the natural world."
"Acari","Dytiscidae",108.7216248,"Arthropoda","Arachnida",,,,43.01075269,"Arthropoda","Insecta","Coleoptera","Dytiscidae","Sanfilippodytes","exact","family",2,"source","http://iNaturalist.org is a place where you can record what you see in nature, meet other nature lovers, and learn about the natural world."
"Agabus","Agabus",27.479092,"Arthropoda","Insecta","Coleoptera","Dytiscidae","Agabus",27.479092,"Arthropoda","Insecta","Coleoptera","Dytiscidae","Agabus","genus","genus",22,"source","http://iNaturalist.org is a place where you can record what you see in nature, meet other nature lovers, and learn about the natural world."
"Agabus","Dytiscidae",27.479092,"Arthropoda","Insecta","Coleoptera","Dytiscidae","Agabus",43.01075269,"Arthropoda","Insecta","Coleoptera","Dytiscidae","Sanfilippodytes","genus","family",22,"source","http://iNaturalist.org is a place where you can record what you see in nature, meet other nature lovers, and learn about the natural world."
"Baetis","Agabus",8.363201912,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis",27.479092,"Arthropoda","Insecta","Coleoptera","Dytiscidae","Agabus","family","exact",2,"source","http://iNaturalist.org is a place where you can record what you see in nature, meet other nature lovers, and learn about the natural world."
"Baetis","Chironomidae",8.363201912,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis",4968.339307,"Arthropoda","Insecta","Diptera","Chironomidae",,"exact","family",4,"source","http://iNaturalist.org is a place where you can record what you see in nature, meet other nature lovers, and learn about the natural world."
"Baetis","Dytiscidae",8.363201912,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis",43.01075269,"Arthropoda","Insecta","Coleoptera","Dytiscidae","Sanfilippodytes","family","family",3,"source","http://iNaturalist.org is a place where you can record what you see in nature, meet other nature lovers, and learn about the natural world."
"Baetis","Oligochaeta",8.363201912,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis",459.3787336,"Annelida","Clitellata",,,,"exact","exact",1,"source","http://iNaturalist.org is a place where you can record what you see in nature, meet other nature lovers, and learn about the natural world."
"Ceratopogonidae","Agabus",4.778972521,,,,,,27.479092,"Arthropoda","Insecta","Coleoptera","Dytiscidae","Agabus","exact","exact",1,"source","http://iNaturalist.org is a place where you can record what you see in nature, meet other nature lovers, and learn about the natural world."
"Ceratopogonidae","Dytiscidae",4.778972521,,,,,,43.01075269,"Arthropoda","Insecta","Coleoptera","Dytiscidae","Sanfilippodytes","exact","family",2,"source","http://iNaturalist.org is a place where you can record what you see in nature, meet other nature lovers, and learn about the natural world."
"Chironomidae","Agabus",4968.339307,"Arthropoda","Insecta","Diptera","Chironomidae",,27.479092,"Arthropoda","Insecta","Coleoptera","Dytiscidae","Agabus","exact","exact",4,"source","http://iNaturalist.org is a place where you can record what you see in nature, meet other nature lovers, and learn about the natural world."
"Chironomidae","Chironomidae",4968.339307,"Arthropoda","Insecta","Diptera","Chironomidae",,4968.339307,"Arthropoda","Insecta","Diptera","Chironomidae",,"exact","family",1,"source","http://iNaturalist.org is a place where you can record what you see in nature, meet other nature lovers, and learn about the natural world."
"Chironomidae","Desmona",4968.339307,"Arthropoda","Insecta","Diptera","Chironomidae",,6.571087216,"Arthropoda","Insecta","Trichoptera","Limnephilidae","Desmona","family","family",12,"source","http://iNaturalist.org is a place where you can record what you see in nature, meet other nature lovers, and learn about the natural world."
"Chironomidae","Dicranota",4968.339307,"Arthropoda","Insecta","Diptera","Chironomidae",,5.376344086,"Arthropoda","Insecta","Diptera","Tipulidae","Dicranota","family","exact",23,"source","http://iNaturalist.org is a place where you can record what you see in nature, meet other nature lovers, and learn about the natural world."
"Chironomidae","Dytiscidae",4968.339307,"Arthropoda","Insecta","Diptera","Chironomidae",,43.01075269,"Arthropoda","Insecta","Coleoptera","Dytiscidae","Sanfilippodytes","exact","family",27,"source","http://iNaturalist.org is a place where you can record what you see in nature, meet other nature lovers, and learn about the natural world."
"Chironomidae","Limnephilidae",4968.339307,"Arthropoda","Insecta","Diptera","Chironomidae",,4.181600956,"Arthropoda","Insecta","Trichoptera","Limnephilidae","Dicosmoecus","family","family",12,"source","http://iNaturalist.org is a place where you can record what you see in nature, meet other nature lovers, and learn about the natural world."
"Chironomidae","Oligochaeta",4968.339307,"Arthropoda","Insecta","Diptera","Chironomidae",,459.3787336,"Annelida","Clitellata",,,,"family","exact",21,"source","http://iNaturalist.org is a place where you can record what you see in nature, meet other nature lovers, and learn about the natural world."
"Chironomidae","Prosimulium",4968.339307,"Arthropoda","Insecta","Diptera","Chironomidae",,299.8805257,"Arthropoda","Insecta","Diptera","Simuliidae","Prosimulium","family","exact",1,"source","http://iNaturalist.org is a place where you can record what you see in nature, meet other nature lovers, and learn about the natural world."
"Chironomidae","Simuliidae",4968.339307,"Arthropoda","Insecta","Diptera","Chironomidae",,3.584229391,"Arthropoda","Insecta","Diptera","Simuliidae","Metacnephia","family","exact",15,"source","http://iNaturalist.org is a place where you can record what you see in nature, meet other nature lovers, and learn about the natural world."
"Chironomidae","Simulium",4968.339307,"Arthropoda","Insecta","Diptera","Chironomidae",,1.19474313,"Arthropoda","Insecta","Diptera","Simuliidae","Simulium","exact","exact",1,"source","http://iNaturalist.org is a place where you can record what you see in nature, meet other nature lovers, and learn about the natural world."
"Chironomidae","Stegopterna",4968.339307,"Arthropoda","Insecta","Diptera","Chironomidae",,231.7801673,"Arthropoda","Insecta","Diptera","Simuliidae","Stegopterna","exact","family",1,"source","http://iNaturalist.org is a place where you can record what you see in nature, meet other nature lovers, and learn about the natural world."
"Chironomidae","Suwallia",4968.339307,"Arthropoda","Insecta","Diptera","Chironomidae",,0.597371565,"Arthropoda","Insecta","Plecoptera","Chloroperlidae","Suwallia","family","family",24,"source","http://iNaturalist.org is a place where you can record what you see in nature, meet other nature lovers, and learn about the natural world."
"Chironomidae","Tipulidae",4968.339307,"Arthropoda","Insecta","Diptera","Chironomidae",,8.363201911,,,,,,"family","exact",10,"source","http://iNaturalist.org is a place where you can record what you see in nature, meet other nature lovers, and learn about the natural world."
"Corixidae","Agabus",2.38948626,,,,,,27.479092,"Arthropoda","Insecta","Coleoptera","Dytiscidae","Agabus","exact","exact",1,"source","http://iNaturalist.org is a place where you can record what you see in nature, meet other nature lovers, and learn about the natural world."
