"node","density","phylum","class","order","family","genus"
"Acari",745.5197133,"Arthropoda","Arachnida",,,
"Agabus",17.32377539,"Arthropoda","Insecta","Coleoptera","Dytiscidae","Agabus"
"Baetis",18.51851852,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis"
"Ceratopogonidae",1.792114695,"Arthropoda","Insecta","Diptera","Ceratopogonidae","Ceratopogon"
"Chironomidae",2403.823178,"Arthropoda","Insecta","Diptera","Chironomidae",
"Culicidae",0.597371565,"Arthropoda","Insecta","Diptera","Culicidae","Culiseta"
"Desmona",10.75268817,"Arthropoda","Insecta","Trichoptera","Limnephilidae","Desmona"
"Diptera",81.242532856,,,,,
"Ecclisomyia",1.792114695,"Arthropoda","Insecta","Trichoptera","Limnephilidae","Ecclisomyia"
"Limnephilidae",0.597371565,"Arthropoda","Insecta","Trichoptera","Limnephilidae","Psychoglypha"
"Muscidae",1.792114695,"Arthropoda","Insecta","Diptera","Muscidae","Muscidae"
"Oligochaeta",93.78733572,"Annelida","Clitellata",,,
"Ostracoda",11.9474313,"Arthropoda","Ostracoda",,,
"Prosimulium",29.27120669,"Arthropoda","Insecta","Diptera","Simuliidae","Prosimulium"
"Rhyacophila",2.986857825,"Arthropoda","Insecta","Trichoptera","Rhyacophilidae","Rhyacophila"
"Stegopterna",40.02389486,"Arthropoda","Insecta","Diptera","Simuliidae","Stegopterna"
"Stilobezzia",0.597371565,"Arthropoda","Insecta","Diptera","Ceratopogonidae","Stilobezzia"
"Suwallia",1.792114695,"Arthropoda","Insecta","Plecoptera","Chloroperlidae","Suwallia"
"Tipulidae",1.792114695,"Arthropoda","Insecta","Diptera","Tipulidae","Limonia"
"Turbellaria",10.75268817,"Platyhelminthes","Turbellaria",,,
