"node","density","phylum","class","order","family","genus"
"Acari",6771.804062,"Arthropoda","Arachnida",,,
"Ameletus",544.8028674,"Arthropoda","Insecta","Ephemeroptera","Ameletidae","Ameletus"
"Antocha",9.557945042,"Arthropoda","Insecta","Diptera","Tipulidae","Antocha"
"Apatania",712.0669056,"Arthropoda","Insecta","Trichoptera","Apataniidae","Apatania"
"Baetis",597.3715651,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis"
"Ceratopogonidae",253.2855436,"Arthropoda","Insecta","Diptera","Ceratopogonidae","Bezzia"
"Chironomidae",44688.17204,"Arthropoda","Insecta","Diptera","Chironomidae",
"Cinygma",243.7275986,"Arthropoda","Insecta","Ephemeroptera","Heptageniidae","Cinygma"
"Diphetor",358.4229391,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Diphetor"
"Diptera",138.59020311,,,,,
"Dixidae",52.56869773,"Arthropoda","Insecta","Diptera","Dixidae","Dixa"
"Doroneuria",434.8864994,"Arthropoda","Insecta","Plecoptera","Perlidae","Doroneuria"
"Ecclisomyia",14.33691756,"Arthropoda","Insecta","Trichoptera","Limnephilidae","Ecclisomyia"
"Epeorus",9.557945042,"Arthropoda","Insecta","Ephemeroptera","Heptageniidae","Epeorus"
"Heptageniidae",105.1373955,"Arthropoda","Insecta","Ephemeroptera","Heptageniidae","Cinygmula"
"Limnephilidae",100.3584229,"Arthropoda","Insecta","Trichoptera","Limnephilidae","Psychoglypha"
"Muscidae",43.01075269,"Arthropoda","Insecta","Diptera","Muscidae","Limnophora"
"Oligochaeta",5968.936679,"Annelida","Clitellata",,,
"Ostracoda",774.1935484,"Arthropoda","Ostracoda",,,
"Paraleptophlebia",473.1182796,"Arthropoda","Insecta","Ephemeroptera","Leptophlebiidae","Paraleptophlebia"
"Parapsyche",33.45280765,"Arthropoda","Insecta","Trichoptera","Hydropsychidae","Parapsyche"
"Pisidium",219.832736,"Mollusca","Bivalvia","Veneroida","Pisidiidae","Pisidium"
"Rhyacophila",262.8434887,"Arthropoda","Insecta","Trichoptera","Rhyacophilidae","Rhyacophila"
"Serratella",148.1481481,"Arthropoda","Insecta","Ephemeroptera","Ephemerellidae","Serratella"
"Simulium",9.557945042,"Arthropoda","Insecta","Diptera","Simuliidae","Simulium"
"Sweltsa",191.1589008,"Arthropoda","Insecta","Plecoptera","Chloroperlidae","Sweltsa"
"Turbellaria",1882.915173,"Platyhelminthes","Turbellaria",,,
"Zapada",296.2962963,"Arthropoda","Insecta","Plecoptera","Nemouridae","Zapada"
