"node","density","phylum","class","order","family","genus"
"Acari",1481.481482,"Arthropoda","Arachnida",,,
"Agabus",5.376344086,"Arthropoda","Insecta","Coleoptera","Dytiscidae","Agabus"
"Ameletus",1033.452808,"Arthropoda","Insecta","Ephemeroptera","Ameletidae","Ameletus"
"Baetis",5.461682881,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis"
"Callibaetis",1.792114695,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Callibaetis"
"Chironomidae",241.3381123,"Arthropoda","Insecta","Diptera","Chironomidae",
"Desmona",7.765830346,"Arthropoda","Insecta","Trichoptera","Limnephilidae","Desmona"
"Oligochaeta",168.9708141,"Annelida","Clitellata",,,
"Ostracoda",21.50537634,"Arthropoda","Ostracoda",,,
"Pedicia",2.38948626,"Arthropoda","Insecta","Diptera","Pediciidae","Pedicia"
"Prosimulium",11.35005974,"Arthropoda","Insecta","Diptera","Simuliidae","Prosimulium"
"Rhyacophila",18.43317972,"Arthropoda","Insecta","Trichoptera","Rhyacophilidae","Rhyacophila"
"Simulium",53.76344086,"Arthropoda","Insecta","Diptera","Simuliidae","Simulium"
"Stegopterna",117.5115207,"Arthropoda","Insecta","Diptera","Simuliidae","Stegopterna"
"Diptera",0.68271036,"Arthropoda","Insecta","Diptera","Empididae","Neoplasta"
"Limnephilidae",8.960573477,"Arthropoda","Insecta","Trichoptera","Limnephilidae","Psychoglypha"
"Dytiscidae",12.28878648,"Arthropoda","Insecta","Coleoptera","Dytiscidae","Sanfilippodytes"
"Tipulidae",2.38948626,"Arthropoda","Insecta","Diptera","Tipulidae","Monophilus"
