"resource","consumer","res.density","res.phylum","res.class","res.order","res.family","res.genus","con.density","con.phylum","con.class","con.order","con.family","con.genus","res.method","con.method","N.records","linkevidence","source.id"
"Acari","Acari",22212.66428,"Arthropoda","Arachnida",,,,22212.66428,"Arthropoda","Arachnida",,,,"exact","exact",8,"source","http://iNaturalist.org is a place where you can record what you see in nature, meet other nature lovers, and learn about the natural world."
"Acari","Agabus",22212.66428,"Arthropoda","Arachnida",,,,487.4551971,"Arthropoda","Insecta","Coleoptera","Dytiscidae","Agabus","exact","exact",1,"source","http://iNaturalist.org is a place where you can record what you see in nature, meet other nature lovers, and learn about the natural world."
"Agabus","Agabus",487.4551971,"Arthropoda","Insecta","Coleoptera","Dytiscidae","Agabus",487.4551971,"Arthropoda","Insecta","Coleoptera","Dytiscidae","Agabus","genus","genus",22,"source","http://iNaturalist.org is a place where you can record what you see in nature, meet other nature lovers, and learn about the natural world."
"Ameletus","Agabus",382.3178017,"Arthropoda","Insecta","Ephemeroptera","Ameletidae","Ameletus",487.4551971,"Arthropoda","Insecta","Coleoptera","Dytiscidae","Agabus","exact","exact",1,"source","http://iNaturalist.org is a place where you can record what you see in nature, meet other nature lovers, and learn about the natural world."
"Baetis","Doroneuria",372.7598566,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis",267.6224612,"Arthropoda","Insecta","Plecoptera","Perlidae","Doroneuria","exact","exact",1,"source","http://iNaturalist.org is a place where you can record what you see in nature, meet other nature lovers, and learn about the natural world."
"Baetis","Oligochaeta",372.7598566,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis",2227.001195,"Annelida","Clitellata",,,,"exact","exact",1,"source","http://iNaturalist.org is a place where you can record what you see in nature, meet other nature lovers, and learn about the natural world."
"Baetis","Rhyacophila",372.7598566,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis",143.3691756,"Arthropoda","Insecta","Trichoptera","Rhyacophilidae","Rhyacophila","exact","exact",1,"source","http://iNaturalist.org is a place where you can record what you see in nature, meet other nature lovers, and learn about the natural world."
"Ceratopogonidae","Agabus",162.4850657,"Arthropoda","Insecta","Diptera","Ceratopogonidae","Bezzia",487.4551971,"Arthropoda","Insecta","Coleoptera","Dytiscidae","Agabus","exact","exact",1,"source","http://iNaturalist.org is a place where you can record what you see in nature, meet other nature lovers, and learn about the natural world."
"Chironomidae","Agabus",49357.22819,"Arthropoda","Insecta","Diptera","Chironomidae",,487.4551971,"Arthropoda","Insecta","Coleoptera","Dytiscidae","Agabus","exact","exact",4,"source","http://iNaturalist.org is a place where you can record what you see in nature, meet other nature lovers, and learn about the natural world."
"Chironomidae","Rhyacophila",49357.22819,"Arthropoda","Insecta","Diptera","Chironomidae",,143.3691756,"Arthropoda","Insecta","Trichoptera","Rhyacophilidae","Rhyacophila","exact","genus",3,"source","http://iNaturalist.org is a place where you can record what you see in nature, meet other nature lovers, and learn about the natural world."
"Chironomidae","Serratella",49357.22819,"Arthropoda","Insecta","Diptera","Chironomidae",,477.8972521,"Arthropoda","Insecta","Ephemeroptera","Ephemerellidae","Serratella","exact","genus",3,"source","http://iNaturalist.org is a place where you can record what you see in nature, meet other nature lovers, and learn about the natural world."
"Chironomidae","Simulium",49357.22819,"Arthropoda","Insecta","Diptera","Chironomidae",,143.3691756,"Arthropoda","Insecta","Diptera","Simuliidae","Simulium","exact","exact",1,"source","http://iNaturalist.org is a place where you can record what you see in nature, meet other nature lovers, and learn about the natural world."
"Diptera","Agabus",630.82437273,,,,,,487.4551971,"Arthropoda","Insecta","Coleoptera","Dytiscidae","Agabus","exact","exact",2,"source","http://iNaturalist.org is a place where you can record what you see in nature, meet other nature lovers, and learn about the natural world."
"Ephemerella","Rhyacophila",19.11589008,"Arthropoda","Insecta","Ephemeroptera","Ephemerellidae","Ephemerella",143.3691756,"Arthropoda","Insecta","Trichoptera","Rhyacophilidae","Rhyacophila","exact","exact",1,"source","http://iNaturalist.org is a place where you can record what you see in nature, meet other nature lovers, and learn about the natural world."
"Oligochaeta","Acari",2227.001195,"Annelida","Clitellata",,,,22212.66428,"Arthropoda","Arachnida",,,,"exact","exact",1,"source","http://iNaturalist.org is a place where you can record what you see in nature, meet other nature lovers, and learn about the natural world."
"Oligochaeta","Agabus",2227.001195,"Annelida","Clitellata",,,,487.4551971,"Arthropoda","Insecta","Coleoptera","Dytiscidae","Agabus","exact","exact",1,"source","http://iNaturalist.org is a place where you can record what you see in nature, meet other nature lovers, and learn about the natural world."
"Oligochaeta","Oligochaeta",2227.001195,"Annelida","Clitellata",,,,2227.001195,"Annelida","Clitellata",,,,"exact","exact",2,"source","http://iNaturalist.org is a place where you can record what you see in nature, meet other nature lovers, and learn about the natural world."
"Ostracoda","Ostracoda",219.832736,"Arthropoda","Ostracoda",,,,219.832736,"Arthropoda","Ostracoda",,,,"exact","exact",2,"source","http://iNaturalist.org is a place where you can record what you see in nature, meet other nature lovers, and learn about the natural world."
"Ostracoda","Turbellaria",219.832736,"Arthropoda","Ostracoda",,,,1099.16368,"Platyhelminthes","Turbellaria",,,,"exact","exact",1,"source","http://iNaturalist.org is a place where you can record what you see in nature, meet other nature lovers, and learn about the natural world."
"Pisidium","Oligochaeta",3316.60693,"Mollusca","Bivalvia","Veneroida","Pisidiidae","Pisidium",2227.001195,"Annelida","Clitellata",,,,"exact","exact",1,"source","http://iNaturalist.org is a place where you can record what you see in nature, meet other nature lovers, and learn about the natural world."
"Rhyacophila","Rhyacophila",143.3691756,"Arthropoda","Insecta","Trichoptera","Rhyacophilidae","Rhyacophila",143.3691756,"Arthropoda","Insecta","Trichoptera","Rhyacophilidae","Rhyacophila","exact","exact",1,"source","http://iNaturalist.org is a place where you can record what you see in nature, meet other nature lovers, and learn about the natural world."
"Simulium","Agabus",143.3691756,"Arthropoda","Insecta","Diptera","Simuliidae","Simulium",487.4551971,"Arthropoda","Insecta","Coleoptera","Dytiscidae","Agabus","genus","exact",2,"source","http://iNaturalist.org is a place where you can record what you see in nature, meet other nature lovers, and learn about the natural world."
"Simulium","Limnephilidae",143.3691756,"Arthropoda","Insecta","Diptera","Simuliidae","Simulium",28.67383513,"Arthropoda","Insecta","Trichoptera","Limnephilidae","Psychoglypha","genus","exact",1,"source","http://iNaturalist.org is a place where you can record what you see in nature, meet other nature lovers, and learn about the natural world."
"Simulium","Oligochaeta",143.3691756,"Arthropoda","Insecta","Diptera","Simuliidae","Simulium",2227.001195,"Annelida","Clitellata",,,,"exact","exact",1,"source","http://iNaturalist.org is a place where you can record what you see in nature, meet other nature lovers, and learn about the natural world."
"Simulium","Rhyacophila",143.3691756,"Arthropoda","Insecta","Diptera","Simuliidae","Simulium",143.3691756,"Arthropoda","Insecta","Trichoptera","Rhyacophilidae","Rhyacophila","exact","exact",2,"source","http://iNaturalist.org is a place where you can record what you see in nature, meet other nature lovers, and learn about the natural world."
"Simulium","Simulium",143.3691756,"Arthropoda","Insecta","Diptera","Simuliidae","Simulium",143.3691756,"Arthropoda","Insecta","Diptera","Simuliidae","Simulium","exact","exact",1,"source","http://iNaturalist.org is a place where you can record what you see in nature, meet other nature lovers, and learn about the natural world."
"Turbellaria","Agabus",1099.16368,"Platyhelminthes","Turbellaria",,,,487.4551971,"Arthropoda","Insecta","Coleoptera","Dytiscidae","Agabus","exact","exact",2,"source","http://iNaturalist.org is a place where you can record what you see in nature, meet other nature lovers, and learn about the natural world."
