"resource","consumer","res.density","res.phylum","res.class","res.order","res.family","res.genus","con.density","con.phylum","con.class","con.order","con.family","con.genus","res.method","con.method","N.records","linkevidence","source.id"
"Acari","Acari",3741.338113,"Arthropoda","Arachnida",,,,3741.338113,"Arthropoda","Arachnida",,,,"exact","exact",16,"Proctor, H., & Pritchard, G. (1989). Neglected Predators : Water Mites (Acari: Parasitengona: Hydrachnellae) in Freshwater Communities. Journal of the North American Benthological Society, 8(1), 100�111.",""
"Acari","Chironomidae",3741.338113,"Arthropoda","Arachnida",,,,4408.801275,"Arthropoda","Insecta","Diptera","Chironomidae",,"exact","family",1,"Proctor, H., & Pritchard, G. (1989). Neglected Predators : Water Mites (Acari: Parasitengona: Hydrachnellae) in Freshwater Communities. Journal of the North American Benthological Society, 8(1), 100�111.",""
"Acari","Diptera",3741.338113,"Arthropoda","Arachnida",,,,70.8880924,,,,,,"exact","exact",1,"Proctor, H., & Pritchard, G. (1989). Neglected Predators : Water Mites (Acari: Parasitengona: Hydrachnellae) in Freshwater Communities. Journal of the North American Benthological Society, 8(1), 100�111.",""
"Baetis","Chironomidae",301.8717642,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis",4408.801275,"Arthropoda","Insecta","Diptera","Chironomidae",,"exact","family",10,"Proctor, H., & Pritchard, G. (1989). Neglected Predators : Water Mites (Acari: Parasitengona: Hydrachnellae) in Freshwater Communities. Journal of the North American Benthological Society, 8(1), 100�111.",""
"Baetis","Doroneuria",301.8717642,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis",19.11589008,"Arthropoda","Insecta","Plecoptera","Perlidae","Doroneuria","exact","exact",1,"Proctor, H., & Pritchard, G. (1989). Neglected Predators : Water Mites (Acari: Parasitengona: Hydrachnellae) in Freshwater Communities. Journal of the North American Benthological Society, 8(1), 100�111.",""
"Baetis","Oligochaeta",301.8717642,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis",135.2050976,"Annelida","Clitellata",,,,"exact","exact",1,"Proctor, H., & Pritchard, G. (1989). Neglected Predators : Water Mites (Acari: Parasitengona: Hydrachnellae) in Freshwater Communities. Journal of the North American Benthological Society, 8(1), 100�111.",""
"Baetis","Parapsyche",301.8717642,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis",2.38948626,"Arthropoda","Insecta","Trichoptera","Hydropsychidae","Parapsyche","exact","family",66,"Proctor, H., & Pritchard, G. (1989). Neglected Predators : Water Mites (Acari: Parasitengona: Hydrachnellae) in Freshwater Communities. Journal of the North American Benthological Society, 8(1), 100�111.",""
"Baetis","Rhyacophila",301.8717642,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis",26.48347272,"Arthropoda","Insecta","Trichoptera","Rhyacophilidae","Rhyacophila","exact","exact",4,"Proctor, H., & Pritchard, G. (1989). Neglected Predators : Water Mites (Acari: Parasitengona: Hydrachnellae) in Freshwater Communities. Journal of the North American Benthological Society, 8(1), 100�111.",""
"Baetis","Turbellaria",301.8717642,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis",128.6340104,"Platyhelminthes","Turbellaria",,,,"family","exact",1,"Proctor, H., & Pritchard, G. (1989). Neglected Predators : Water Mites (Acari: Parasitengona: Hydrachnellae) in Freshwater Communities. Journal of the North American Benthological Society, 8(1), 100�111.",""
"Ceratopogonidae","Chironomidae",8.960573477,"Arthropoda","Insecta","Diptera","Ceratopogonidae","Bezzia",4408.801275,"Arthropoda","Insecta","Diptera","Chironomidae",,"genus","family",9,"Proctor, H., & Pritchard, G. (1989). Neglected Predators : Water Mites (Acari: Parasitengona: Hydrachnellae) in Freshwater Communities. Journal of the North American Benthological Society, 8(1), 100�111.",""
