"node","density","phylum","class","order","family","genus"
"Acari",2331.541219,"Arthropoda","Arachnida",,,
"Agabus",7.168458781,"Arthropoda","Insecta","Coleoptera","Dytiscidae","Agabus"
"Ameletus",14.33691756,"Arthropoda","Insecta","Ephemeroptera","Ameletidae","Ameletus"
"Baetis",50.17921147,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis"
"Chironomidae",1672.043011,"Arthropoda","Insecta","Diptera","Chironomidae",
"Desmona",12.54480287,"Arthropoda","Insecta","Trichoptera","Limnephilidae","Desmona"
"Dicranota",1.792114695,"Arthropoda","Insecta","Diptera","Tipulidae","Dicranota"
"Oligochaeta",62.72401434,"Annelida","Clitellata",,,
"Rhyacophila",34.05017921,"Arthropoda","Insecta","Trichoptera","Rhyacophilidae","Rhyacophila"
"Simulium",1105.734767,"Arthropoda","Insecta","Diptera","Simuliidae","Simulium"
"Stegopterna",23.29749104,"Arthropoda","Insecta","Diptera","Simuliidae","Stegopterna"
"Turbellaria",1.792114695,"Platyhelminthes","Turbellaria",,,
"Muscidae",19.71326165,"Arthropoda","Insecta","Diptera","Muscidae","Limnophora"
"Limnephilidae",7.168458781,"Arthropoda","Insecta","Trichoptera","Limnephilidae","Psychoglypha"
"Dytiscidae",41.21863799,"Arthropoda","Insecta","Coleoptera","Dytiscidae","Sanfilippodytes"
