"resource","consumer","res.density","res.phylum","res.class","res.order","res.family","res.genus","con.density","con.phylum","con.class","con.order","con.family","con.genus","res.method","con.method","N.records","linkevidence","source.id"
"Acari","Acari",22212.66428,"Arthropoda","Arachnida",,,,22212.66428,"Arthropoda","Arachnida",,,,"exact","exact",16,"Proctor, H., & Pritchard, G. (1989). Neglected Predators : Water Mites (Acari: Parasitengona: Hydrachnellae) in Freshwater Communities. Journal of the North American Benthological Society, 8(1), 100�111.",""
"Acari","Agabus",22212.66428,"Arthropoda","Arachnida",,,,487.4551971,"Arthropoda","Insecta","Coleoptera","Dytiscidae","Agabus","exact","exact",6,"Proctor, H., & Pritchard, G. (1989). Neglected Predators : Water Mites (Acari: Parasitengona: Hydrachnellae) in Freshwater Communities. Journal of the North American Benthological Society, 8(1), 100�111.",""
"Acari","Chironomidae",22212.66428,"Arthropoda","Arachnida",,,,49357.22819,"Arthropoda","Insecta","Diptera","Chironomidae",,"exact","family",1,"Proctor, H., & Pritchard, G. (1989). Neglected Predators : Water Mites (Acari: Parasitengona: Hydrachnellae) in Freshwater Communities. Journal of the North American Benthological Society, 8(1), 100�111.",""
"Acari","Diptera",22212.66428,"Arthropoda","Arachnida",,,,630.82437273,,,,,,"exact","exact",1,"Proctor, H., & Pritchard, G. (1989). Neglected Predators : Water Mites (Acari: Parasitengona: Hydrachnellae) in Freshwater Communities. Journal of the North American Benthological Society, 8(1), 100�111.",""
"Acari","Dytiscidae",22212.66428,"Arthropoda","Arachnida",,,,76.46356033,"Arthropoda","Insecta","Coleoptera","Dytiscidae","Sanfilippodytes","exact","family",16,"Proctor, H., & Pritchard, G. (1989). Neglected Predators : Water Mites (Acari: Parasitengona: Hydrachnellae) in Freshwater Communities. Journal of the North American Benthological Society, 8(1), 100�111.",""
"Agabus","Agabus",487.4551971,"Arthropoda","Insecta","Coleoptera","Dytiscidae","Agabus",487.4551971,"Arthropoda","Insecta","Coleoptera","Dytiscidae","Agabus","genus","genus",56,"Proctor, H., & Pritchard, G. (1989). Neglected Predators : Water Mites (Acari: Parasitengona: Hydrachnellae) in Freshwater Communities. Journal of the North American Benthological Society, 8(1), 100�111.",""
"Agabus","Dytiscidae",487.4551971,"Arthropoda","Insecta","Coleoptera","Dytiscidae","Agabus",76.46356033,"Arthropoda","Insecta","Coleoptera","Dytiscidae","Sanfilippodytes","exact","family",8,"Proctor, H., & Pritchard, G. (1989). Neglected Predators : Water Mites (Acari: Parasitengona: Hydrachnellae) in Freshwater Communities. Journal of the North American Benthological Society, 8(1), 100�111.",""
"Agabus","Ecclisomyia",487.4551971,"Arthropoda","Insecta","Coleoptera","Dytiscidae","Agabus",28.67383513,"Arthropoda","Insecta","Trichoptera","Limnephilidae","Ecclisomyia","family","family",1,"Proctor, H., & Pritchard, G. (1989). Neglected Predators : Water Mites (Acari: Parasitengona: Hydrachnellae) in Freshwater Communities. Journal of the North American Benthological Society, 8(1), 100�111.",""
"Agabus","Limnephilidae",487.4551971,"Arthropoda","Insecta","Coleoptera","Dytiscidae","Agabus",28.67383513,"Arthropoda","Insecta","Trichoptera","Limnephilidae","Psychoglypha","family","family",1,"Proctor, H., & Pritchard, G. (1989). Neglected Predators : Water Mites (Acari: Parasitengona: Hydrachnellae) in Freshwater Communities. Journal of the North American Benthological Society, 8(1), 100�111.",""
"Ameletus","Agabus",382.3178017,"Arthropoda","Insecta","Ephemeroptera","Ameletidae","Ameletus",487.4551971,"Arthropoda","Insecta","Coleoptera","Dytiscidae","Agabus","exact","exact",6,"Proctor, H., & Pritchard, G. (1989). Neglected Predators : Water Mites (Acari: Parasitengona: Hydrachnellae) in Freshwater Communities. Journal of the North American Benthological Society, 8(1), 100�111.",""
