"node","density","phylum","class","order","family","genus"
"Acari",484.4285145,"Arthropoda","Arachnida",,,
"Ameletus",7.168458781,"Arthropoda","Insecta","Ephemeroptera","Ameletidae","Ameletus"
"Apatania",2.867383513,"Arthropoda","Insecta","Trichoptera","Apataniidae","Apatania"
"Baetis",184.7869375,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis"
"Ceratopogonidae",49.62166468,"Arthropoda","Insecta","Diptera","Ceratopogonidae","Bezzia"
"Chironomidae",782.7956989,"Arthropoda","Insecta","Diptera","Chironomidae",
"Diphetor",64.75507766,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Diphetor"
"Diptera",8.761449622,,,,,
"Doroneuria",26.28434886,"Arthropoda","Insecta","Plecoptera","Perlidae","Doroneuria"
"Drunella",1.19474313,"Arthropoda","Insecta","Ephemeroptera","Ephemerellidae","Drunella"
"Ecclisomyia",2.867383513,"Arthropoda","Insecta","Trichoptera","Limnephilidae","Ecclisomyia"
"Epeorus",6.770211071,"Arthropoda","Insecta","Ephemeroptera","Heptageniidae","Epeorus"
"Heptageniidae",19.51413779,"Arthropoda","Insecta","Ephemeroptera","Heptageniidae","Cinygmula"
"Limnephilidae",36.00159299,"Arthropoda","Insecta","Trichoptera","Limnephilidae","Psychoglypha"
"Micrasema",4.380724811,"Arthropoda","Insecta","Trichoptera","Brachycentridae","Micrasema"
"Oligochaeta",968.1401832,"Annelida","Clitellata",,,
"Ostracoda",190.3624054,"Arthropoda","Ostracoda",,,
"Paraleptophlebia",45.47988849,"Arthropoda","Insecta","Ephemeroptera","Leptophlebiidae","Paraleptophlebia"
"Parapsyche",12.34567901,"Arthropoda","Insecta","Trichoptera","Hydropsychidae","Parapsyche"
"Pisidium",283.9506173,"Mollusca","Bivalvia","Veneroida","Pisidiidae","Pisidium"
"Plecoptera",1.59299084,"Arthropoda","Insecta","Plecoptera","Peltoperlidae","Yoraperla"
"Rhyacophila",8.363201912,"Arthropoda","Insecta","Trichoptera","Rhyacophilidae","Rhyacophila"
"Serratella",5.973715651,"Arthropoda","Insecta","Ephemeroptera","Ephemerellidae","Serratella"
"Simulium",1.59299084,"Arthropoda","Insecta","Diptera","Simuliidae","Simulium"
"Suwallia",1.59299084,"Arthropoda","Insecta","Plecoptera","Chloroperlidae","Suwallia"
"Sweltsa",27.00119474,"Arthropoda","Insecta","Plecoptera","Chloroperlidae","Sweltsa"
"Turbellaria",107.8454799,"Platyhelminthes","Turbellaria",,,
"Zapada",56.94942254,"Arthropoda","Insecta","Plecoptera","Nemouridae","Zapada"
