"node","density","phylum","class","order","family","genus"
"Acari",3741.338113,"Arthropoda","Arachnida",,,
"Ameletus",15.13341298,"Arthropoda","Insecta","Ephemeroptera","Ameletidae","Ameletus"
"Baetis",301.8717642,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis"
"Ceratopogonidae",8.960573477,"Arthropoda","Insecta","Diptera","Ceratopogonidae","Bezzia"
"Chironomidae",4408.801275,"Arthropoda","Insecta","Diptera","Chironomidae",
"Diphetor",95.57945042,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Diphetor"
"Diptera",70.8880924,,,,,
"Doroneuria",19.11589008,"Arthropoda","Insecta","Plecoptera","Perlidae","Doroneuria"
"Drunella",2.38948626,"Arthropoda","Insecta","Ephemeroptera","Ephemerellidae","Drunella"
"Epeorus",23.8948626,"Arthropoda","Insecta","Ephemeroptera","Heptageniidae","Epeorus"
"Heterlimnius",169.6535245,"Arthropoda","Insecta","Coleoptera","Elmidae","Heterlimnius"
"Ironodes",6.371963361,"Arthropoda","Insecta","Ephemeroptera","Heptageniidae","Ironodes"
"Limnephilidae",43.807248111,,,,,
"Muscidae",2.38948626,"Arthropoda","Insecta","Diptera","Muscidae","Limnophora"
"Oligochaeta",135.2050976,"Annelida","Clitellata",,,
"Ostracoda",203.9028276,"Arthropoda","Ostracoda",,,
"Paraleptophlebia",96.37594584,"Arthropoda","Insecta","Ephemeroptera","Leptophlebiidae","Paraleptophlebia"
"Parapsyche",2.38948626,"Arthropoda","Insecta","Trichoptera","Hydropsychidae","Parapsyche"
"Pisidium",60.53365193,"Mollusca","Bivalvia","Veneroida","Pisidiidae","Pisidium"
"Prosimulium",6.371963361,"Arthropoda","Insecta","Diptera","Simuliidae","Prosimulium"
"Rhyacophila",26.48347272,"Arthropoda","Insecta","Trichoptera","Rhyacophilidae","Rhyacophila"
"Serratella",10.35444046,"Arthropoda","Insecta","Ephemeroptera","Ephemerellidae","Serratella"
"Simulium",45.40023895,"Arthropoda","Insecta","Diptera","Simuliidae","Simulium"
"Stilobezzia",3.584229391,"Arthropoda","Insecta","Diptera","Ceratopogonidae","Stilobezzia"
"Turbellaria",128.6340104,"Platyhelminthes","Turbellaria",,,
"Zapada",46.19673437,"Arthropoda","Insecta","Plecoptera","Nemouridae","Zapada"
