"node","density","phylum","class","order","family","genus"
"Acari",113.5005974,"Arthropoda","Arachnida",,,
"Agabus",41.21863799,"Arthropoda","Insecta","Coleoptera","Dytiscidae","Agabus"
"Baetis",112.3058542,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis"
"Chironomidae",5715.651135,"Arthropoda","Insecta","Diptera","Chironomidae",
"Corixidae",3.584229391,"Arthropoda","Insecta","Hemiptera","Corixidae","Cenocorixa"
"Culicidae",1.792114695,"Arthropoda","Insecta","Diptera","Culicidae","Culiseta"
"Desmona",0.597371565,"Arthropoda","Insecta","Trichoptera","Limnephilidae","Desmona"
"Dicranota",0.597371565,"Arthropoda","Insecta","Diptera","Tipulidae","Dicranota"
"Diptera",2.986857825,,,,,
"Dytiscidae",45.40023895,,,,,
"Heptageniidae",0.597371565,"Arthropoda","Insecta","Ephemeroptera","Heptageniidae","Cinygmula"
"Muscidae",85.42413381,"Arthropoda","Insecta","Diptera","Muscidae","Limnophora"
"Oligochaeta",189.3667861,"Annelida","Clitellata",,,
"Ostracoda",5.973715651,"Arthropoda","Ostracoda",,,
"Prosimulium",34.9,"Arthropoda","Insecta","Diptera","Simuliidae","Prosimulium"
"Simuliidae",1.792114695,"Arthropoda","Insecta","Diptera","Simuliidae","Metacnephia"
"Simulium",7.168458781,"Arthropoda","Insecta","Diptera","Simuliidae","Simulium"
"Stegopterna",54.95818399,"Arthropoda","Insecta","Diptera","Simuliidae","Stegopterna"
"Turbellaria",1.19474313,"Platyhelminthes","Turbellaria",,,
