"node","density","phylum","class","order","family","genus"
"Acari",622.4611709,"Arthropoda","Arachnida",,,
"Ameletus",206.6905615,"Arthropoda","Insecta","Ephemeroptera","Ameletidae","Ameletus"
"Apatania",150.5376344,"Arthropoda","Insecta","Trichoptera","Apataniidae","Apatania"
"Baetis",17.92114695,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis"
"Ceratopogonidae",10.752688172,,,,,
"Chelifera",3.584229391,"Arthropoda","Insecta","Diptera","Empididae","Chelifera"
"Chironomidae",18305.85424,"Arthropoda","Insecta","Diptera","Chironomidae",
"Dicranota",2.38948626,"Arthropoda","Insecta","Diptera","Tipulidae","Dicranota"
"Diphetor",33.45280765,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Diphetor"
"Doroneuria",25.08960573,"Arthropoda","Insecta","Plecoptera","Perlidae","Doroneuria"
"Heptageniidae",56.15292712,"Arthropoda","Insecta","Ephemeroptera","Heptageniidae","Cinygmula"
"Limnephilidae",28.673835121,,,,,
"Muscidae",4.778972521,"Arthropoda","Insecta","Diptera","Muscidae","Limnophora"
"Oligochaeta",338.1123059,"Annelida","Clitellata",,,
"Ostracoda",229.390681,"Arthropoda","Ostracoda",,,
"Paraleptophlebia",56.15292712,"Arthropoda","Insecta","Ephemeroptera","Leptophlebiidae","Paraleptophlebia"
"Parapsyche",1.19474313,"Arthropoda","Insecta","Trichoptera","Hydropsychidae","Parapsyche"
"Pisidium",538.8291517,"Mollusca","Bivalvia","Veneroida","Pisidiidae","Pisidium"
"Rhyacophila",7.168458781,"Arthropoda","Insecta","Trichoptera","Rhyacophilidae","Rhyacophila"
"Serratella",2.38948626,"Arthropoda","Insecta","Ephemeroptera","Ephemerellidae","Serratella"
"Simulium",1.19474313,"Arthropoda","Insecta","Diptera","Simuliidae","Simulium"
"Suwallia",7.168458781,"Arthropoda","Insecta","Plecoptera","Chloroperlidae","Suwallia"
"Sweltsa",16.72640382,"Arthropoda","Insecta","Plecoptera","Chloroperlidae","Sweltsa"
"Turbellaria",68.10035842,"Platyhelminthes","Turbellaria",,,
"Zapada",28.67383513,"Arthropoda","Insecta","Plecoptera","Nemouridae","Zapada"
