"node","density","phylum","class","order","family","genus"
"Acari",2949.820789,"Arthropoda","Arachnida",,,
"Ameletus",2.38948626,"Arthropoda","Insecta","Ephemeroptera","Ameletidae","Ameletus"
"Baetis",248.5065711,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis"
"Chelifera",43.01075269,"Arthropoda","Insecta","Diptera","Empididae","Chelifera"
"Chironomidae",5106.92951,"Arthropoda","Insecta","Diptera","Chironomidae",
"Dicranota",3.584229391,"Arthropoda","Insecta","Diptera","Tipulidae","Dicranota"
"Diphetor",124.2532855,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Diphetor"
"Doroneuria",62.12664277,"Arthropoda","Insecta","Plecoptera","Perlidae","Doroneuria"
"Epeorus",4.778972521,"Arthropoda","Insecta","Ephemeroptera","Heptageniidae","Epeorus"
"Heterlimnius",236.5591398,"Arthropoda","Insecta","Coleoptera","Elmidae","Heterlimnius"
"Oligochaeta",763.4408602,"Annelida","Clitellata",,,
"Ostracoda",4.778972521,"Arthropoda","Ostracoda",,,
"Paraleptophlebia",202.5089606,"Arthropoda","Insecta","Ephemeroptera","Leptophlebiidae","Paraleptophlebia"
"Parapsyche",4.778972521,"Arthropoda","Insecta","Trichoptera","Hydropsychidae","Parapsyche"
"Pisidium",40.62126643,"Mollusca","Bivalvia","Veneroida","Pisidiidae","Pisidium"
"Rhyacophila",21.50537634,"Arthropoda","Insecta","Trichoptera","Rhyacophilidae","Rhyacophila"
"Serratella",8.363201912,"Arthropoda","Insecta","Ephemeroptera","Ephemerellidae","Serratella"
"Simulium",95.57945042,"Arthropoda","Insecta","Diptera","Simuliidae","Simulium"
"Sweltsa",2.38948626,"Arthropoda","Insecta","Plecoptera","Chloroperlidae","Sweltsa"
"Turbellaria",7.168458781,"Platyhelminthes","Turbellaria",,,
"Zapada",14.33691756,"Arthropoda","Insecta","Plecoptera","Nemouridae","Zapada"
"Ceratopogonidae",7.168458781,"Arthropoda","Insecta","Diptera","Ceratopogonidae","Bezzia"
"Limnephilidae",3.584229391,"Arthropoda","Insecta","Trichoptera","Limnephilidae","Dicosmoecus"
"Muscidae",2.38948626,"Arthropoda","Insecta","Diptera","Muscidae","Limnophora"
"Dytiscidae",1.792114695,"Arthropoda","Insecta","Coleoptera","Dytiscidae","Sanfilippodytes"
