"node","N","M","phylum","class","order","family","genus"
"Baetis",31.50315032,0.712555345,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis"
"Callibaetis",9.00090009,3.974439309,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Callibaetis"
"Chironomidae",166.5166517,0.95630662,"Arthropoda","Insecta","Diptera","Chironomidae",
"Diphetor",49.5049505,2.092471648,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Diphetor"
"Helodon",175.5175518,0.286362446,"Arthropoda","Insecta","Diptera","Simuliidae","Helodon"
"Hesperoperla",9.00090009,47.55178364,"Arthropoda","Insecta","Plecoptera","Perlidae","Hesperoperla"
"Paraleptophlebia",4.500450045,1.004883072,"Arthropoda","Insecta","Ephemeroptera","Leptophlebiidae","Paraleptophlebia"
"Pisidium",378.0378038,0.102405857,"Mollusca","Bivalvia","Veneroida","Pisidiidae","Pisidium"
"Prosimulium",9.00090009,0.291869328,"Arthropoda","Insecta","Diptera","Simuliidae","Prosimulium"
"Rhyacophila",4.500450045,5.337910712,"Arthropoda","Insecta","Trichoptera","Rhyacophilidae","Rhyacophila"
"Simulium",85.50855086,0.357951466,"Arthropoda","Insecta","Diptera","Simuliidae","Simulium"
"Turbellaria",36.00360036,0.030679362,"Platyhelminthes","Turbellaria",,,
"Zapada",45.00450045,0.789662984,"Arthropoda","Insecta","Plecoptera","Nemouridae","Zapada"
"Benthic.producers",1,0.001,,,,"Benthic.producers",
"Pelagic.producers",1,0.001,,,,"Pelagic.producers",
