"resource","consumer","res.n","res.m","res.phylum","res.class","res.order","res.family","res.genus","con.n","con.m","con.phylum","con.class","con.order","con.family","con.genus","res.method","con.method","N.records","linkevidence","source.id"
"Baetis","Apatania",643.5643564,0.712555345,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis",4.500450045,0.196011748,"Arthropoda","Insecta","Trichoptera","Apataniidae","Apatania","exact","exact",8,"source","Matthew D Green"
"Baetis","Hydropsyche",643.5643564,0.712555345,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis",9.00090009,5.40467727,"Arthropoda","Insecta","Trichoptera","Hydropsychidae","Hydropsyche","exact","exact",35,"source","Matthew D Green"
"Baetis","Oligochaeta",643.5643564,0.712555345,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis",36.00360036,0.506640431,"Annelida","Clitellata",,,,"exact","exact",1,"source","Matthew D Green"
"Baetis","Rhyacophila",643.5643564,0.712555345,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis",13.50135014,5.337910712,"Arthropoda","Insecta","Trichoptera","Rhyacophilidae","Rhyacophila","exact","exact",4,"source","Matthew D Green"
"Baetis","Turbellaria",643.5643564,0.712555345,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis",49.5049505,0.030679362,"Platyhelminthes","Turbellaria",,,,"family","exact",1,"source","Matthew D Green"
"Callibaetis","Apatania",180.0180018,3.974439309,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Callibaetis",4.500450045,0.196011748,"Arthropoda","Insecta","Trichoptera","Apataniidae","Apatania","family","exact",8,"source","Matthew D Green"
"Callibaetis","Hydropsyche",180.0180018,3.974439309,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Callibaetis",9.00090009,5.40467727,"Arthropoda","Insecta","Trichoptera","Hydropsychidae","Hydropsyche","family","exact",35,"source","Matthew D Green"
"Callibaetis","Oligochaeta",180.0180018,3.974439309,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Callibaetis",36.00360036,0.506640431,"Annelida","Clitellata",,,,"family","exact",3,"source","Matthew D Green"
"Callibaetis","Rhyacophila",180.0180018,3.974439309,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Callibaetis",13.50135014,5.337910712,"Arthropoda","Insecta","Trichoptera","Rhyacophilidae","Rhyacophila","family","exact",6,"source","Matthew D Green"
"Callibaetis","Turbellaria",180.0180018,3.974439309,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Callibaetis",49.5049505,0.030679362,"Platyhelminthes","Turbellaria",,,,"family","exact",1,"source","Matthew D Green"
"Cheumatopsyche","Rhyacophila",40.50405041,8.359033785,"Arthropoda","Insecta","Trichoptera","Hydropsychidae","Cheumatopsyche",13.50135014,5.337910712,"Arthropoda","Insecta","Trichoptera","Rhyacophilidae","Rhyacophila","family","exact",8,"source","Matthew D Green"
"Chironomidae","Chironomidae",949.5949595,0.95630662,"Arthropoda","Insecta","Diptera","Chironomidae",,949.5949595,0.95630662,"Arthropoda","Insecta","Diptera","Chironomidae",,"exact","exact",1,"source","Matthew D Green"
"Chironomidae","Hydropsyche",949.5949595,0.95630662,"Arthropoda","Insecta","Diptera","Chironomidae",,9.00090009,5.40467727,"Arthropoda","Insecta","Trichoptera","Hydropsychidae","Hydropsyche","exact","exact",13,"source","Matthew D Green"
"Chironomidae","Oligochaeta",949.5949595,0.95630662,"Arthropoda","Insecta","Diptera","Chironomidae",,36.00360036,0.506640431,"Annelida","Clitellata",,,,"family","exact",21,"source","Matthew D Green"
"Chironomidae","Oreogeton",949.5949595,0.95630662,"Arthropoda","Insecta","Diptera","Chironomidae",,4.500450045,0.539316267,"Arthropoda","Insecta","Diptera","Empididae","Oreogeton","exact","exact",6,"source","Matthew D Green"
"Chironomidae","Rhyacophila",949.5949595,0.95630662,"Arthropoda","Insecta","Diptera","Chironomidae",,13.50135014,5.337910712,"Arthropoda","Insecta","Trichoptera","Rhyacophilidae","Rhyacophila","exact","genus",237,"source","Matthew D Green"
"Chironomidae","Simulium",949.5949595,0.95630662,"Arthropoda","Insecta","Diptera","Chironomidae",,49.5049505,0.357951466,"Arthropoda","Insecta","Diptera","Simuliidae","Simulium","exact","exact",5,"source","Matthew D Green"
"Chironomidae","Zapada",949.5949595,0.95630662,"Arthropoda","Insecta","Diptera","Chironomidae",,72.00720072,0.789662984,"Arthropoda","Insecta","Plecoptera","Nemouridae","Zapada","family","exact",3,"source","Matthew D Green"
"Drunella","Hydropsyche",4.500450045,4.884692448,"Arthropoda","Insecta","Ephemeroptera","Ephemerellidae","Drunella",9.00090009,5.40467727,"Arthropoda","Insecta","Trichoptera","Hydropsychidae","Hydropsyche","family","genus",10,"source","Matthew D Green"
"Drunella","Rhyacophila",4.500450045,4.884692448,"Arthropoda","Insecta","Ephemeroptera","Ephemerellidae","Drunella",13.50135014,5.337910712,"Arthropoda","Insecta","Trichoptera","Rhyacophilidae","Rhyacophila","family","genus",4,"source","Matthew D Green"
"Hydropsyche","Rhyacophila",9.00090009,5.40467727,"Arthropoda","Insecta","Trichoptera","Hydropsychidae","Hydropsyche",13.50135014,5.337910712,"Arthropoda","Insecta","Trichoptera","Rhyacophilidae","Rhyacophila","exact","exact",6,"source","Matthew D Green"
"Ochrotrichia","Hydropsyche",4.500450045,0.472343989,"Arthropoda","Insecta","Trichoptera","Hydroptilidae","Ochrotrichia",9.00090009,5.40467727,"Arthropoda","Insecta","Trichoptera","Hydropsychidae","Hydropsyche","family","genus",7,"source","Matthew D Green"
"Ochrotrichia","Rhyacophila",4.500450045,0.472343989,"Arthropoda","Insecta","Trichoptera","Hydroptilidae","Ochrotrichia",13.50135014,5.337910712,"Arthropoda","Insecta","Trichoptera","Rhyacophilidae","Rhyacophila","family","genus",8,"source","Matthew D Green"
"Oligochaeta","Chironomidae",36.00360036,0.506640431,"Annelida","Clitellata",,,,949.5949595,0.95630662,"Arthropoda","Insecta","Diptera","Chironomidae",,"exact","exact",1,"source","Matthew D Green"
"Oligochaeta","Oligochaeta",36.00360036,0.506640431,"Annelida","Clitellata",,,,36.00360036,0.506640431,"Annelida","Clitellata",,,,"exact","exact",2,"source","Matthew D Green"
"Rhyacophila","Rhyacophila",13.50135014,5.337910712,"Arthropoda","Insecta","Trichoptera","Rhyacophilidae","Rhyacophila",13.50135014,5.337910712,"Arthropoda","Insecta","Trichoptera","Rhyacophilidae","Rhyacophila","exact","exact",1,"source","Matthew D Green"
"Simulium","Hydropsyche",49.5049505,0.357951466,"Arthropoda","Insecta","Diptera","Simuliidae","Simulium",9.00090009,5.40467727,"Arthropoda","Insecta","Trichoptera","Hydropsychidae","Hydropsyche","exact","exact",10,"source","Matthew D Green"
"Simulium","Oligochaeta",49.5049505,0.357951466,"Arthropoda","Insecta","Diptera","Simuliidae","Simulium",36.00360036,0.506640431,"Annelida","Clitellata",,,,"exact","exact",1,"source","Matthew D Green"
"Simulium","Oreogeton",49.5049505,0.357951466,"Arthropoda","Insecta","Diptera","Simuliidae","Simulium",4.500450045,0.539316267,"Arthropoda","Insecta","Diptera","Empididae","Oreogeton","family","exact",2,"source","Matthew D Green"
"Simulium","Rhyacophila",49.5049505,0.357951466,"Arthropoda","Insecta","Diptera","Simuliidae","Simulium",13.50135014,5.337910712,"Arthropoda","Insecta","Trichoptera","Rhyacophilidae","Rhyacophila","exact","exact",4,"source","Matthew D Green"
"Simulium","Simulium",49.5049505,0.357951466,"Arthropoda","Insecta","Diptera","Simuliidae","Simulium",49.5049505,0.357951466,"Arthropoda","Insecta","Diptera","Simuliidae","Simulium","exact","exact",5,"source","Matthew D Green"
"Turbellaria","Chironomidae",49.5049505,0.030679362,"Platyhelminthes","Turbellaria",,,,949.5949595,0.95630662,"Arthropoda","Insecta","Diptera","Chironomidae",,"exact","exact",1,"source","Matthew D Green"
"Zapada","Hydropsyche",72.00720072,0.789662984,"Arthropoda","Insecta","Plecoptera","Nemouridae","Zapada",9.00090009,5.40467727,"Arthropoda","Insecta","Trichoptera","Hydropsychidae","Hydropsyche","family","genus",2,"source","Matthew D Green"
"Zapada","Rhyacophila",72.00720072,0.789662984,"Arthropoda","Insecta","Plecoptera","Nemouridae","Zapada",13.50135014,5.337910712,"Arthropoda","Insecta","Trichoptera","Rhyacophilidae","Rhyacophila","exact","exact",1,"source","Matthew D Green"
"Benthic.producers","Apatania",1,0.001,,,,"Benthic.producers",,4.500450045,0.196011748,"Arthropoda","Insecta","Trichoptera","Apataniidae","Apatania","exact","exact",1,"source","Matthew D Green"
"Benthic.producers","Baetis",1,0.001,,,,"Benthic.producers",,643.5643564,0.712555345,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis","exact","exact",1,"source","Matthew D Green"
"Benthic.producers","Callibaetis",1,0.001,,,,"Benthic.producers",,180.0180018,3.974439309,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Callibaetis","exact","exact",1,"source","Matthew D Green"
"Benthic.producers","Chironomidae",1,0.001,,,,"Benthic.producers",,949.5949595,0.95630662,"Arthropoda","Insecta","Diptera","Chironomidae",,"exact","exact",1,"source","Matthew D Green"
"Benthic.producers","Drunella",1,0.001,,,,"Benthic.producers",,4.500450045,4.884692448,"Arthropoda","Insecta","Ephemeroptera","Ephemerellidae","Drunella","exact","exact",1,"source","Matthew D Green"
"Benthic.producers","Ochrotrichia",1,0.001,,,,"Benthic.producers",,4.500450045,0.472343989,"Arthropoda","Insecta","Trichoptera","Hydroptilidae","Ochrotrichia","exact","exact",1,"source","Matthew D Green"
"Benthic.producers","Oligochaeta",1,0.001,,,,"Benthic.producers",,36.00360036,0.506640431,"Annelida","Clitellata",,,,"exact","exact",1,"source","Matthew D Green"
"Benthic.producers","Paraleptophlebia",1,0.001,,,,"Benthic.producers",,18.00180018,1.004883072,"Arthropoda","Insecta","Ephemeroptera","Leptophlebiidae","Paraleptophlebia","exact","exact",1,"source","Matthew D Green"
"Benthic.producers","Zapada",1,0.001,,,,"Benthic.producers",,72.00720072,0.789662984,"Arthropoda","Insecta","Plecoptera","Nemouridae","Zapada","exact","exact",1,"source","Matthew D Green"
"Pelagic.producers","Cheumatopsyche",1,0.001,,,,"Pelagic.producers",,40.50405041,8.359033785,"Arthropoda","Insecta","Trichoptera","Hydropsychidae","Cheumatopsyche","exact","exact",1,"source","Matthew D Green"
"Pelagic.producers","Hydropsyche",1,0.001,,,,"Pelagic.producers",,9.00090009,5.40467727,"Arthropoda","Insecta","Trichoptera","Hydropsychidae","Hydropsyche","exact","exact",1,"source","Matthew D Green"
"Pelagic.producers","Simulium",1,0.001,,,,"Pelagic.producers",,49.5049505,0.357951466,"Arthropoda","Insecta","Diptera","Simuliidae","Simulium","exact","exact",1,"source","Matthew D Green"
