"node","N","M","phylum","class","order","family","genus"
"Acari",58.50585059,0.1,"Arthropoda","Arachnida",,,
"Baetis",9.00090009,0.712555345,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis"
"Chironomidae",2101.710171,0.95630662,"Arthropoda","Insecta","Diptera","Chironomidae",
"Drunella",9.00090009,4.884692448,"Arthropoda","Insecta","Ephemeroptera","Ephemerellidae","Drunella"
"Heteroplectron",4.500450045,17.23907358,"Arthropoda","Insecta","Trichoptera","Calamoceratidae","Heteroplectron"
"Ironodes",13.50135014,5.59637151,"Arthropoda","Insecta","Ephemeroptera","Heptageniidae","Ironodes"
"Lednia",234.0234023,0.504076967,"Arthropoda","Insecta","Plecoptera","Nemouridae","Lednia"
"Muscidae",4.500450045,1.259049334,"Arthropoda","Insecta","Diptera","Muscidae","Muscidae"
"Simulium",13.50135014,0.357951466,"Arthropoda","Insecta","Diptera","Simuliidae","Simulium"
"Turbellaria",9.00090009,0.030679362,"Platyhelminthes","Turbellaria",,,
"Zapada",31.50315032,0.789662984,"Arthropoda","Insecta","Plecoptera","Nemouridae","Zapada"
"Benthic.producers",1,0.001,,,,"Benthic.producers",
"Pelagic.producers",1,0.001,,,,"Pelagic.producers",
