"node","N","M","phylum","class","order","family","genus"
"Apatania",4.500450045,0.196011748,"Arthropoda","Insecta","Trichoptera","Apataniidae","Apatania"
"Baetis",643.5643564,0.712555345,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis"
"Callibaetis",180.0180018,3.974439309,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Callibaetis"
"Cheumatopsyche",40.50405041,8.359033785,"Arthropoda","Insecta","Trichoptera","Hydropsychidae","Cheumatopsyche"
"Chironomidae",949.5949595,0.95630662,"Arthropoda","Insecta","Diptera","Chironomidae",
"Drunella",4.500450045,4.884692448,"Arthropoda","Insecta","Ephemeroptera","Ephemerellidae","Drunella"
"Hydropsyche",9.00090009,5.40467727,"Arthropoda","Insecta","Trichoptera","Hydropsychidae","Hydropsyche"
"Ochrotrichia",4.500450045,0.472343989,"Arthropoda","Insecta","Trichoptera","Hydroptilidae","Ochrotrichia"
"Oligochaeta",36.00360036,0.506640431,"Annelida","Clitellata",,,
"Oreogeton",4.500450045,0.539316267,"Arthropoda","Insecta","Diptera","Empididae","Oreogeton"
"Paraleptophlebia",18.00180018,1.004883072,"Arthropoda","Insecta","Ephemeroptera","Leptophlebiidae","Paraleptophlebia"
"Rhyacophila",13.50135014,5.337910712,"Arthropoda","Insecta","Trichoptera","Rhyacophilidae","Rhyacophila"
"Simulium",49.5049505,0.357951466,"Arthropoda","Insecta","Diptera","Simuliidae","Simulium"
"Turbellaria",49.5049505,0.030679362,"Platyhelminthes","Turbellaria",,,
"Zapada",72.00720072,0.789662984,"Arthropoda","Insecta","Plecoptera","Nemouridae","Zapada"
