"node","density","phylum","class","order","family","genus"
"Baetis",4.500450045,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis"
"Desmona",9.00090009,"Arthropoda","Insecta","Trichoptera","Limnephilidae","Desmona"
"Drunella",36.00360036,"Arthropoda","Insecta","Ephemeroptera","Ephemerellidae","Drunella"
"Ironodes",13.50135014,"Arthropoda","Insecta","Ephemeroptera","Heptageniidae","Ironodes"
"Lednia",22.50225023,"Arthropoda","Insecta","Plecoptera","Nemouridae","Lednia"
"Acari",18.00180018,"Arthropoda","Arachnida",,,
"Chironomidae",1399.639964,"Arthropoda","Insecta","Diptera","Chironomidae",
"Nematomorpha",13.50135014,"Nematomorpha",,,,
"Rhyacophila",54.00540054,"Arthropoda","Insecta","Trichoptera","Rhyacophilidae","Rhyacophila"
"Stilobezzia",4.500450045,"Arthropoda","Insecta","Diptera","Ceratopogonidae","Stilobezzia"
"Zapada",13.50135014,"Arthropoda","Insecta","Plecoptera","Nemouridae","Zapada"
