"resource","consumer","res.density","res.phylum","res.class","res.order","res.family","res.genus","con.density","con.phylum","con.class","con.order","con.family","con.genus","res.method","con.method","N.records","linkevidence","source.id"
"Allotrichoma","Allotrichoma",4.500450045,"Arthropoda","Insecta","Diptera","Ephydridae","Allotrichoma",4.500450045,"Arthropoda","Insecta","Diptera","Ephydridae","Allotrichoma","order","order",242,"observed - gut/stomach analysis,observed,observed - feeding trial,observed - gut/stomach analysis","2,13,15,47,50,63"
"Allotrichoma","Baetis",4.500450045,"Arthropoda","Insecta","Diptera","Ephydridae","Allotrichoma",36.00360036,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis","family","order",1,"observed - gut/stomach analysis,observed,observed - feeding trial,observed - gut/stomach analysis","2,13,15,47,50,63"
"Allotrichoma","Claassenia",4.500450045,"Arthropoda","Insecta","Diptera","Ephydridae","Allotrichoma",18.00180018,"Arthropoda","Insecta","Plecoptera","Perlidae","Claassenia","order","order",85,"observed - gut/stomach analysis,observed,observed - feeding trial,observed - gut/stomach analysis","2,13,15,47,50,63"
"Allotrichoma","Helodon",4.500450045,"Arthropoda","Insecta","Diptera","Ephydridae","Allotrichoma",369.0369037,"Arthropoda","Insecta","Diptera","Simuliidae","Helodon","order","family",32,"observed - gut/stomach analysis,observed,observed - feeding trial,observed - gut/stomach analysis","2,13,15,47,50,63"
"Allotrichoma","Chironomidae",4.500450045,"Arthropoda","Insecta","Diptera","Ephydridae","Allotrichoma",751.5751575,"Arthropoda","Insecta","Diptera","Chironomidae",,"order","family",165,"observed - gut/stomach analysis,observed,observed - feeding trial,observed - gut/stomach analysis","2,13,15,47,50,63"
"Allotrichoma","Muscidae",4.500450045,"Arthropoda","Insecta","Diptera","Ephydridae","Allotrichoma",4.500450045,"Arthropoda","Insecta","Diptera","Muscidae","Muscidae","order","order",242,"observed - gut/stomach analysis,observed,observed - feeding trial,observed - gut/stomach analysis","2,13,15,47,50,63"
"Allotrichoma","Oligochaeta",4.500450045,"Arthropoda","Insecta","Diptera","Ephydridae","Allotrichoma",31.50315032,"Annelida","Clitellata",,,,"order","exact",23,"observed - gut/stomach analysis,observed,observed - feeding trial,observed - gut/stomach analysis","2,13,15,47,50,63"
"Allotrichoma","Prosimulium",4.500450045,"Arthropoda","Insecta","Diptera","Ephydridae","Allotrichoma",13.50135014,"Arthropoda","Insecta","Diptera","Simuliidae","Prosimulium","order","family",32,"observed - gut/stomach analysis,observed,observed - feeding trial,observed - gut/stomach analysis","2,13,15,47,50,63"
"Allotrichoma","Simulium",4.500450045,"Arthropoda","Insecta","Diptera","Ephydridae","Allotrichoma",598.559856,"Arthropoda","Insecta","Diptera","Simuliidae","Simulium","order","exact",15,"observed - gut/stomach analysis,observed,observed - feeding trial,observed - gut/stomach analysis","2,13,15,47,50,63"
"Allotrichoma","Stegopterna",4.500450045,"Arthropoda","Insecta","Diptera","Ephydridae","Allotrichoma",9.00090009,"Arthropoda","Insecta","Diptera","Simuliidae","Stegopterna","order","family",32,"observed - gut/stomach analysis,observed,observed - feeding trial,observed - gut/stomach analysis","2,13,15,47,50,63"
"Allotrichoma","Zapada",4.500450045,"Arthropoda","Insecta","Diptera","Ephydridae","Allotrichoma",13.50135014,"Arthropoda","Insecta","Plecoptera","Nemouridae","Zapada","order","order",85,"observed - gut/stomach analysis,observed,observed - feeding trial,observed - gut/stomach analysis","2,13,15,47,50,63"
"Baetis","Allotrichoma",36.00360036,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis",4.500450045,"Arthropoda","Insecta","Diptera","Ephydridae","Allotrichoma","exact","order",4,"observed - gut/stomach analysis,observed,observed - feeding trial,observed - gut/stomach analysis","2,13,15,47,50,63"
"Baetis","Baetis",36.00360036,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis",36.00360036,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis","order","order",9,"observed - gut/stomach analysis,observed,observed - feeding trial,observed - gut/stomach analysis","2,13,15,47,50,63"
"Baetis","Claassenia",36.00360036,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis",18.00180018,"Arthropoda","Insecta","Plecoptera","Perlidae","Claassenia","genus","order",4,"observed - gut/stomach analysis,observed,observed - feeding trial,observed - gut/stomach analysis","2,13,15,47,50,63"
"Baetis","Helodon",36.00360036,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis",369.0369037,"Arthropoda","Insecta","Diptera","Simuliidae","Helodon","exact","order",4,"observed - gut/stomach analysis,observed,observed - feeding trial,observed - gut/stomach analysis","2,13,15,47,50,63"
"Baetis","Chironomidae",36.00360036,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis",751.5751575,"Arthropoda","Insecta","Diptera","Chironomidae",,"exact","family",4,"observed - gut/stomach analysis,observed,observed - feeding trial,observed - gut/stomach analysis","2,13,15,47,50,63"
"Baetis","Muscidae",36.00360036,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis",4.500450045,"Arthropoda","Insecta","Diptera","Muscidae","Muscidae","exact","order",4,"observed - gut/stomach analysis,observed,observed - feeding trial,observed - gut/stomach analysis","2,13,15,47,50,63"
"Baetis","Oligochaeta",36.00360036,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis",31.50315032,"Annelida","Clitellata",,,,"exact","exact",1,"observed - gut/stomach analysis,observed,observed - feeding trial,observed - gut/stomach analysis","2,13,15,47,50,63"
"Baetis","Prosimulium",36.00360036,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis",13.50135014,"Arthropoda","Insecta","Diptera","Simuliidae","Prosimulium","exact","order",4,"observed - gut/stomach analysis,observed,observed - feeding trial,observed - gut/stomach analysis","2,13,15,47,50,63"
"Baetis","Simulium",36.00360036,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis",598.559856,"Arthropoda","Insecta","Diptera","Simuliidae","Simulium","exact","order",4,"observed - gut/stomach analysis,observed,observed - feeding trial,observed - gut/stomach analysis","2,13,15,47,50,63"
"Baetis","Stegopterna",36.00360036,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis",9.00090009,"Arthropoda","Insecta","Diptera","Simuliidae","Stegopterna","exact","order",4,"observed - gut/stomach analysis,observed,observed - feeding trial,observed - gut/stomach analysis","2,13,15,47,50,63"
"Baetis","Zapada",36.00360036,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis",13.50135014,"Arthropoda","Insecta","Plecoptera","Nemouridae","Zapada","genus","order",4,"observed - gut/stomach analysis,observed,observed - feeding trial,observed - gut/stomach analysis","2,13,15,47,50,63"
"Claassenia","Allotrichoma",18.00180018,"Arthropoda","Insecta","Plecoptera","Perlidae","Claassenia",4.500450045,"Arthropoda","Insecta","Diptera","Ephydridae","Allotrichoma","order","order",25,"observed - gut/stomach analysis,observed,observed - feeding trial,observed - gut/stomach analysis","2,13,15,47,50,63"
"Claassenia","Baetis",18.00180018,"Arthropoda","Insecta","Plecoptera","Perlidae","Claassenia",36.00360036,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis","order","order",1,"observed - gut/stomach analysis,observed,observed - feeding trial,observed - gut/stomach analysis","2,13,15,47,50,63"
"Claassenia","Claassenia",18.00180018,"Arthropoda","Insecta","Plecoptera","Perlidae","Claassenia",18.00180018,"Arthropoda","Insecta","Plecoptera","Perlidae","Claassenia","order","order",29,"observed - gut/stomach analysis,observed,observed - feeding trial,observed - gut/stomach analysis","2,13,15,47,50,63"
"Claassenia","Helodon",18.00180018,"Arthropoda","Insecta","Plecoptera","Perlidae","Claassenia",369.0369037,"Arthropoda","Insecta","Diptera","Simuliidae","Helodon","order","order",25,"observed - gut/stomach analysis,observed,observed - feeding trial,observed - gut/stomach analysis","2,13,15,47,50,63"
"Claassenia","Chironomidae",18.00180018,"Arthropoda","Insecta","Plecoptera","Perlidae","Claassenia",751.5751575,"Arthropoda","Insecta","Diptera","Chironomidae",,"order","exact",1,"observed - gut/stomach analysis,observed,observed - feeding trial,observed - gut/stomach analysis","2,13,15,47,50,63"
"Claassenia","Muscidae",18.00180018,"Arthropoda","Insecta","Plecoptera","Perlidae","Claassenia",4.500450045,"Arthropoda","Insecta","Diptera","Muscidae","Muscidae","order","order",25,"observed - gut/stomach analysis,observed,observed - feeding trial,observed - gut/stomach analysis","2,13,15,47,50,63"
"Claassenia","Prosimulium",18.00180018,"Arthropoda","Insecta","Plecoptera","Perlidae","Claassenia",13.50135014,"Arthropoda","Insecta","Diptera","Simuliidae","Prosimulium","order","order",25,"observed - gut/stomach analysis,observed,observed - feeding trial,observed - gut/stomach analysis","2,13,15,47,50,63"
"Claassenia","Simulium",18.00180018,"Arthropoda","Insecta","Plecoptera","Perlidae","Claassenia",598.559856,"Arthropoda","Insecta","Diptera","Simuliidae","Simulium","order","order",25,"observed - gut/stomach analysis,observed,observed - feeding trial,observed - gut/stomach analysis","2,13,15,47,50,63"
"Claassenia","Stegopterna",18.00180018,"Arthropoda","Insecta","Plecoptera","Perlidae","Claassenia",9.00090009,"Arthropoda","Insecta","Diptera","Simuliidae","Stegopterna","order","order",25,"observed - gut/stomach analysis,observed,observed - feeding trial,observed - gut/stomach analysis","2,13,15,47,50,63"
"Claassenia","Zapada",18.00180018,"Arthropoda","Insecta","Plecoptera","Perlidae","Claassenia",13.50135014,"Arthropoda","Insecta","Plecoptera","Nemouridae","Zapada","order","order",29,"observed - gut/stomach analysis,observed,observed - feeding trial,observed - gut/stomach analysis","2,13,15,47,50,63"
"Helodon","Allotrichoma",369.0369037,"Arthropoda","Insecta","Diptera","Simuliidae","Helodon",4.500450045,"Arthropoda","Insecta","Diptera","Ephydridae","Allotrichoma","family","order",13,"observed - gut/stomach analysis,observed,observed - feeding trial,observed - gut/stomach analysis","2,13,15,47,50,63"
"Helodon","Baetis",369.0369037,"Arthropoda","Insecta","Diptera","Simuliidae","Helodon",36.00360036,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis","order","order",12,"observed - gut/stomach analysis,observed,observed - feeding trial,observed - gut/stomach analysis","2,13,15,47,50,63"
"Helodon","Claassenia",369.0369037,"Arthropoda","Insecta","Diptera","Simuliidae","Helodon",18.00180018,"Arthropoda","Insecta","Plecoptera","Perlidae","Claassenia","family","order",9,"observed - gut/stomach analysis,observed,observed - feeding trial,observed - gut/stomach analysis","2,13,15,47,50,63"
"Helodon","Helodon",369.0369037,"Arthropoda","Insecta","Diptera","Simuliidae","Helodon",369.0369037,"Arthropoda","Insecta","Diptera","Simuliidae","Helodon","family","family",3,"observed - gut/stomach analysis,observed,observed - feeding trial,observed - gut/stomach analysis","2,13,15,47,50,63"
"Helodon","Chironomidae",369.0369037,"Arthropoda","Insecta","Diptera","Simuliidae","Helodon",751.5751575,"Arthropoda","Insecta","Diptera","Chironomidae",,"family","family",9,"observed - gut/stomach analysis,observed,observed - feeding trial,observed - gut/stomach analysis","2,13,15,47,50,63"
"Helodon","Muscidae",369.0369037,"Arthropoda","Insecta","Diptera","Simuliidae","Helodon",4.500450045,"Arthropoda","Insecta","Diptera","Muscidae","Muscidae","family","order",13,"observed - gut/stomach analysis,observed,observed - feeding trial,observed - gut/stomach analysis","2,13,15,47,50,63"
"Helodon","Oligochaeta",369.0369037,"Arthropoda","Insecta","Diptera","Simuliidae","Helodon",31.50315032,"Annelida","Clitellata",,,,"family","exact",2,"observed - gut/stomach analysis,observed,observed - feeding trial,observed - gut/stomach analysis","2,13,15,47,50,63"
"Helodon","Prosimulium",369.0369037,"Arthropoda","Insecta","Diptera","Simuliidae","Helodon",13.50135014,"Arthropoda","Insecta","Diptera","Simuliidae","Prosimulium","family","family",3,"observed - gut/stomach analysis,observed,observed - feeding trial,observed - gut/stomach analysis","2,13,15,47,50,63"
"Helodon","Simulium",369.0369037,"Arthropoda","Insecta","Diptera","Simuliidae","Helodon",598.559856,"Arthropoda","Insecta","Diptera","Simuliidae","Simulium","family","exact",1,"observed - gut/stomach analysis,observed,observed - feeding trial,observed - gut/stomach analysis","2,13,15,47,50,63"
"Helodon","Stegopterna",369.0369037,"Arthropoda","Insecta","Diptera","Simuliidae","Helodon",9.00090009,"Arthropoda","Insecta","Diptera","Simuliidae","Stegopterna","family","family",3,"observed - gut/stomach analysis,observed,observed - feeding trial,observed - gut/stomach analysis","2,13,15,47,50,63"
"Helodon","Zapada",369.0369037,"Arthropoda","Insecta","Diptera","Simuliidae","Helodon",13.50135014,"Arthropoda","Insecta","Plecoptera","Nemouridae","Zapada","family","order",9,"observed - gut/stomach analysis,observed,observed - feeding trial,observed - gut/stomach analysis","2,13,15,47,50,63"
"Chironomidae","Allotrichoma",751.5751575,"Arthropoda","Insecta","Diptera","Chironomidae",,4.500450045,"Arthropoda","Insecta","Diptera","Ephydridae","Allotrichoma","exact","order",1,"observed - gut/stomach analysis,observed,observed - feeding trial,observed - gut/stomach analysis","2,13,15,47,50,63"
"Chironomidae","Baetis",751.5751575,"Arthropoda","Insecta","Diptera","Chironomidae",,36.00360036,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis","exact","order",1,"observed - gut/stomach analysis,observed,observed - feeding trial,observed - gut/stomach analysis","2,13,15,47,50,63"
"Chironomidae","Claassenia",751.5751575,"Arthropoda","Insecta","Diptera","Chironomidae",,18.00180018,"Arthropoda","Insecta","Plecoptera","Perlidae","Claassenia","exact","order",2,"observed - gut/stomach analysis,observed,observed - feeding trial,observed - gut/stomach analysis","2,13,15,47,50,63"
"Chironomidae","Helodon",751.5751575,"Arthropoda","Insecta","Diptera","Chironomidae",,369.0369037,"Arthropoda","Insecta","Diptera","Simuliidae","Helodon","family","family",29,"observed - gut/stomach analysis,observed,observed - feeding trial,observed - gut/stomach analysis","2,13,15,47,50,63"
"Chironomidae","Chironomidae",751.5751575,"Arthropoda","Insecta","Diptera","Chironomidae",,751.5751575,"Arthropoda","Insecta","Diptera","Chironomidae",,"exact","family",1,"observed - gut/stomach analysis,observed,observed - feeding trial,observed - gut/stomach analysis","2,13,15,47,50,63"
"Chironomidae","Muscidae",751.5751575,"Arthropoda","Insecta","Diptera","Chironomidae",,4.500450045,"Arthropoda","Insecta","Diptera","Muscidae","Muscidae","exact","order",1,"observed - gut/stomach analysis,observed,observed - feeding trial,observed - gut/stomach analysis","2,13,15,47,50,63"
"Chironomidae","Oligochaeta",751.5751575,"Arthropoda","Insecta","Diptera","Chironomidae",,31.50315032,"Annelida","Clitellata",,,,"family","exact",21,"observed - gut/stomach analysis,observed,observed - feeding trial,observed - gut/stomach analysis","2,13,15,47,50,63"
"Chironomidae","Prosimulium",751.5751575,"Arthropoda","Insecta","Diptera","Chironomidae",,13.50135014,"Arthropoda","Insecta","Diptera","Simuliidae","Prosimulium","family","family",29,"observed - gut/stomach analysis,observed,observed - feeding trial,observed - gut/stomach analysis","2,13,15,47,50,63"
"Chironomidae","Simulium",751.5751575,"Arthropoda","Insecta","Diptera","Chironomidae",,598.559856,"Arthropoda","Insecta","Diptera","Simuliidae","Simulium","family","exact",14,"observed - gut/stomach analysis,observed,observed - feeding trial,observed - gut/stomach analysis","2,13,15,47,50,63"
"Chironomidae","Stegopterna",751.5751575,"Arthropoda","Insecta","Diptera","Chironomidae",,9.00090009,"Arthropoda","Insecta","Diptera","Simuliidae","Stegopterna","family","family",29,"observed - gut/stomach analysis,observed,observed - feeding trial,observed - gut/stomach analysis","2,13,15,47,50,63"
"Chironomidae","Zapada",751.5751575,"Arthropoda","Insecta","Diptera","Chironomidae",,13.50135014,"Arthropoda","Insecta","Plecoptera","Nemouridae","Zapada","exact","order",2,"observed - gut/stomach analysis,observed,observed - feeding trial,observed - gut/stomach analysis","2,13,15,47,50,63"
"Muscidae","Allotrichoma",4.500450045,"Arthropoda","Insecta","Diptera","Muscidae","Muscidae",4.500450045,"Arthropoda","Insecta","Diptera","Ephydridae","Allotrichoma","order","order",242,"observed - gut/stomach analysis,observed,observed - feeding trial,observed - gut/stomach analysis","2,13,15,47,50,63"
"Muscidae","Baetis",4.500450045,"Arthropoda","Insecta","Diptera","Muscidae","Muscidae",36.00360036,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis","order","order",12,"observed - gut/stomach analysis,observed,observed - feeding trial,observed - gut/stomach analysis","2,13,15,47,50,63"
"Muscidae","Claassenia",4.500450045,"Arthropoda","Insecta","Diptera","Muscidae","Muscidae",18.00180018,"Arthropoda","Insecta","Plecoptera","Perlidae","Claassenia","order","order",85,"observed - gut/stomach analysis,observed,observed - feeding trial,observed - gut/stomach analysis","2,13,15,47,50,63"
"Muscidae","Helodon",4.500450045,"Arthropoda","Insecta","Diptera","Muscidae","Muscidae",369.0369037,"Arthropoda","Insecta","Diptera","Simuliidae","Helodon","order","family",32,"observed - gut/stomach analysis,observed,observed - feeding trial,observed - gut/stomach analysis","2,13,15,47,50,63"
"Muscidae","Chironomidae",4.500450045,"Arthropoda","Insecta","Diptera","Muscidae","Muscidae",751.5751575,"Arthropoda","Insecta","Diptera","Chironomidae",,"order","family",165,"observed - gut/stomach analysis,observed,observed - feeding trial,observed - gut/stomach analysis","2,13,15,47,50,63"
"Muscidae","Muscidae",4.500450045,"Arthropoda","Insecta","Diptera","Muscidae","Muscidae",4.500450045,"Arthropoda","Insecta","Diptera","Muscidae","Muscidae","order","order",242,"observed - gut/stomach analysis,observed,observed - feeding trial,observed - gut/stomach analysis","2,13,15,47,50,63"
"Muscidae","Oligochaeta",4.500450045,"Arthropoda","Insecta","Diptera","Muscidae","Muscidae",31.50315032,"Annelida","Clitellata",,,,"order","exact",23,"observed - gut/stomach analysis,observed,observed - feeding trial,observed - gut/stomach analysis","2,13,15,47,50,63"
"Muscidae","Prosimulium",4.500450045,"Arthropoda","Insecta","Diptera","Muscidae","Muscidae",13.50135014,"Arthropoda","Insecta","Diptera","Simuliidae","Prosimulium","order","family",32,"observed - gut/stomach analysis,observed,observed - feeding trial,observed - gut/stomach analysis","2,13,15,47,50,63"
"Muscidae","Simulium",4.500450045,"Arthropoda","Insecta","Diptera","Muscidae","Muscidae",598.559856,"Arthropoda","Insecta","Diptera","Simuliidae","Simulium","order","exact",15,"observed - gut/stomach analysis,observed,observed - feeding trial,observed - gut/stomach analysis","2,13,15,47,50,63"
"Muscidae","Stegopterna",4.500450045,"Arthropoda","Insecta","Diptera","Muscidae","Muscidae",9.00090009,"Arthropoda","Insecta","Diptera","Simuliidae","Stegopterna","order","family",32,"observed - gut/stomach analysis,observed,observed - feeding trial,observed - gut/stomach analysis","2,13,15,47,50,63"
"Muscidae","Zapada",4.500450045,"Arthropoda","Insecta","Diptera","Muscidae","Muscidae",13.50135014,"Arthropoda","Insecta","Plecoptera","Nemouridae","Zapada","order","order",85,"observed - gut/stomach analysis,observed,observed - feeding trial,observed - gut/stomach analysis","2,13,15,47,50,63"
"Oligochaeta","Allotrichoma",31.50315032,"Annelida","Clitellata",,,,4.500450045,"Arthropoda","Insecta","Diptera","Ephydridae","Allotrichoma","exact","order",5,"observed - gut/stomach analysis,observed,observed - feeding trial,observed - gut/stomach analysis","2,13,15,47,50,63"
"Oligochaeta","Baetis",31.50315032,"Annelida","Clitellata",,,,36.00360036,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis","exact","order",1,"observed - gut/stomach analysis,observed,observed - feeding trial,observed - gut/stomach analysis","2,13,15,47,50,63"
"Oligochaeta","Claassenia",31.50315032,"Annelida","Clitellata",,,,18.00180018,"Arthropoda","Insecta","Plecoptera","Perlidae","Claassenia","exact","order",4,"observed - gut/stomach analysis,observed,observed - feeding trial,observed - gut/stomach analysis","2,13,15,47,50,63"
"Oligochaeta","Helodon",31.50315032,"Annelida","Clitellata",,,,369.0369037,"Arthropoda","Insecta","Diptera","Simuliidae","Helodon","exact","order",5,"observed - gut/stomach analysis,observed,observed - feeding trial,observed - gut/stomach analysis","2,13,15,47,50,63"
"Oligochaeta","Chironomidae",31.50315032,"Annelida","Clitellata",,,,751.5751575,"Arthropoda","Insecta","Diptera","Chironomidae",,"exact","family",4,"observed - gut/stomach analysis,observed,observed - feeding trial,observed - gut/stomach analysis","2,13,15,47,50,63"
"Oligochaeta","Muscidae",31.50315032,"Annelida","Clitellata",,,,4.500450045,"Arthropoda","Insecta","Diptera","Muscidae","Muscidae","exact","order",5,"observed - gut/stomach analysis,observed,observed - feeding trial,observed - gut/stomach analysis","2,13,15,47,50,63"
"Oligochaeta","Oligochaeta",31.50315032,"Annelida","Clitellata",,,,31.50315032,"Annelida","Clitellata",,,,"exact","exact",2,"observed - gut/stomach analysis,observed,observed - feeding trial,observed - gut/stomach analysis","2,13,15,47,50,63"
"Oligochaeta","Prosimulium",31.50315032,"Annelida","Clitellata",,,,13.50135014,"Arthropoda","Insecta","Diptera","Simuliidae","Prosimulium","exact","order",5,"observed - gut/stomach analysis,observed,observed - feeding trial,observed - gut/stomach analysis","2,13,15,47,50,63"
"Oligochaeta","Simulium",31.50315032,"Annelida","Clitellata",,,,598.559856,"Arthropoda","Insecta","Diptera","Simuliidae","Simulium","exact","order",5,"observed - gut/stomach analysis,observed,observed - feeding trial,observed - gut/stomach analysis","2,13,15,47,50,63"
"Oligochaeta","Stegopterna",31.50315032,"Annelida","Clitellata",,,,9.00090009,"Arthropoda","Insecta","Diptera","Simuliidae","Stegopterna","exact","order",5,"observed - gut/stomach analysis,observed,observed - feeding trial,observed - gut/stomach analysis","2,13,15,47,50,63"
"Oligochaeta","Zapada",31.50315032,"Annelida","Clitellata",,,,13.50135014,"Arthropoda","Insecta","Plecoptera","Nemouridae","Zapada","exact","order",4,"observed - gut/stomach analysis,observed,observed - feeding trial,observed - gut/stomach analysis","2,13,15,47,50,63"
"Pisidium","Oligochaeta",121.5121512,"Mollusca","Bivalvia","Veneroida","Pisidiidae","Pisidium",31.50315032,"Annelida","Clitellata",,,,"exact","exact",1,"observed - gut/stomach analysis,observed,observed - feeding trial,observed - gut/stomach analysis","2,13,15,47,50,63"
"Prosimulium","Allotrichoma",13.50135014,"Arthropoda","Insecta","Diptera","Simuliidae","Prosimulium",4.500450045,"Arthropoda","Insecta","Diptera","Ephydridae","Allotrichoma","family","order",13,"observed - gut/stomach analysis,observed,observed - feeding trial,observed - gut/stomach analysis","2,13,15,47,50,63"
"Prosimulium","Baetis",13.50135014,"Arthropoda","Insecta","Diptera","Simuliidae","Prosimulium",36.00360036,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis","order","order",12,"observed - gut/stomach analysis,observed,observed - feeding trial,observed - gut/stomach analysis","2,13,15,47,50,63"
"Prosimulium","Claassenia",13.50135014,"Arthropoda","Insecta","Diptera","Simuliidae","Prosimulium",18.00180018,"Arthropoda","Insecta","Plecoptera","Perlidae","Claassenia","family","order",9,"observed - gut/stomach analysis,observed,observed - feeding trial,observed - gut/stomach analysis","2,13,15,47,50,63"
"Prosimulium","Helodon",13.50135014,"Arthropoda","Insecta","Diptera","Simuliidae","Prosimulium",369.0369037,"Arthropoda","Insecta","Diptera","Simuliidae","Helodon","family","family",3,"observed - gut/stomach analysis,observed,observed - feeding trial,observed - gut/stomach analysis","2,13,15,47,50,63"
"Prosimulium","Chironomidae",13.50135014,"Arthropoda","Insecta","Diptera","Simuliidae","Prosimulium",751.5751575,"Arthropoda","Insecta","Diptera","Chironomidae",,"family","family",9,"observed - gut/stomach analysis,observed,observed - feeding trial,observed - gut/stomach analysis","2,13,15,47,50,63"
"Prosimulium","Muscidae",13.50135014,"Arthropoda","Insecta","Diptera","Simuliidae","Prosimulium",4.500450045,"Arthropoda","Insecta","Diptera","Muscidae","Muscidae","family","order",13,"observed - gut/stomach analysis,observed,observed - feeding trial,observed - gut/stomach analysis","2,13,15,47,50,63"
"Prosimulium","Oligochaeta",13.50135014,"Arthropoda","Insecta","Diptera","Simuliidae","Prosimulium",31.50315032,"Annelida","Clitellata",,,,"family","exact",2,"observed - gut/stomach analysis,observed,observed - feeding trial,observed - gut/stomach analysis","2,13,15,47,50,63"
"Prosimulium","Prosimulium",13.50135014,"Arthropoda","Insecta","Diptera","Simuliidae","Prosimulium",13.50135014,"Arthropoda","Insecta","Diptera","Simuliidae","Prosimulium","family","family",3,"observed - gut/stomach analysis,observed,observed - feeding trial,observed - gut/stomach analysis","2,13,15,47,50,63"
"Prosimulium","Simulium",13.50135014,"Arthropoda","Insecta","Diptera","Simuliidae","Prosimulium",598.559856,"Arthropoda","Insecta","Diptera","Simuliidae","Simulium","family","exact",1,"observed - gut/stomach analysis,observed,observed - feeding trial,observed - gut/stomach analysis","2,13,15,47,50,63"
