"resource","consumer","res.density","res.phylum","res.class","res.order","res.family","res.genus","con.density","con.phylum","con.class","con.order","con.family","con.genus","res.method","con.method","N.records","linkevidence","source.id"
"Baetis","Hydropsyche",238.5238524,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis",4.500450045,"Arthropoda","Insecta","Trichoptera","Hydropsychidae","Hydropsyche","exact","exact",1,"observed,observed - feeding trial,observed - field; gut/stomach analysis,observed - field; gut/stomach analysis; published account,observed - gut/stomach analysis","10,11,15,23,28,46,47,59"
"Baetis","Chironomidae",238.5238524,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis",387.0387039,"Arthropoda","Insecta","Diptera","Chironomidae",,"exact","family",4,"observed,observed - feeding trial,observed - field; gut/stomach analysis,observed - field; gut/stomach analysis; published account,observed - gut/stomach analysis","10,11,15,23,28,46,47,59"
"Baetis","Oligochaeta",238.5238524,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis",121.5121512,"Annelida","Clitellata",,,,"exact","exact",1,"observed,observed - feeding trial,observed - field; gut/stomach analysis,observed - field; gut/stomach analysis; published account,observed - gut/stomach analysis","10,11,15,23,28,46,47,59"
"Baetis","Rhyacophila",238.5238524,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis",27.00270027,"Arthropoda","Insecta","Trichoptera","Rhyacophilidae","Rhyacophila","genus","exact",2,"observed,observed - feeding trial,observed - field; gut/stomach analysis,observed - field; gut/stomach analysis; published account,observed - gut/stomach analysis","10,11,15,23,28,46,47,59"
"Diphetor","Hydropsyche",9.00090009,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Diphetor",4.500450045,"Arthropoda","Insecta","Trichoptera","Hydropsychidae","Hydropsyche","family","exact",1,"observed,observed - feeding trial,observed - field; gut/stomach analysis,observed - field; gut/stomach analysis; published account,observed - gut/stomach analysis","10,11,15,23,28,46,47,59"
"Diphetor","Chironomidae",9.00090009,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Diphetor",387.0387039,"Arthropoda","Insecta","Diptera","Chironomidae",,"family","family",4,"observed,observed - feeding trial,observed - field; gut/stomach analysis,observed - field; gut/stomach analysis; published account,observed - gut/stomach analysis","10,11,15,23,28,46,47,59"
"Diphetor","Oligochaeta",9.00090009,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Diphetor",121.5121512,"Annelida","Clitellata",,,,"family","exact",3,"observed,observed - feeding trial,observed - field; gut/stomach analysis,observed - field; gut/stomach analysis; published account,observed - gut/stomach analysis","10,11,15,23,28,46,47,59"
"Diphetor","Rhyacophila",9.00090009,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Diphetor",27.00270027,"Arthropoda","Insecta","Trichoptera","Rhyacophilidae","Rhyacophila","family","exact",2,"observed,observed - feeding trial,observed - field; gut/stomach analysis,observed - field; gut/stomach analysis; published account,observed - gut/stomach analysis","10,11,15,23,28,46,47,59"
"Helodon","Helodon",94.50945095,"Arthropoda","Insecta","Diptera","Simuliidae","Helodon",94.50945095,"Arthropoda","Insecta","Diptera","Simuliidae","Helodon","family","family",3,"observed,observed - feeding trial,observed - field; gut/stomach analysis,observed - field; gut/stomach analysis; published account,observed - gut/stomach analysis","10,11,15,23,28,46,47,59"
"Helodon","Hydropsyche",94.50945095,"Arthropoda","Insecta","Diptera","Simuliidae","Helodon",4.500450045,"Arthropoda","Insecta","Trichoptera","Hydropsychidae","Hydropsyche","family","exact",1,"observed,observed - feeding trial,observed - field; gut/stomach analysis,observed - field; gut/stomach analysis; published account,observed - gut/stomach analysis","10,11,15,23,28,46,47,59"
"Helodon","Chironomidae",94.50945095,"Arthropoda","Insecta","Diptera","Simuliidae","Helodon",387.0387039,"Arthropoda","Insecta","Diptera","Chironomidae",,"family","family",6,"observed,observed - feeding trial,observed - field; gut/stomach analysis,observed - field; gut/stomach analysis; published account,observed - gut/stomach analysis","10,11,15,23,28,46,47,59"
"Helodon","Oligochaeta",94.50945095,"Arthropoda","Insecta","Diptera","Simuliidae","Helodon",121.5121512,"Annelida","Clitellata",,,,"family","exact",2,"observed,observed - feeding trial,observed - field; gut/stomach analysis,observed - field; gut/stomach analysis; published account,observed - gut/stomach analysis","10,11,15,23,28,46,47,59"
"Helodon","Rhyacophila",94.50945095,"Arthropoda","Insecta","Diptera","Simuliidae","Helodon",27.00270027,"Arthropoda","Insecta","Trichoptera","Rhyacophilidae","Rhyacophila","family","exact",1,"observed,observed - feeding trial,observed - field; gut/stomach analysis,observed - field; gut/stomach analysis; published account,observed - gut/stomach analysis","10,11,15,23,28,46,47,59"
"Helodon","Simulium",94.50945095,"Arthropoda","Insecta","Diptera","Simuliidae","Helodon",49.5049505,"Arthropoda","Insecta","Diptera","Simuliidae","Simulium","family","exact",1,"observed,observed - feeding trial,observed - field; gut/stomach analysis,observed - field; gut/stomach analysis; published account,observed - gut/stomach analysis","10,11,15,23,28,46,47,59"
"Hydropsyche","Rhyacophila",4.500450045,"Arthropoda","Insecta","Trichoptera","Hydropsychidae","Hydropsyche",27.00270027,"Arthropoda","Insecta","Trichoptera","Rhyacophilidae","Rhyacophila","genus","exact",2,"observed,observed - feeding trial,observed - field; gut/stomach analysis,observed - field; gut/stomach analysis; published account,observed - gut/stomach analysis","10,11,15,23,28,46,47,59"
"Chironomidae","Helodon",387.0387039,"Arthropoda","Insecta","Diptera","Chironomidae",,94.50945095,"Arthropoda","Insecta","Diptera","Simuliidae","Helodon","family","family",29,"observed,observed - feeding trial,observed - field; gut/stomach analysis,observed - field; gut/stomach analysis; published account,observed - gut/stomach analysis","10,11,15,23,28,46,47,59"
"Chironomidae","Hydropsyche",387.0387039,"Arthropoda","Insecta","Diptera","Chironomidae",,4.500450045,"Arthropoda","Insecta","Trichoptera","Hydropsychidae","Hydropsyche","family","exact",9,"observed,observed - feeding trial,observed - field; gut/stomach analysis,observed - field; gut/stomach analysis; published account,observed - gut/stomach analysis","10,11,15,23,28,46,47,59"
"Chironomidae","Chironomidae",387.0387039,"Arthropoda","Insecta","Diptera","Chironomidae",,387.0387039,"Arthropoda","Insecta","Diptera","Chironomidae",,"family","family",144,"observed,observed - feeding trial,observed - field; gut/stomach analysis,observed - field; gut/stomach analysis; published account,observed - gut/stomach analysis","10,11,15,23,28,46,47,59"
"Chironomidae","Oligochaeta",387.0387039,"Arthropoda","Insecta","Diptera","Chironomidae",,121.5121512,"Annelida","Clitellata",,,,"family","exact",21,"observed,observed - feeding trial,observed - field; gut/stomach analysis,observed - field; gut/stomach analysis; published account,observed - gut/stomach analysis","10,11,15,23,28,46,47,59"
"Chironomidae","Rhyacophila",387.0387039,"Arthropoda","Insecta","Diptera","Chironomidae",,27.00270027,"Arthropoda","Insecta","Trichoptera","Rhyacophilidae","Rhyacophila","family","exact",14,"observed,observed - feeding trial,observed - field; gut/stomach analysis,observed - field; gut/stomach analysis; published account,observed - gut/stomach analysis","10,11,15,23,28,46,47,59"
"Chironomidae","Serratella",387.0387039,"Arthropoda","Insecta","Diptera","Chironomidae",,22.50225023,"Arthropoda","Insecta","Ephemeroptera","Ephemerellidae","Serratella","family","genus",6,"observed,observed - feeding trial,observed - field; gut/stomach analysis,observed - field; gut/stomach analysis; published account,observed - gut/stomach analysis","10,11,15,23,28,46,47,59"
"Chironomidae","Simulium",387.0387039,"Arthropoda","Insecta","Diptera","Chironomidae",,49.5049505,"Arthropoda","Insecta","Diptera","Simuliidae","Simulium","family","exact",14,"observed,observed - feeding trial,observed - field; gut/stomach analysis,observed - field; gut/stomach analysis; published account,observed - gut/stomach analysis","10,11,15,23,28,46,47,59"
