"resource","consumer","res.density","res.phylum","res.class","res.order","res.family","res.genus","con.density","con.phylum","con.class","con.order","con.family","con.genus","res.method","con.method","N.records","linkevidence","source.id"
"Baetis","Hydropsyche",643.5643564,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis",9.00090009,"Arthropoda","Insecta","Trichoptera","Hydropsychidae","Hydropsyche","exact","exact",1,"observed - gut/stomach analysis,observed,observed - feeding trial,observed - gut/stomach analysis","2,13,15,47,50,63"
"Baetis","Oligochaeta",643.5643564,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis",36.00360036,"Annelida","Clitellata",,,,"exact","exact",1,"observed - gut/stomach analysis,observed,observed - feeding trial,observed - gut/stomach analysis","2,13,15,47,50,63"
"Baetis","Rhyacophila",643.5643564,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis",13.50135014,"Arthropoda","Insecta","Trichoptera","Rhyacophilidae","Rhyacophila","genus","exact",2,"observed - gut/stomach analysis,observed,observed - feeding trial,observed - gut/stomach analysis","2,13,15,47,50,63"
"Hydropsyche","Rhyacophila",9.00090009,"Arthropoda","Insecta","Trichoptera","Hydropsychidae","Hydropsyche",13.50135014,"Arthropoda","Insecta","Trichoptera","Rhyacophilidae","Rhyacophila","genus","exact",2,"observed - gut/stomach analysis,observed,observed - feeding trial,observed - gut/stomach analysis","2,13,15,47,50,63"
"Chironomidae","Hydropsyche",949.5949595,"Arthropoda","Insecta","Diptera","Chironomidae",,9.00090009,"Arthropoda","Insecta","Trichoptera","Hydropsychidae","Hydropsyche","exact","genus",1,"observed - gut/stomach analysis,observed,observed - feeding trial,observed - gut/stomach analysis","2,13,15,47,50,63"
"Oligochaeta","Oligochaeta",36.00360036,"Annelida","Clitellata",,,,36.00360036,"Annelida","Clitellata",,,,"exact","exact",2,"observed - gut/stomach analysis,observed,observed - feeding trial,observed - gut/stomach analysis","2,13,15,47,50,63"
"Rhyacophila","Rhyacophila",13.50135014,"Arthropoda","Insecta","Trichoptera","Rhyacophilidae","Rhyacophila",13.50135014,"Arthropoda","Insecta","Trichoptera","Rhyacophilidae","Rhyacophila","exact","exact",1,"observed - gut/stomach analysis,observed,observed - feeding trial,observed - gut/stomach analysis","2,13,15,47,50,63"
"Simulium","Oligochaeta",49.5049505,"Arthropoda","Insecta","Diptera","Simuliidae","Simulium",36.00360036,"Annelida","Clitellata",,,,"exact","exact",1,"observed - gut/stomach analysis,observed,observed - feeding trial,observed - gut/stomach analysis","2,13,15,47,50,63"
"Simulium","Rhyacophila",49.5049505,"Arthropoda","Insecta","Diptera","Simuliidae","Simulium",13.50135014,"Arthropoda","Insecta","Trichoptera","Rhyacophilidae","Rhyacophila","exact","exact",1,"observed - gut/stomach analysis,observed,observed - feeding trial,observed - gut/stomach analysis","2,13,15,47,50,63"
"Simulium","Simulium",49.5049505,"Arthropoda","Insecta","Diptera","Simuliidae","Simulium",49.5049505,"Arthropoda","Insecta","Diptera","Simuliidae","Simulium","exact","exact",1,"observed - gut/stomach analysis,observed,observed - feeding trial,observed - gut/stomach analysis","2,13,15,47,50,63"
