"node","density","phylum","class","order","family","genus"
"Ameletus",4.500450045,"Arthropoda","Insecta","Ephemeroptera","Ameletidae","Ameletus"
"Baetis",148.5148515,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis"
"Calineuria",4.500450045,"Arthropoda","Insecta","Plecoptera","Perlidae","Calineuria"
"Callibaetis",31.50315032,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Callibaetis"
"Cheumatopsyche",13.50135014,"Arthropoda","Insecta","Trichoptera","Hydropsychidae","Cheumatopsyche"
"Claassenia",9.00090009,"Arthropoda","Insecta","Plecoptera","Perlidae","Claassenia"
"Ephemerella",13.50135014,"Arthropoda","Insecta","Ephemeroptera","Ephemerellidae","Ephemerella"
"Helodon",9.00090009,"Arthropoda","Insecta","Diptera","Simuliidae","Helodon"
"Hydropsyche",4.500450045,"Arthropoda","Insecta","Trichoptera","Hydropsychidae","Hydropsyche"
"Malenka",4.500450045,"Arthropoda","Insecta","Plecoptera","Nemouridae","Malenka"
"Acari",4.500450045,"Arthropoda","Arachnida",,,
"Chironomidae",1305.130513,"Arthropoda","Insecta","Diptera","Chironomidae",
"Paraleptophlebia",13.50135014,"Arthropoda","Insecta","Ephemeroptera","Leptophlebiidae","Paraleptophlebia"
"Rhyacophila",13.50135014,"Arthropoda","Insecta","Trichoptera","Rhyacophilidae","Rhyacophila"
"Simulium",36.00360036,"Arthropoda","Insecta","Diptera","Simuliidae","Simulium"
"Zapada",54.00540054,"Arthropoda","Insecta","Plecoptera","Nemouridae","Zapada"
