"node","density","phylum","class","order","family","genus"
"Acentrella",9.00090009,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Acentrella"
"Aedes",4.500450045,"Arthropoda","Insecta","Diptera","Culicidae","Aedes"
"Agraylea",18.00180018,"Arthropoda","Insecta","Trichoptera","Hydroptilidae","Agraylea"
"Allotrichoma",4.500450045,"Arthropoda","Insecta","Diptera","Ephydridae","Allotrichoma"
"Ameletus",11.2511251125,"Arthropoda","Insecta","Ephemeroptera","Ameletidae","Ameletus"
"Apatania",4.500450045,"Arthropoda","Insecta","Trichoptera","Apataniidae","Apatania"
"Baetis",213.15767944,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis"
"Calineuria",6.7506750675,"Arthropoda","Insecta","Plecoptera","Perlidae","Calineuria"
"Callibaetis",122.6372637275,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Callibaetis"
"Centroptilum",310.5310531,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Centroptilum"
"Cheumatopsyche",45.0045004533333,"Arthropoda","Insecta","Trichoptera","Hydropsychidae","Cheumatopsyche"
"Claassenia",25.5025502566667,"Arthropoda","Insecta","Plecoptera","Perlidae","Claassenia"
"Cleptelmis",45.00450045,"Arthropoda","Insecta","Coleoptera","Elmidae","Cleptelmis"
"Desmona",9.00090009,"Arthropoda","Insecta","Trichoptera","Limnephilidae","Desmona"
"Diphetor",193.51935193,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Diphetor"
"Doroneuria",31.50315032,"Arthropoda","Insecta","Plecoptera","Perlidae","Doroneuria"
"Drunella",13.501350135,"Arthropoda","Insecta","Ephemeroptera","Ephemerellidae","Drunella"
"Ephemerella",11.251125115,"Arthropoda","Insecta","Ephemeroptera","Ephemerellidae","Ephemerella"
"Helodon",258.21332134375,"Arthropoda","Insecta","Diptera","Simuliidae","Helodon"
"Hesperoperla",9.00090009,"Arthropoda","Insecta","Plecoptera","Perlidae","Hesperoperla"
"Heteroplectron",6.7506750675,"Arthropoda","Insecta","Trichoptera","Calamoceratidae","Heteroplectron"
"Hydropsyche",6.7506750675,"Arthropoda","Insecta","Trichoptera","Hydropsychidae","Hydropsyche"
"Ironodes",12.0012001233333,"Arthropoda","Insecta","Ephemeroptera","Heptageniidae","Ironodes"
"Isoperla",27.00270027,"Arthropoda","Insecta","Plecoptera","Perlodidae","Isoperla"
"Lednia",128.262826265,"Arthropoda","Insecta","Plecoptera","Nemouridae","Lednia"
"Malenka",4.500450045,"Arthropoda","Insecta","Plecoptera","Nemouridae","Malenka"
"Acari",21.0021002116667,"Arthropoda","Arachnida",,,
"Chironomidae",843.629817509091,"Arthropoda","Insecta","Diptera","Chironomidae",
"Muscidae",4.500450045,"Arthropoda","Insecta","Diptera","Muscidae","Muscidae"
"Nematomorpha",13.50135014,"Nematomorpha",,,,
"Nemertea",27.0027002733333,"Nemertea",,,,
"Oligochaeta",145.30024431,"Annelida","Clitellata",,,
"Ostracoda",36.00360036,"Arthropoda","Ostracoda",,,
"Turbellaria",67.5067506716667,"Platyhelminthes","Turbellaria",,,
"Ochrotrichia",74.2574257225,"Arthropoda","Insecta","Trichoptera","Hydroptilidae","Ochrotrichia"
"Optioservus",76.50765077,"Arthropoda","Insecta","Coleoptera","Elmidae","Optioservus"
"Oreodytes",4.500450045,"Arthropoda","Insecta","Coleoptera","Dytiscidae","Oreodytes"
"Oreogeton",4.500450045,"Arthropoda","Insecta","Diptera","Empididae","Oreogeton"
"Paraleptophlebia",18.901890191,"Arthropoda","Insecta","Ephemeroptera","Leptophlebiidae","Paraleptophlebia"
"Pisidium",445.54455442,"Mollusca","Bivalvia","Veneroida","Pisidiidae","Pisidium"
"Prosimulium",13.5013501366667,"Arthropoda","Insecta","Diptera","Simuliidae","Prosimulium"
"Rhithrogena",238.5238524,"Arthropoda","Insecta","Ephemeroptera","Heptageniidae","Rhithrogena"
"Rhizelmis",9.00090009,"Arthropoda","Insecta","Coleoptera","Elmidae","Rhizelmis"
"Rhyacophila",23.5023502361111,"Arthropoda","Insecta","Trichoptera","Rhyacophilidae","Rhyacophila"
"Serratella",22.50225023,"Arthropoda","Insecta","Ephemeroptera","Ephemerellidae","Serratella"
"Simulium",150.515051503889,"Arthropoda","Insecta","Diptera","Simuliidae","Simulium"
"Siphlonurus",18.00180018,"Arthropoda","Insecta","Ephemeroptera","Siphlonuridae","Siphlonurus"
"Stegopterna",20.252025205,"Arthropoda","Insecta","Diptera","Simuliidae","Stegopterna"
"Stilobezzia",4.500450045,"Arthropoda","Insecta","Diptera","Ceratopogonidae","Stilobezzia"
"Zapada",68.856885693,"Arthropoda","Insecta","Plecoptera","Nemouridae","Zapada"
