"resource","consumer","res.density","res.phylum","res.class","res.order","res.family","res.genus","con.density","con.phylum","con.class","con.order","con.family","con.genus","res.method","con.method","N.records","linkevidence","source.id"
"Acentrella","Cheumatopsyche",9.00090009,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Acentrella",45.0045004533333,"Arthropoda","Insecta","Trichoptera","Hydropsychidae","Cheumatopsyche","family","family",7,"observed - gut/stomach analysis","63"
"Acentrella","Hydropsyche",9.00090009,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Acentrella",6.7506750675,"Arthropoda","Insecta","Trichoptera","Hydropsychidae","Hydropsyche","family","exact",1,"observed - gut/stomach analysis","63"
"Acentrella","Isoperla",9.00090009,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Acentrella",27.00270027,"Arthropoda","Insecta","Plecoptera","Perlodidae","Isoperla","family","genus",4,"observed - gut/stomach analysis","63"
"Acentrella","Chironomidae",9.00090009,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Acentrella",843.629817509091,"Arthropoda","Insecta","Diptera","Chironomidae",,"family","family",4,"observed - gut/stomach analysis","63"
"Acentrella","Oligochaeta",9.00090009,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Acentrella",145.30024431,"Annelida","Clitellata",,,,"family","exact",3,"observed - gut/stomach analysis","63"
"Acentrella","Rhyacophila",9.00090009,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Acentrella",23.5023502361111,"Arthropoda","Insecta","Trichoptera","Rhyacophilidae","Rhyacophila","family","exact",2,"observed - gut/stomach analysis","63"
"Baetis","Cheumatopsyche",213.15767944,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis",45.0045004533333,"Arthropoda","Insecta","Trichoptera","Hydropsychidae","Cheumatopsyche","exact","family",3,"observed - gut/stomach analysis","63"
"Baetis","Hydropsyche",213.15767944,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis",6.7506750675,"Arthropoda","Insecta","Trichoptera","Hydropsychidae","Hydropsyche","exact","exact",1,"observed - gut/stomach analysis","63"
"Baetis","Isoperla",213.15767944,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis",27.00270027,"Arthropoda","Insecta","Plecoptera","Perlodidae","Isoperla","genus","genus",4,"observed - gut/stomach analysis","63"
"Baetis","Chironomidae",213.15767944,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis",843.629817509091,"Arthropoda","Insecta","Diptera","Chironomidae",,"exact","family",4,"observed - gut/stomach analysis","63"
"Baetis","Oligochaeta",213.15767944,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis",145.30024431,"Annelida","Clitellata",,,,"exact","exact",1,"observed - gut/stomach analysis","63"
"Baetis","Rhyacophila",213.15767944,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis",23.5023502361111,"Arthropoda","Insecta","Trichoptera","Rhyacophilidae","Rhyacophila","genus","exact",2,"observed - gut/stomach analysis","63"
"Callibaetis","Cheumatopsyche",122.6372637275,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Callibaetis",45.0045004533333,"Arthropoda","Insecta","Trichoptera","Hydropsychidae","Cheumatopsyche","family","family",7,"observed - gut/stomach analysis","63"
"Callibaetis","Hydropsyche",122.6372637275,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Callibaetis",6.7506750675,"Arthropoda","Insecta","Trichoptera","Hydropsychidae","Hydropsyche","family","exact",1,"observed - gut/stomach analysis","63"
"Callibaetis","Isoperla",122.6372637275,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Callibaetis",27.00270027,"Arthropoda","Insecta","Plecoptera","Perlodidae","Isoperla","family","genus",4,"observed - gut/stomach analysis","63"
"Callibaetis","Chironomidae",122.6372637275,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Callibaetis",843.629817509091,"Arthropoda","Insecta","Diptera","Chironomidae",,"family","family",4,"observed - gut/stomach analysis","63"
"Callibaetis","Oligochaeta",122.6372637275,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Callibaetis",145.30024431,"Annelida","Clitellata",,,,"family","exact",3,"observed - gut/stomach analysis","63"
"Callibaetis","Rhyacophila",122.6372637275,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Callibaetis",23.5023502361111,"Arthropoda","Insecta","Trichoptera","Rhyacophilidae","Rhyacophila","family","exact",2,"observed - gut/stomach analysis","63"
"Centroptilum","Cheumatopsyche",310.5310531,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Centroptilum",45.0045004533333,"Arthropoda","Insecta","Trichoptera","Hydropsychidae","Cheumatopsyche","family","family",7,"observed - gut/stomach analysis","63"
"Centroptilum","Hydropsyche",310.5310531,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Centroptilum",6.7506750675,"Arthropoda","Insecta","Trichoptera","Hydropsychidae","Hydropsyche","family","exact",1,"observed - gut/stomach analysis","63"
"Centroptilum","Isoperla",310.5310531,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Centroptilum",27.00270027,"Arthropoda","Insecta","Plecoptera","Perlodidae","Isoperla","family","genus",4,"observed - gut/stomach analysis","63"
"Centroptilum","Chironomidae",310.5310531,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Centroptilum",843.629817509091,"Arthropoda","Insecta","Diptera","Chironomidae",,"family","family",4,"observed - gut/stomach analysis","63"
"Centroptilum","Oligochaeta",310.5310531,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Centroptilum",145.30024431,"Annelida","Clitellata",,,,"family","exact",3,"observed - gut/stomach analysis","63"
"Centroptilum","Rhyacophila",310.5310531,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Centroptilum",23.5023502361111,"Arthropoda","Insecta","Trichoptera","Rhyacophilidae","Rhyacophila","family","exact",2,"observed - gut/stomach analysis","63"
"Cheumatopsyche","Rhyacophila",45.0045004533333,"Arthropoda","Insecta","Trichoptera","Hydropsychidae","Cheumatopsyche",23.5023502361111,"Arthropoda","Insecta","Trichoptera","Rhyacophilidae","Rhyacophila","family","exact",2,"observed - gut/stomach analysis","63"
"Cleptelmis","Cheumatopsyche",45.00450045,"Arthropoda","Insecta","Coleoptera","Elmidae","Cleptelmis",45.0045004533333,"Arthropoda","Insecta","Trichoptera","Hydropsychidae","Cheumatopsyche","family","family",1,"observed - gut/stomach analysis","63"
"Cleptelmis","Hydropsyche",45.00450045,"Arthropoda","Insecta","Coleoptera","Elmidae","Cleptelmis",6.7506750675,"Arthropoda","Insecta","Trichoptera","Hydropsychidae","Hydropsyche","family","exact",1,"observed - gut/stomach analysis","63"
"Cleptelmis","Chironomidae",45.00450045,"Arthropoda","Insecta","Coleoptera","Elmidae","Cleptelmis",843.629817509091,"Arthropoda","Insecta","Diptera","Chironomidae",,"family","family",4,"observed - gut/stomach analysis","63"
"Cleptelmis","Rhyacophila",45.00450045,"Arthropoda","Insecta","Coleoptera","Elmidae","Cleptelmis",23.5023502361111,"Arthropoda","Insecta","Trichoptera","Rhyacophilidae","Rhyacophila","family","genus",1,"observed - gut/stomach analysis","63"
"Desmona","Chironomidae",9.00090009,"Arthropoda","Insecta","Trichoptera","Limnephilidae","Desmona",843.629817509091,"Arthropoda","Insecta","Diptera","Chironomidae",,"family","family",1,"observed - gut/stomach analysis","63"
"Diphetor","Cheumatopsyche",193.51935193,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Diphetor",45.0045004533333,"Arthropoda","Insecta","Trichoptera","Hydropsychidae","Cheumatopsyche","family","family",7,"observed - gut/stomach analysis","63"
"Diphetor","Hydropsyche",193.51935193,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Diphetor",6.7506750675,"Arthropoda","Insecta","Trichoptera","Hydropsychidae","Hydropsyche","family","exact",1,"observed - gut/stomach analysis","63"
"Diphetor","Isoperla",193.51935193,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Diphetor",27.00270027,"Arthropoda","Insecta","Plecoptera","Perlodidae","Isoperla","family","genus",4,"observed - gut/stomach analysis","63"
"Diphetor","Chironomidae",193.51935193,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Diphetor",843.629817509091,"Arthropoda","Insecta","Diptera","Chironomidae",,"family","family",4,"observed - gut/stomach analysis","63"
"Diphetor","Oligochaeta",193.51935193,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Diphetor",145.30024431,"Annelida","Clitellata",,,,"family","exact",3,"observed - gut/stomach analysis","63"
"Diphetor","Rhyacophila",193.51935193,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Diphetor",23.5023502361111,"Arthropoda","Insecta","Trichoptera","Rhyacophilidae","Rhyacophila","family","exact",2,"observed - gut/stomach analysis","63"
"Helodon","Cheumatopsyche",258.21332134375,"Arthropoda","Insecta","Diptera","Simuliidae","Helodon",45.0045004533333,"Arthropoda","Insecta","Trichoptera","Hydropsychidae","Cheumatopsyche","family","family",3,"observed - gut/stomach analysis","63"
"Helodon","Helodon",258.21332134375,"Arthropoda","Insecta","Diptera","Simuliidae","Helodon",258.21332134375,"Arthropoda","Insecta","Diptera","Simuliidae","Helodon","family","family",3,"observed - gut/stomach analysis","63"
"Helodon","Hydropsyche",258.21332134375,"Arthropoda","Insecta","Diptera","Simuliidae","Helodon",6.7506750675,"Arthropoda","Insecta","Trichoptera","Hydropsychidae","Hydropsyche","family","exact",1,"observed - gut/stomach analysis","63"
"Helodon","Isoperla",258.21332134375,"Arthropoda","Insecta","Diptera","Simuliidae","Helodon",27.00270027,"Arthropoda","Insecta","Plecoptera","Perlodidae","Isoperla","family","genus",2,"observed - gut/stomach analysis","63"
