"resource","consumer","res.density","res.phylum","res.class","res.order","res.family","res.genus","con.density","con.phylum","con.class","con.order","con.family","con.genus","res.method","con.method","N.records","linkevidence","source.id"
"Acari","Acari",18.00180018,"Arthropoda","Arachnida",,,,18.00180018,"Arthropoda","Arachnida",,,,"exact","exact",8,"source","http://iNaturalist.org is a place where you can record what you see in nature, meet other nature lovers, and learn about the natural world."
"Acentrella","Cheumatopsyche",9.00090009,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Acentrella",81.00810081,"Arthropoda","Insecta","Trichoptera","Hydropsychidae","Cheumatopsyche","family","family",13,"source","http://iNaturalist.org is a place where you can record what you see in nature, meet other nature lovers, and learn about the natural world."
"Acentrella","Chironomidae",9.00090009,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Acentrella",1219.621962,"Arthropoda","Insecta","Diptera","Chironomidae",,"family","family",4,"source","http://iNaturalist.org is a place where you can record what you see in nature, meet other nature lovers, and learn about the natural world."
"Acentrella","Claassenia",9.00090009,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Acentrella",49.5049505,"Arthropoda","Insecta","Plecoptera","Perlidae","Claassenia","family","family",2,"source","http://iNaturalist.org is a place where you can record what you see in nature, meet other nature lovers, and learn about the natural world."
"Acentrella","Doroneuria",9.00090009,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Acentrella",31.50315032,"Arthropoda","Insecta","Plecoptera","Perlidae","Doroneuria","family","exact",1,"source","http://iNaturalist.org is a place where you can record what you see in nature, meet other nature lovers, and learn about the natural world."
"Acentrella","Hydropsyche",9.00090009,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Acentrella",9.00090009,"Arthropoda","Insecta","Trichoptera","Hydropsychidae","Hydropsyche","family","exact",6,"source","http://iNaturalist.org is a place where you can record what you see in nature, meet other nature lovers, and learn about the natural world."
"Acentrella","Isoperla",9.00090009,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Acentrella",27.00270027,"Arthropoda","Insecta","Plecoptera","Perlodidae","Isoperla","family","exact",4,"source","http://iNaturalist.org is a place where you can record what you see in nature, meet other nature lovers, and learn about the natural world."
"Acentrella","Oligochaeta",9.00090009,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Acentrella",463.5463546,"Annelida","Clitellata",,,,"family","exact",3,"source","http://iNaturalist.org is a place where you can record what you see in nature, meet other nature lovers, and learn about the natural world."
"Acentrella","Rhyacophila",9.00090009,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Acentrella",18.00180018,"Arthropoda","Insecta","Trichoptera","Rhyacophilidae","Rhyacophila","family","exact",3,"source","http://iNaturalist.org is a place where you can record what you see in nature, meet other nature lovers, and learn about the natural world."
"Agraylea","Cheumatopsyche",18.00180018,"Arthropoda","Insecta","Trichoptera","Hydroptilidae","Agraylea",81.00810081,"Arthropoda","Insecta","Trichoptera","Hydropsychidae","Cheumatopsyche","genus","family",1,"source","http://iNaturalist.org is a place where you can record what you see in nature, meet other nature lovers, and learn about the natural world."
"Agraylea","Hydropsyche",18.00180018,"Arthropoda","Insecta","Trichoptera","Hydroptilidae","Agraylea",9.00090009,"Arthropoda","Insecta","Trichoptera","Hydropsychidae","Hydropsyche","genus","genus",1,"source","http://iNaturalist.org is a place where you can record what you see in nature, meet other nature lovers, and learn about the natural world."
"Agraylea","Rhyacophila",18.00180018,"Arthropoda","Insecta","Trichoptera","Hydroptilidae","Agraylea",18.00180018,"Arthropoda","Insecta","Trichoptera","Rhyacophilidae","Rhyacophila","genus","genus",1,"source","http://iNaturalist.org is a place where you can record what you see in nature, meet other nature lovers, and learn about the natural world."
"Baetis","Cheumatopsyche",1161.116112,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis",81.00810081,"Arthropoda","Insecta","Trichoptera","Hydropsychidae","Cheumatopsyche","exact","family",8,"source","http://iNaturalist.org is a place where you can record what you see in nature, meet other nature lovers, and learn about the natural world."
"Baetis","Chironomidae",1161.116112,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis",1219.621962,"Arthropoda","Insecta","Diptera","Chironomidae",,"exact","family",4,"source","http://iNaturalist.org is a place where you can record what you see in nature, meet other nature lovers, and learn about the natural world."
"Baetis","Claassenia",1161.116112,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis",49.5049505,"Arthropoda","Insecta","Plecoptera","Perlidae","Claassenia","exact","family",1,"source","http://iNaturalist.org is a place where you can record what you see in nature, meet other nature lovers, and learn about the natural world."
"Baetis","Doroneuria",1161.116112,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis",31.50315032,"Arthropoda","Insecta","Plecoptera","Perlidae","Doroneuria","exact","exact",1,"source","http://iNaturalist.org is a place where you can record what you see in nature, meet other nature lovers, and learn about the natural world."
"Baetis","Hydropsyche",1161.116112,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis",9.00090009,"Arthropoda","Insecta","Trichoptera","Hydropsychidae","Hydropsyche","exact","exact",6,"source","http://iNaturalist.org is a place where you can record what you see in nature, meet other nature lovers, and learn about the natural world."
"Baetis","Isoperla",1161.116112,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis",27.00270027,"Arthropoda","Insecta","Plecoptera","Perlodidae","Isoperla","exact","exact",4,"source","http://iNaturalist.org is a place where you can record what you see in nature, meet other nature lovers, and learn about the natural world."
"Baetis","Oligochaeta",1161.116112,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis",463.5463546,"Annelida","Clitellata",,,,"exact","exact",1,"source","http://iNaturalist.org is a place where you can record what you see in nature, meet other nature lovers, and learn about the natural world."
"Baetis","Rhyacophila",1161.116112,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis",18.00180018,"Arthropoda","Insecta","Trichoptera","Rhyacophilidae","Rhyacophila","exact","exact",1,"source","http://iNaturalist.org is a place where you can record what you see in nature, meet other nature lovers, and learn about the natural world."
"Callibaetis","Cheumatopsyche",270.0270027,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Callibaetis",81.00810081,"Arthropoda","Insecta","Trichoptera","Hydropsychidae","Cheumatopsyche","family","family",13,"source","http://iNaturalist.org is a place where you can record what you see in nature, meet other nature lovers, and learn about the natural world."
"Callibaetis","Chironomidae",270.0270027,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Callibaetis",1219.621962,"Arthropoda","Insecta","Diptera","Chironomidae",,"family","family",4,"source","http://iNaturalist.org is a place where you can record what you see in nature, meet other nature lovers, and learn about the natural world."
"Callibaetis","Claassenia",270.0270027,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Callibaetis",49.5049505,"Arthropoda","Insecta","Plecoptera","Perlidae","Claassenia","family","family",2,"source","http://iNaturalist.org is a place where you can record what you see in nature, meet other nature lovers, and learn about the natural world."
"Callibaetis","Doroneuria",270.0270027,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Callibaetis",31.50315032,"Arthropoda","Insecta","Plecoptera","Perlidae","Doroneuria","family","exact",1,"source","http://iNaturalist.org is a place where you can record what you see in nature, meet other nature lovers, and learn about the natural world."
"Callibaetis","Hydropsyche",270.0270027,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Callibaetis",9.00090009,"Arthropoda","Insecta","Trichoptera","Hydropsychidae","Hydropsyche","family","exact",6,"source","http://iNaturalist.org is a place where you can record what you see in nature, meet other nature lovers, and learn about the natural world."
