"node","density","phylum","class","order","family","genus"
"Allotrichoma",4.500450045,"Arthropoda","Insecta","Diptera","Ephydridae","Allotrichoma"
"Baetis",36.00360036,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis"
"Chironomidae",751.5751575,"Arthropoda","Insecta","Diptera","Chironomidae",
"Claassenia",18.00180018,"Arthropoda","Insecta","Plecoptera","Perlidae","Claassenia"
"Helodon",369.0369037,"Arthropoda","Insecta","Diptera","Simuliidae","Helodon"
"Muscidae",4.500450045,"Arthropoda","Insecta","Diptera","Muscidae","Muscidae"
"Nemertea",27.00270027,"Nemertea",,,,
"Oligochaeta",31.50315032,"Annelida","Clitellata",,,
"Pisidium",121.5121512,"Mollusca","Bivalvia","Veneroida","Pisidiidae","Pisidium"
"Prosimulium",13.50135014,"Arthropoda","Insecta","Diptera","Simuliidae","Prosimulium"
"Simulium",598.559856,"Arthropoda","Insecta","Diptera","Simuliidae","Simulium"
"Stegopterna",9.00090009,"Arthropoda","Insecta","Diptera","Simuliidae","Stegopterna"
"Turbellaria",18.00180018,"Platyhelminthes","Turbellaria",,,
"Zapada",13.50135014,"Arthropoda","Insecta","Plecoptera","Nemouridae","Zapada"
