"resource","consumer","res.density","res.phylum","res.class","res.order","res.family","res.genus","con.density","con.phylum","con.class","con.order","con.family","con.genus","res.method","con.method","N.records","linkevidence","source.id"
"Baetis","Apatania",643.5643564,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis",4.500450045,"Arthropoda","Insecta","Trichoptera","Apataniidae","Apatania","exact","order",21,"source","https://mangal.io - the ecological interaction database."
"Baetis","Cheumatopsyche",643.5643564,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis",40.50405041,"Arthropoda","Insecta","Trichoptera","Hydropsychidae","Cheumatopsyche","exact","family",8,"source","https://mangal.io - the ecological interaction database."
"Baetis","Chironomidae",643.5643564,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis",949.5949595,"Arthropoda","Insecta","Diptera","Chironomidae",,"exact","family",4,"source","https://mangal.io - the ecological interaction database."
"Baetis","Hydropsyche",643.5643564,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis",9.00090009,"Arthropoda","Insecta","Trichoptera","Hydropsychidae","Hydropsyche","exact","exact",6,"source","https://mangal.io - the ecological interaction database."
"Baetis","Ochrotrichia",643.5643564,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis",4.500450045,"Arthropoda","Insecta","Trichoptera","Hydroptilidae","Ochrotrichia","exact","order",21,"source","https://mangal.io - the ecological interaction database."
"Baetis","Oligochaeta",643.5643564,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis",36.00360036,"Annelida","Clitellata",,,,"exact","exact",1,"source","https://mangal.io - the ecological interaction database."
"Baetis","Oreogeton",643.5643564,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis",4.500450045,"Arthropoda","Insecta","Diptera","Empididae","Oreogeton","exact","order",4,"source","https://mangal.io - the ecological interaction database."
"Baetis","Rhyacophila",643.5643564,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis",13.50135014,"Arthropoda","Insecta","Trichoptera","Rhyacophilidae","Rhyacophila","exact","exact",1,"source","https://mangal.io - the ecological interaction database."
"Baetis","Simulium",643.5643564,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis",49.5049505,"Arthropoda","Insecta","Diptera","Simuliidae","Simulium","exact","order",4,"source","https://mangal.io - the ecological interaction database."
"Baetis","Zapada",643.5643564,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis",72.00720072,"Arthropoda","Insecta","Plecoptera","Nemouridae","Zapada","exact","order",5,"source","https://mangal.io - the ecological interaction database."
"Callibaetis","Apatania",180.0180018,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Callibaetis",4.500450045,"Arthropoda","Insecta","Trichoptera","Apataniidae","Apatania","genus","order",1,"source","https://mangal.io - the ecological interaction database."
"Callibaetis","Ochrotrichia",180.0180018,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Callibaetis",4.500450045,"Arthropoda","Insecta","Trichoptera","Hydroptilidae","Ochrotrichia","genus","order",1,"source","https://mangal.io - the ecological interaction database."
"Chironomidae","Apatania",949.5949595,"Arthropoda","Insecta","Diptera","Chironomidae",,4.500450045,"Arthropoda","Insecta","Trichoptera","Apataniidae","Apatania","exact","order",22,"source","https://mangal.io - the ecological interaction database."
"Chironomidae","Baetis",949.5949595,"Arthropoda","Insecta","Diptera","Chironomidae",,643.5643564,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis","exact","order",4,"source","https://mangal.io - the ecological interaction database."
"Chironomidae","Callibaetis",949.5949595,"Arthropoda","Insecta","Diptera","Chironomidae",,180.0180018,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Callibaetis","exact","order",4,"source","https://mangal.io - the ecological interaction database."
"Chironomidae","Cheumatopsyche",949.5949595,"Arthropoda","Insecta","Diptera","Chironomidae",,40.50405041,"Arthropoda","Insecta","Trichoptera","Hydropsychidae","Cheumatopsyche","exact","family",8,"source","https://mangal.io - the ecological interaction database."
"Chironomidae","Chironomidae",949.5949595,"Arthropoda","Insecta","Diptera","Chironomidae",,949.5949595,"Arthropoda","Insecta","Diptera","Chironomidae",,"exact","family",1,"source","https://mangal.io - the ecological interaction database."
"Chironomidae","Drunella",949.5949595,"Arthropoda","Insecta","Diptera","Chironomidae",,4.500450045,"Arthropoda","Insecta","Ephemeroptera","Ephemerellidae","Drunella","exact","family",3,"source","https://mangal.io - the ecological interaction database."
"Chironomidae","Hydropsyche",949.5949595,"Arthropoda","Insecta","Diptera","Chironomidae",,9.00090009,"Arthropoda","Insecta","Trichoptera","Hydropsychidae","Hydropsyche","exact","exact",5,"source","https://mangal.io - the ecological interaction database."
"Chironomidae","Ochrotrichia",949.5949595,"Arthropoda","Insecta","Diptera","Chironomidae",,4.500450045,"Arthropoda","Insecta","Trichoptera","Hydroptilidae","Ochrotrichia","exact","order",22,"source","https://mangal.io - the ecological interaction database."
"Chironomidae","Oreogeton",949.5949595,"Arthropoda","Insecta","Diptera","Chironomidae",,4.500450045,"Arthropoda","Insecta","Diptera","Empididae","Oreogeton","exact","exact",4,"source","https://mangal.io - the ecological interaction database."
"Chironomidae","Paraleptophlebia",949.5949595,"Arthropoda","Insecta","Diptera","Chironomidae",,18.00180018,"Arthropoda","Insecta","Ephemeroptera","Leptophlebiidae","Paraleptophlebia","exact","order",4,"source","https://mangal.io - the ecological interaction database."
"Chironomidae","Rhyacophila",949.5949595,"Arthropoda","Insecta","Diptera","Chironomidae",,13.50135014,"Arthropoda","Insecta","Trichoptera","Rhyacophilidae","Rhyacophila","exact","genus",3,"source","https://mangal.io - the ecological interaction database."
"Chironomidae","Simulium",949.5949595,"Arthropoda","Insecta","Diptera","Chironomidae",,49.5049505,"Arthropoda","Insecta","Diptera","Simuliidae","Simulium","exact","exact",1,"source","https://mangal.io - the ecological interaction database."
"Hydropsyche","Apatania",9.00090009,"Arthropoda","Insecta","Trichoptera","Hydropsychidae","Hydropsyche",4.500450045,"Arthropoda","Insecta","Trichoptera","Apataniidae","Apatania","exact","order",7,"source","https://mangal.io - the ecological interaction database."
"Hydropsyche","Cheumatopsyche",9.00090009,"Arthropoda","Insecta","Trichoptera","Hydropsychidae","Hydropsyche",40.50405041,"Arthropoda","Insecta","Trichoptera","Hydropsychidae","Cheumatopsyche","exact","order",7,"source","https://mangal.io - the ecological interaction database."
"Hydropsyche","Ochrotrichia",9.00090009,"Arthropoda","Insecta","Trichoptera","Hydropsychidae","Hydropsyche",4.500450045,"Arthropoda","Insecta","Trichoptera","Hydroptilidae","Ochrotrichia","exact","order",7,"source","https://mangal.io - the ecological interaction database."
"Hydropsyche","Rhyacophila",9.00090009,"Arthropoda","Insecta","Trichoptera","Hydropsychidae","Hydropsyche",13.50135014,"Arthropoda","Insecta","Trichoptera","Rhyacophilidae","Rhyacophila","exact","exact",1,"source","https://mangal.io - the ecological interaction database."
"Hydropsyche","Zapada",9.00090009,"Arthropoda","Insecta","Trichoptera","Hydropsychidae","Hydropsyche",72.00720072,"Arthropoda","Insecta","Plecoptera","Nemouridae","Zapada","genus","order",1,"source","https://mangal.io - the ecological interaction database."
"Oligochaeta","Apatania",36.00360036,"Annelida","Clitellata",,,,4.500450045,"Arthropoda","Insecta","Trichoptera","Apataniidae","Apatania","exact","order",16,"source","https://mangal.io - the ecological interaction database."
"Oligochaeta","Baetis",36.00360036,"Annelida","Clitellata",,,,643.5643564,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis","exact","order",1,"source","https://mangal.io - the ecological interaction database."
"Oligochaeta","Callibaetis",36.00360036,"Annelida","Clitellata",,,,180.0180018,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Callibaetis","exact","order",1,"source","https://mangal.io - the ecological interaction database."
"Oligochaeta","Cheumatopsyche",36.00360036,"Annelida","Clitellata",,,,40.50405041,"Arthropoda","Insecta","Trichoptera","Hydropsychidae","Cheumatopsyche","exact","family",3,"source","https://mangal.io - the ecological interaction database."
"Oligochaeta","Chironomidae",36.00360036,"Annelida","Clitellata",,,,949.5949595,"Arthropoda","Insecta","Diptera","Chironomidae",,"exact","family",4,"source","https://mangal.io - the ecological interaction database."
"Oligochaeta","Drunella",36.00360036,"Annelida","Clitellata",,,,4.500450045,"Arthropoda","Insecta","Ephemeroptera","Ephemerellidae","Drunella","exact","order",1,"source","https://mangal.io - the ecological interaction database."
"Oligochaeta","Hydropsyche",36.00360036,"Annelida","Clitellata",,,,9.00090009,"Arthropoda","Insecta","Trichoptera","Hydropsychidae","Hydropsyche","exact","family",3,"source","https://mangal.io - the ecological interaction database."
"Oligochaeta","Ochrotrichia",36.00360036,"Annelida","Clitellata",,,,4.500450045,"Arthropoda","Insecta","Trichoptera","Hydroptilidae","Ochrotrichia","exact","order",16,"source","https://mangal.io - the ecological interaction database."
"Oligochaeta","Oligochaeta",36.00360036,"Annelida","Clitellata",,,,36.00360036,"Annelida","Clitellata",,,,"exact","exact",2,"source","https://mangal.io - the ecological interaction database."
"Oligochaeta","Oreogeton",36.00360036,"Annelida","Clitellata",,,,4.500450045,"Arthropoda","Insecta","Diptera","Empididae","Oreogeton","exact","order",5,"source","https://mangal.io - the ecological interaction database."
"Oligochaeta","Paraleptophlebia",36.00360036,"Annelida","Clitellata",,,,18.00180018,"Arthropoda","Insecta","Ephemeroptera","Leptophlebiidae","Paraleptophlebia","exact","order",1,"source","https://mangal.io - the ecological interaction database."
"Oligochaeta","Rhyacophila",36.00360036,"Annelida","Clitellata",,,,13.50135014,"Arthropoda","Insecta","Trichoptera","Rhyacophilidae","Rhyacophila","exact","order",16,"source","https://mangal.io - the ecological interaction database."
"Oligochaeta","Simulium",36.00360036,"Annelida","Clitellata",,,,49.5049505,"Arthropoda","Insecta","Diptera","Simuliidae","Simulium","exact","order",5,"source","https://mangal.io - the ecological interaction database."
"Oligochaeta","Zapada",36.00360036,"Annelida","Clitellata",,,,72.00720072,"Arthropoda","Insecta","Plecoptera","Nemouridae","Zapada","exact","order",7,"source","https://mangal.io - the ecological interaction database."
"Paraleptophlebia","Chironomidae",18.00180018,"Arthropoda","Insecta","Ephemeroptera","Leptophlebiidae","Paraleptophlebia",949.5949595,"Arthropoda","Insecta","Diptera","Chironomidae",,"genus","family",1,"source","https://mangal.io - the ecological interaction database."
"Paraleptophlebia","Oreogeton",18.00180018,"Arthropoda","Insecta","Ephemeroptera","Leptophlebiidae","Paraleptophlebia",4.500450045,"Arthropoda","Insecta","Diptera","Empididae","Oreogeton","genus","order",1,"source","https://mangal.io - the ecological interaction database."
"Paraleptophlebia","Simulium",18.00180018,"Arthropoda","Insecta","Ephemeroptera","Leptophlebiidae","Paraleptophlebia",49.5049505,"Arthropoda","Insecta","Diptera","Simuliidae","Simulium","genus","order",1,"source","https://mangal.io - the ecological interaction database."
"Rhyacophila","Apatania",13.50135014,"Arthropoda","Insecta","Trichoptera","Rhyacophilidae","Rhyacophila",4.500450045,"Arthropoda","Insecta","Trichoptera","Apataniidae","Apatania","exact","order",2,"source","https://mangal.io - the ecological interaction database."
"Rhyacophila","Cheumatopsyche",13.50135014,"Arthropoda","Insecta","Trichoptera","Rhyacophilidae","Rhyacophila",40.50405041,"Arthropoda","Insecta","Trichoptera","Hydropsychidae","Cheumatopsyche","exact","order",2,"source","https://mangal.io - the ecological interaction database."
"Rhyacophila","Ochrotrichia",13.50135014,"Arthropoda","Insecta","Trichoptera","Rhyacophilidae","Rhyacophila",4.500450045,"Arthropoda","Insecta","Trichoptera","Hydroptilidae","Ochrotrichia","exact","order",2,"source","https://mangal.io - the ecological interaction database."
"Rhyacophila","Rhyacophila",13.50135014,"Arthropoda","Insecta","Trichoptera","Rhyacophilidae","Rhyacophila",13.50135014,"Arthropoda","Insecta","Trichoptera","Rhyacophilidae","Rhyacophila","exact","exact",1,"source","https://mangal.io - the ecological interaction database."
