"resource","consumer","res.density","res.phylum","res.class","res.order","res.family","res.genus","con.density","con.phylum","con.class","con.order","con.family","con.genus","res.method","con.method","N.records","linkevidence","source.id"
"Aedes","Aedes",4.500450045,"Arthropoda","Insecta","Diptera","Culicidae","Aedes",4.500450045,"Arthropoda","Insecta","Diptera","Culicidae","Aedes","genus","family",6,"Gilljam, D., et al. (2011). Seeing Double: Size-Based and Taxonomic Views of Food Web Structure. Advances in Ecological Research, 45, 67�133",""
"Aedes","Chironomidae",4.500450045,"Arthropoda","Insecta","Diptera","Culicidae","Aedes",184.5184518,"Arthropoda","Insecta","Diptera","Chironomidae",,"exact","family",2,"Gilljam, D., et al. (2011). Seeing Double: Size-Based and Taxonomic Views of Food Web Structure. Advances in Ecological Research, 45, 67�133",""
"Baetis","Chironomidae",58.50585059,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis",184.5184518,"Arthropoda","Insecta","Diptera","Chironomidae",,"exact","family",10,"Gilljam, D., et al. (2011). Seeing Double: Size-Based and Taxonomic Views of Food Web Structure. Advances in Ecological Research, 45, 67�133",""
"Baetis","Oligochaeta",58.50585059,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis",85.50855086,"Annelida","Clitellata",,,,"exact","exact",1,"Gilljam, D., et al. (2011). Seeing Double: Size-Based and Taxonomic Views of Food Web Structure. Advances in Ecological Research, 45, 67�133",""
"Baetis","Turbellaria",58.50585059,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis",49.5049505,"Platyhelminthes","Turbellaria",,,,"family","exact",1,"Gilljam, D., et al. (2011). Seeing Double: Size-Based and Taxonomic Views of Food Web Structure. Advances in Ecological Research, 45, 67�133",""
"Baetis","Rhyacophila",58.50585059,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis",18.00180018,"Arthropoda","Insecta","Trichoptera","Rhyacophilidae","Rhyacophila","exact","exact",4,"Gilljam, D., et al. (2011). Seeing Double: Size-Based and Taxonomic Views of Food Web Structure. Advances in Ecological Research, 45, 67�133",""
"Drunella","Rhyacophila",4.500450045,"Arthropoda","Insecta","Ephemeroptera","Ephemerellidae","Drunella",18.00180018,"Arthropoda","Insecta","Trichoptera","Rhyacophilidae","Rhyacophila","family","genus",4,"Gilljam, D., et al. (2011). Seeing Double: Size-Based and Taxonomic Views of Food Web Structure. Advances in Ecological Research, 45, 67�133",""
"Helodon","Helodon",1197.119712,"Arthropoda","Insecta","Diptera","Simuliidae","Helodon",1197.119712,"Arthropoda","Insecta","Diptera","Simuliidae","Helodon","family","family",11,"Gilljam, D., et al. (2011). Seeing Double: Size-Based and Taxonomic Views of Food Web Structure. Advances in Ecological Research, 45, 67�133",""
"Helodon","Chironomidae",1197.119712,"Arthropoda","Insecta","Diptera","Simuliidae","Helodon",184.5184518,"Arthropoda","Insecta","Diptera","Chironomidae",,"family","family",22,"Gilljam, D., et al. (2011). Seeing Double: Size-Based and Taxonomic Views of Food Web Structure. Advances in Ecological Research, 45, 67�133",""
"Helodon","Oligochaeta",1197.119712,"Arthropoda","Insecta","Diptera","Simuliidae","Helodon",85.50855086,"Annelida","Clitellata",,,,"family","exact",2,"Gilljam, D., et al. (2011). Seeing Double: Size-Based and Taxonomic Views of Food Web Structure. Advances in Ecological Research, 45, 67�133",""
