"node","density","phylum","class","order","family","genus"
"Baetis",31.50315032,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis"
"Callibaetis",9.00090009,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Callibaetis"
"Diphetor",49.5049505,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Diphetor"
"Helodon",175.5175518,"Arthropoda","Insecta","Diptera","Simuliidae","Helodon"
"Hesperoperla",9.00090009,"Arthropoda","Insecta","Plecoptera","Perlidae","Hesperoperla"
"Chironomidae",166.5166517,"Arthropoda","Insecta","Diptera","Chironomidae",
"Turbellaria",36.00360036,"Platyhelminthes","Turbellaria",,,
"Paraleptophlebia",4.500450045,"Arthropoda","Insecta","Ephemeroptera","Leptophlebiidae","Paraleptophlebia"
"Pisidium",378.0378038,"Mollusca","Bivalvia","Veneroida","Pisidiidae","Pisidium"
"Prosimulium",9.00090009,"Arthropoda","Insecta","Diptera","Simuliidae","Prosimulium"
"Rhyacophila",4.500450045,"Arthropoda","Insecta","Trichoptera","Rhyacophilidae","Rhyacophila"
"Simulium",85.50855086,"Arthropoda","Insecta","Diptera","Simuliidae","Simulium"
"Zapada",45.00450045,"Arthropoda","Insecta","Plecoptera","Nemouridae","Zapada"
