"node","density","phylum","class","order","family","genus"
"Acari",58.50585059,"Arthropoda","Arachnida",,,
"Baetis",9.00090009,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis"
"Chironomidae",2101.710171,"Arthropoda","Insecta","Diptera","Chironomidae",
"Drunella",9.00090009,"Arthropoda","Insecta","Ephemeroptera","Ephemerellidae","Drunella"
"Heteroplectron",4.500450045,"Arthropoda","Insecta","Trichoptera","Calamoceratidae","Heteroplectron"
"Ironodes",13.50135014,"Arthropoda","Insecta","Ephemeroptera","Heptageniidae","Ironodes"
"Lednia",234.0234023,"Arthropoda","Insecta","Plecoptera","Nemouridae","Lednia"
"Muscidae",4.500450045,"Arthropoda","Insecta","Diptera","Muscidae","Muscidae"
"Simulium",13.50135014,"Arthropoda","Insecta","Diptera","Simuliidae","Simulium"
"Turbellaria",9.00090009,"Platyhelminthes","Turbellaria",,,
"Zapada",31.50315032,"Arthropoda","Insecta","Plecoptera","Nemouridae","Zapada"
