"resource","consumer","res.n","res.m","res.phylum","res.class","res.order","res.family","res.genus","con.n","con.m","con.phylum","con.class","con.order","con.family","con.genus","res.method","con.method","N.records","linkevidence","source.id"
"Acari","Acari",54.00540054,0.1,"Arthropoda","Arachnida",,,,54.00540054,0.1,"Arthropoda","Arachnida",,,,"exact","exact",16,"source","Matthew D Green"
"Acentrella","Doroneuria",9.00090009,0.285232064,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Acentrella",9.00090009,47.55178364,"Arthropoda","Insecta","Plecoptera","Perlidae","Doroneuria","family","exact",1,"source","Matthew D Green"
"Acentrella","Rhyacophila",9.00090009,0.285232064,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Acentrella",13.50135014,5.337910712,"Arthropoda","Insecta","Trichoptera","Rhyacophilidae","Rhyacophila","family","exact",6,"source","Matthew D Green"
"Baetis","Doroneuria",58.50585059,0.712555345,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis",9.00090009,47.55178364,"Arthropoda","Insecta","Plecoptera","Perlidae","Doroneuria","exact","exact",1,"source","Matthew D Green"
"Baetis","Rhyacophila",58.50585059,0.712555345,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis",13.50135014,5.337910712,"Arthropoda","Insecta","Trichoptera","Rhyacophilidae","Rhyacophila","exact","exact",4,"source","Matthew D Green"
"Chironomidae","Acari",463.5463546,0.95630662,"Arthropoda","Insecta","Diptera","Chironomidae",,54.00540054,0.1,"Arthropoda","Arachnida",,,,"exact","exact",1,"source","Matthew D Green"
"Chironomidae","Chironomidae",463.5463546,0.95630662,"Arthropoda","Insecta","Diptera","Chironomidae",,463.5463546,0.95630662,"Arthropoda","Insecta","Diptera","Chironomidae",,"exact","exact",1,"source","Matthew D Green"
"Chironomidae","Dicranota",463.5463546,0.95630662,"Arthropoda","Insecta","Diptera","Chironomidae",,4.500450045,0.456662436,"Arthropoda","Insecta","Diptera","Tipulidae","Dicranota","family","exact",103,"source","Matthew D Green"
"Chironomidae","Prosimulium",463.5463546,0.95630662,"Arthropoda","Insecta","Diptera","Chironomidae",,9.00090009,0.291869328,"Arthropoda","Insecta","Diptera","Simuliidae","Prosimulium","family","exact",6,"source","Matthew D Green"
"Chironomidae","Rhyacophila",463.5463546,0.95630662,"Arthropoda","Insecta","Diptera","Chironomidae",,13.50135014,5.337910712,"Arthropoda","Insecta","Trichoptera","Rhyacophilidae","Rhyacophila","exact","genus",237,"source","Matthew D Green"
