"node","N","M","phylum","class","order","family","genus"
"Acentrella",4.500450045,0.285232064,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Acentrella"
"Agraylea",22.50225023,1.067967109,"Arthropoda","Insecta","Trichoptera","Hydroptilidae","Agraylea"
"Antocha",9.00090009,0.185248823,"Arthropoda","Insecta","Diptera","Tipulidae","Antocha"
"Baetis",63.00630063,0.712555345,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis"
"Callibaetis",4.500450045,3.974439309,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Callibaetis"
"Calliperla",4.500450045,21.29245843,"Arthropoda","Insecta","Plecoptera","Perlodidae","Calliperla"
"Chironomidae",463.5463546,0.95630662,"Arthropoda","Insecta","Diptera","Chironomidae",
"Drunella",4.500450045,4.884692448,"Arthropoda","Insecta","Ephemeroptera","Ephemerellidae","Drunella"
"Heterlimnius",49.5049505,0.562121954,"Arthropoda","Insecta","Coleoptera","Elmidae","Heterlimnius"
"Malenka",4.500450045,0.596340159,"Arthropoda","Insecta","Plecoptera","Nemouridae","Malenka"
"Oreogeton",13.50135014,0.539316267,"Arthropoda","Insecta","Diptera","Empididae","Oreogeton"
"Pisidium",364.5364536,0.102405857,"Mollusca","Bivalvia","Veneroida","Pisidiidae","Pisidium"
"Rhyacophila",45.00450045,5.337910712,"Arthropoda","Insecta","Trichoptera","Rhyacophilidae","Rhyacophila"
"Simulium",85.50855086,0.357951466,"Arthropoda","Insecta","Diptera","Simuliidae","Simulium"
"Skwala",4.500450045,67.53532213,"Arthropoda","Insecta","Plecoptera","Perlodidae","Skwala"
"Benthic.producers",1,0.001,,,,"Benthic.producers",
"Pelagic.producers",1,0.001,,,,"Pelagic.producers",
