"resource","consumer","res.n","res.m","res.phylum","res.class","res.order","res.family","res.genus","con.n","con.m","con.phylum","con.class","con.order","con.family","con.genus","res.method","con.method","N.records","linkevidence","source.id"
"Baetis","Calineuria",22.50225023,0.712555345,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis",4.500450045,82.42323092,"Arthropoda","Insecta","Plecoptera","Perlidae","Calineuria","exact","genus",1,"source","Matthew D Green"
"Baetis","Chironomidae",22.50225023,0.712555345,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis",216.0216022,0.95630662,"Arthropoda","Insecta","Diptera","Chironomidae",,"exact","family",10,"source","Matthew D Green"
"Baetis","Hesperoperla",22.50225023,0.712555345,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis",4.500450045,47.55178364,"Arthropoda","Insecta","Plecoptera","Perlidae","Hesperoperla","genus","genus",1,"source","Matthew D Green"
"Baetis","Rhyacophila",22.50225023,0.712555345,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis",13.50135014,5.337910712,"Arthropoda","Insecta","Trichoptera","Rhyacophilidae","Rhyacophila","exact","exact",4,"source","Matthew D Green"
"Baetis","Turbellaria",22.50225023,0.712555345,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis",4.500450045,0.030679362,"Platyhelminthes","Turbellaria",,,,"family","exact",1,"source","Matthew D Green"
"Calineuria","Rhyacophila",4.500450045,82.42323092,"Arthropoda","Insecta","Plecoptera","Perlidae","Calineuria",13.50135014,5.337910712,"Arthropoda","Insecta","Trichoptera","Rhyacophilidae","Rhyacophila","family","genus",2,"source","Matthew D Green"
"Centroptilum","Calineuria",9.00090009,1.851714709,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Centroptilum",4.500450045,82.42323092,"Arthropoda","Insecta","Plecoptera","Perlidae","Calineuria","family","genus",1,"source","Matthew D Green"
"Centroptilum","Chironomidae",9.00090009,1.851714709,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Centroptilum",216.0216022,0.95630662,"Arthropoda","Insecta","Diptera","Chironomidae",,"family","family",15,"source","Matthew D Green"
"Centroptilum","Hesperoperla",9.00090009,1.851714709,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Centroptilum",4.500450045,47.55178364,"Arthropoda","Insecta","Plecoptera","Perlidae","Hesperoperla","family","genus",1,"source","Matthew D Green"
"Centroptilum","Rhyacophila",9.00090009,1.851714709,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Centroptilum",13.50135014,5.337910712,"Arthropoda","Insecta","Trichoptera","Rhyacophilidae","Rhyacophila","family","exact",6,"source","Matthew D Green"
"Centroptilum","Turbellaria",9.00090009,1.851714709,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Centroptilum",4.500450045,0.030679362,"Platyhelminthes","Turbellaria",,,,"family","exact",1,"source","Matthew D Green"
"Chironomidae","Calineuria",216.0216022,0.95630662,"Arthropoda","Insecta","Diptera","Chironomidae",,4.500450045,82.42323092,"Arthropoda","Insecta","Plecoptera","Perlidae","Calineuria","exact","genus",1,"source","Matthew D Green"
"Chironomidae","Chironomidae",216.0216022,0.95630662,"Arthropoda","Insecta","Diptera","Chironomidae",,216.0216022,0.95630662,"Arthropoda","Insecta","Diptera","Chironomidae",,"exact","exact",1,"source","Matthew D Green"
"Chironomidae","Epeorus",216.0216022,0.95630662,"Arthropoda","Insecta","Diptera","Chironomidae",,9.00090009,14.45630938,"Arthropoda","Insecta","Ephemeroptera","Heptageniidae","Epeorus","exact","family",1,"source","Matthew D Green"
"Chironomidae","Hesperoperla",216.0216022,0.95630662,"Arthropoda","Insecta","Diptera","Chironomidae",,4.500450045,47.55178364,"Arthropoda","Insecta","Plecoptera","Perlidae","Hesperoperla","exact","genus",1,"source","Matthew D Green"
"Chironomidae","Ironodes",216.0216022,0.95630662,"Arthropoda","Insecta","Diptera","Chironomidae",,58.50585059,5.59637151,"Arthropoda","Insecta","Ephemeroptera","Heptageniidae","Ironodes","exact","family",1,"source","Matthew D Green"
"Chironomidae","Oreogeton",216.0216022,0.95630662,"Arthropoda","Insecta","Diptera","Chironomidae",,4.500450045,0.539316267,"Arthropoda","Insecta","Diptera","Empididae","Oreogeton","exact","exact",6,"source","Matthew D Green"
"Chironomidae","Rhyacophila",216.0216022,0.95630662,"Arthropoda","Insecta","Diptera","Chironomidae",,13.50135014,5.337910712,"Arthropoda","Insecta","Trichoptera","Rhyacophilidae","Rhyacophila","exact","genus",237,"source","Matthew D Green"
"Chironomidae","Simulium",216.0216022,0.95630662,"Arthropoda","Insecta","Diptera","Chironomidae",,9.00090009,0.357951466,"Arthropoda","Insecta","Diptera","Simuliidae","Simulium","exact","exact",5,"source","Matthew D Green"
"Chironomidae","Zapada",216.0216022,0.95630662,"Arthropoda","Insecta","Diptera","Chironomidae",,27.00270027,0.789662984,"Arthropoda","Insecta","Plecoptera","Nemouridae","Zapada","family","exact",3,"source","Matthew D Green"
"Epeorus","Calineuria",9.00090009,14.45630938,"Arthropoda","Insecta","Ephemeroptera","Heptageniidae","Epeorus",4.500450045,82.42323092,"Arthropoda","Insecta","Plecoptera","Perlidae","Calineuria","family","family",13,"source","Matthew D Green"
"Epeorus","Hesperoperla",9.00090009,14.45630938,"Arthropoda","Insecta","Ephemeroptera","Heptageniidae","Epeorus",4.500450045,47.55178364,"Arthropoda","Insecta","Plecoptera","Perlidae","Hesperoperla","family","family",13,"source","Matthew D Green"
"Epeorus","Rhyacophila",9.00090009,14.45630938,"Arthropoda","Insecta","Ephemeroptera","Heptageniidae","Epeorus",13.50135014,5.337910712,"Arthropoda","Insecta","Trichoptera","Rhyacophilidae","Rhyacophila","family","exact",4,"source","Matthew D Green"
"Hesperoperla","Rhyacophila",4.500450045,47.55178364,"Arthropoda","Insecta","Plecoptera","Perlidae","Hesperoperla",13.50135014,5.337910712,"Arthropoda","Insecta","Trichoptera","Rhyacophilidae","Rhyacophila","family","genus",2,"source","Matthew D Green"
"Ironodes","Calineuria",58.50585059,5.59637151,"Arthropoda","Insecta","Ephemeroptera","Heptageniidae","Ironodes",4.500450045,82.42323092,"Arthropoda","Insecta","Plecoptera","Perlidae","Calineuria","family","family",13,"source","Matthew D Green"
"Ironodes","Hesperoperla",58.50585059,5.59637151,"Arthropoda","Insecta","Ephemeroptera","Heptageniidae","Ironodes",4.500450045,47.55178364,"Arthropoda","Insecta","Plecoptera","Perlidae","Hesperoperla","family","family",13,"source","Matthew D Green"
