"node","N","M","phylum","class","order","family","genus"
"Acentrella",9.00090009,0.285232064,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Acentrella"
"Agraylea",18.00180018,1.067967109,"Arthropoda","Insecta","Trichoptera","Hydroptilidae","Agraylea"
"Baetis",76.50765077,0.712555345,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis"
"Callibaetis",13.50135014,3.974439309,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Callibaetis"
"Chironomidae",432.0432043,0.95630662,"Arthropoda","Insecta","Diptera","Chironomidae",
"Drunella",18.00180018,4.884692448,"Arthropoda","Insecta","Ephemeroptera","Ephemerellidae","Drunella"
"Ecclisomyia",4.500450045,9.197155302,"Arthropoda","Insecta","Trichoptera","Limnephilidae","Ecclisomyia"
"Heterlimnius",243.0243024,0.562121954,"Arthropoda","Insecta","Coleoptera","Elmidae","Heterlimnius"
"Malenka",22.50225023,0.596340159,"Arthropoda","Insecta","Plecoptera","Nemouridae","Malenka"
"Parapsyche",9.00090009,7.624553901,"Arthropoda","Insecta","Trichoptera","Hydropsychidae","Parapsyche"
"Pisidium",459.0459046,0.102405857,"Mollusca","Bivalvia","Veneroida","Pisidiidae","Pisidium"
"Rhizelmis",31.50315032,0.31573772,"Arthropoda","Insecta","Coleoptera","Elmidae","Rhizelmis"
"Rhyacophila",81.00810081,5.337910712,"Arthropoda","Insecta","Trichoptera","Rhyacophilidae","Rhyacophila"
"Simulium",81.00810081,0.357951466,"Arthropoda","Insecta","Diptera","Simuliidae","Simulium"
"Skwala",4.500450045,67.53532213,"Arthropoda","Insecta","Plecoptera","Perlodidae","Skwala"
"Zapada",4.500450045,0.789662984,"Arthropoda","Insecta","Plecoptera","Nemouridae","Zapada"
"Benthic.producers",1,0.001,,,,"Benthic.producers",
"Pelagic.producers",1,0.001,,,,"Pelagic.producers",
