"resource","consumer","res.n","res.m","res.phylum","res.class","res.order","res.family","res.genus","con.n","con.m","con.phylum","con.class","con.order","con.family","con.genus","res.method","con.method","N.records","linkevidence","source.id"
"Calineuria","Rhyacophila",4.500450045,82.42323092,"Arthropoda","Insecta","Plecoptera","Perlidae","Calineuria",4.500450045,5.337910712,"Arthropoda","Insecta","Trichoptera","Rhyacophilidae","Rhyacophila","family","genus",2,"Gilljam, D., et al. (2011). Seeing Double: Size-Based and Taxonomic Views of Food Web Structure. Advances in Ecological Research, 45, 67�133",""
"Chironomidae","Calineuria",436.5436544,0.95630662,"Arthropoda","Insecta","Diptera","Chironomidae",,4.500450045,82.42323092,"Arthropoda","Insecta","Plecoptera","Perlidae","Calineuria","exact","genus",1,"Gilljam, D., et al. (2011). Seeing Double: Size-Based and Taxonomic Views of Food Web Structure. Advances in Ecological Research, 45, 67�133",""
"Chironomidae","Chironomidae",436.5436544,0.95630662,"Arthropoda","Insecta","Diptera","Chironomidae",,436.5436544,0.95630662,"Arthropoda","Insecta","Diptera","Chironomidae",,"exact","exact",1,"Gilljam, D., et al. (2011). Seeing Double: Size-Based and Taxonomic Views of Food Web Structure. Advances in Ecological Research, 45, 67�133",""
"Chironomidae","Prosimulium",436.5436544,0.95630662,"Arthropoda","Insecta","Diptera","Chironomidae",,31.50315032,0.291869328,"Arthropoda","Insecta","Diptera","Simuliidae","Prosimulium","family","exact",6,"Gilljam, D., et al. (2011). Seeing Double: Size-Based and Taxonomic Views of Food Web Structure. Advances in Ecological Research, 45, 67�133",""
"Chironomidae","Rhyacophila",436.5436544,0.95630662,"Arthropoda","Insecta","Diptera","Chironomidae",,4.500450045,5.337910712,"Arthropoda","Insecta","Trichoptera","Rhyacophilidae","Rhyacophila","exact","genus",237,"Gilljam, D., et al. (2011). Seeing Double: Size-Based and Taxonomic Views of Food Web Structure. Advances in Ecological Research, 45, 67�133",""
"Chironomidae","Simulium",436.5436544,0.95630662,"Arthropoda","Insecta","Diptera","Chironomidae",,108.0108011,0.357951466,"Arthropoda","Insecta","Diptera","Simuliidae","Simulium","exact","exact",5,"Gilljam, D., et al. (2011). Seeing Double: Size-Based and Taxonomic Views of Food Web Structure. Advances in Ecological Research, 45, 67�133",""
"Pisidium","Rhyacophila",1602.160216,0.102405857,"Mollusca","Bivalvia","Veneroida","Pisidiidae","Pisidium",4.500450045,5.337910712,"Arthropoda","Insecta","Trichoptera","Rhyacophilidae","Rhyacophila","exact","genus",8,"Gilljam, D., et al. (2011). Seeing Double: Size-Based and Taxonomic Views of Food Web Structure. Advances in Ecological Research, 45, 67�133",""
"Prosimulium","Calineuria",31.50315032,0.291869328,"Arthropoda","Insecta","Diptera","Simuliidae","Prosimulium",4.500450045,82.42323092,"Arthropoda","Insecta","Plecoptera","Perlidae","Calineuria","family","family",17,"Gilljam, D., et al. (2011). Seeing Double: Size-Based and Taxonomic Views of Food Web Structure. Advances in Ecological Research, 45, 67�133",""
"Prosimulium","Chironomidae",31.50315032,0.291869328,"Arthropoda","Insecta","Diptera","Simuliidae","Prosimulium",436.5436544,0.95630662,"Arthropoda","Insecta","Diptera","Chironomidae",,"family","family",25,"Gilljam, D., et al. (2011). Seeing Double: Size-Based and Taxonomic Views of Food Web Structure. Advances in Ecological Research, 45, 67�133",""
"Prosimulium","Prosimulium",31.50315032,0.291869328,"Arthropoda","Insecta","Diptera","Simuliidae","Prosimulium",31.50315032,0.291869328,"Arthropoda","Insecta","Diptera","Simuliidae","Prosimulium","genus","genus",4,"Gilljam, D., et al. (2011). Seeing Double: Size-Based and Taxonomic Views of Food Web Structure. Advances in Ecological Research, 45, 67�133",""
"Prosimulium","Rhyacophila",31.50315032,0.291869328,"Arthropoda","Insecta","Diptera","Simuliidae","Prosimulium",4.500450045,5.337910712,"Arthropoda","Insecta","Trichoptera","Rhyacophilidae","Rhyacophila","genus","exact",2,"Gilljam, D., et al. (2011). Seeing Double: Size-Based and Taxonomic Views of Food Web Structure. Advances in Ecological Research, 45, 67�133",""
"Prosimulium","Simulium",31.50315032,0.291869328,"Arthropoda","Insecta","Diptera","Simuliidae","Prosimulium",108.0108011,0.357951466,"Arthropoda","Insecta","Diptera","Simuliidae","Simulium","family","exact",5,"Gilljam, D., et al. (2011). Seeing Double: Size-Based and Taxonomic Views of Food Web Structure. Advances in Ecological Research, 45, 67�133",""
