"node","N","M","phylum","class","order","family","genus"
"Baetis",22.50225023,0.712555345,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis"
"Calineuria",4.500450045,82.42323092,"Arthropoda","Insecta","Plecoptera","Perlidae","Calineuria"
"Centroptilum",9.00090009,1.851714709,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Centroptilum"
"Chironomidae",216.0216022,0.95630662,"Arthropoda","Insecta","Diptera","Chironomidae",
"Epeorus",9.00090009,14.45630938,"Arthropoda","Insecta","Ephemeroptera","Heptageniidae","Epeorus"
"Hesperoperla",4.500450045,47.55178364,"Arthropoda","Insecta","Plecoptera","Perlidae","Hesperoperla"
"Ironodes",58.50585059,5.59637151,"Arthropoda","Insecta","Ephemeroptera","Heptageniidae","Ironodes"
"Oreogeton",4.500450045,0.539316267,"Arthropoda","Insecta","Diptera","Empididae","Oreogeton"
"Pisidium",31.50315032,0.102405857,"Mollusca","Bivalvia","Veneroida","Pisidiidae","Pisidium"
"Rhyacophila",13.50135014,5.337910712,"Arthropoda","Insecta","Trichoptera","Rhyacophilidae","Rhyacophila"
"Simulium",9.00090009,0.357951466,"Arthropoda","Insecta","Diptera","Simuliidae","Simulium"
"Turbellaria",4.500450045,0.030679362,"Platyhelminthes","Turbellaria",,,
"Zapada",27.00270027,0.789662984,"Arthropoda","Insecta","Plecoptera","Nemouridae","Zapada"
