"node","density","phylum","class","order","family","genus"
"Acentrella",4.500450045,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Acentrella"
"Agraylea",4.500450045,"Arthropoda","Insecta","Trichoptera","Hydroptilidae","Agraylea"
"Antocha",4.500450045,"Arthropoda","Insecta","Diptera","Tipulidae","Antocha"
"Baetis",31.50315032,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis"
"Chironomidae",958.5958596,"Arthropoda","Insecta","Diptera","Chironomidae",
"Nematomorpha",13.50135014,"Nematomorpha",,,,
"Oligochaeta",90.0090009,"Annelida","Clitellata",,,
"Paraleptophlebia",4.500450045,"Arthropoda","Insecta","Ephemeroptera","Leptophlebiidae","Paraleptophlebia"
"Pisidium",76.50765077,"Mollusca","Bivalvia","Veneroida","Pisidiidae","Pisidium"
"Tipula",4.500450045,"Arthropoda","Insecta","Diptera","Tipulidae","Tipula"
