"node","density","phylum","class","order","family","genus"
"Acentrella",9.4509450955,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Acentrella"
"Agabus",4.500450045,"Arthropoda","Insecta","Coleoptera","Dytiscidae","Agabus"
"Agraylea",9.64382152571429,"Arthropoda","Insecta","Trichoptera","Hydroptilidae","Agraylea"
"Ameletus",72.00720072,"Arthropoda","Insecta","Ephemeroptera","Ameletidae","Ameletus"
"Antocha",6.7506750675,"Arthropoda","Insecta","Diptera","Tipulidae","Antocha"
"Apatania",31.50315032,"Arthropoda","Insecta","Trichoptera","Apataniidae","Apatania"
"Baetis",50.6300630065625,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis"
"Calineuria",5.62556255625,"Arthropoda","Insecta","Plecoptera","Perlidae","Calineuria"
"Callibaetis",9.0009000925,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Callibaetis"
"Calliperla",4.500450045,"Arthropoda","Insecta","Plecoptera","Perlodidae","Calliperla"
"Centroptilum",9.00090009,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Centroptilum"
"Cinygma",4.500450045,"Arthropoda","Insecta","Ephemeroptera","Heptageniidae","Cinygma"
"Desmona",43.5043504383333,"Arthropoda","Insecta","Trichoptera","Limnephilidae","Desmona"
"Dicranota",13.501350138,"Arthropoda","Insecta","Diptera","Tipulidae","Dicranota"
"Diphetor",13.501350136,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Diphetor"
"Doroneuria",9.00090009,"Arthropoda","Insecta","Plecoptera","Perlidae","Doroneuria"
"Drunella",11.2511251125,"Arthropoda","Insecta","Ephemeroptera","Ephemerellidae","Drunella"
"Ecclisomyia",4.500450045,"Arthropoda","Insecta","Trichoptera","Limnephilidae","Ecclisomyia"
"Epeorus",9.00090009,"Arthropoda","Insecta","Ephemeroptera","Heptageniidae","Epeorus"
"Hesperoperla",4.500450045,"Arthropoda","Insecta","Plecoptera","Perlidae","Hesperoperla"
"Heterlimnius",146.26462645,"Arthropoda","Insecta","Coleoptera","Elmidae","Heterlimnius"
"Ironodes",58.50585059,"Arthropoda","Insecta","Ephemeroptera","Heptageniidae","Ironodes"
"Malenka",13.5013501375,"Arthropoda","Insecta","Plecoptera","Nemouridae","Malenka"
"Acari",30.8602288814286,"Arthropoda","Arachnida",,,
"Chironomidae",424.113839970952,"Arthropoda","Insecta","Diptera","Chironomidae",
"Muscidae",4.500450045,"Arthropoda","Insecta","Diptera","Muscidae","Muscidae"
"Nematomorpha",40.50405041,"Nematomorpha",,,,
"Oligochaeta",39.378937895,"Annelida","Clitellata",,,
"Turbellaria",4.500450045,"Platyhelminthes","Turbellaria",,,
"Neothremma",4.500450045,"Arthropoda","Insecta","Trichoptera","Uenoidae","Neothremma"
"Oreogeton",14.1442715714286,"Arthropoda","Insecta","Diptera","Empididae","Oreogeton"
"Paraleptophlebia",4.500450045,"Arthropoda","Insecta","Ephemeroptera","Leptophlebiidae","Paraleptophlebia"
"Parapsyche",18.00180018,"Arthropoda","Insecta","Trichoptera","Hydropsychidae","Parapsyche"
"Pisidium",386.717243147857,"Mollusca","Bivalvia","Veneroida","Pisidiidae","Pisidium"
"Prosimulium",49.1587620303846,"Arthropoda","Insecta","Diptera","Simuliidae","Prosimulium"
"Rhizelmis",31.50315032,"Arthropoda","Insecta","Coleoptera","Elmidae","Rhizelmis"
"Rhyacophila",22.5022502265,"Arthropoda","Insecta","Trichoptera","Rhyacophilidae","Rhyacophila"
"Simulium",1091.97283403545,"Arthropoda","Insecta","Diptera","Simuliidae","Simulium"
"Skwala",4.500450045,"Arthropoda","Insecta","Plecoptera","Perlodidae","Skwala"
"Tipula",4.500450045,"Arthropoda","Insecta","Diptera","Tipulidae","Tipula"
"Zapada",18.0018001807143,"Arthropoda","Insecta","Plecoptera","Nemouridae","Zapada"
