"node","density","phylum","class","order","family","genus"
"Baetis",22.50225023,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis"
"Calineuria",4.500450045,"Arthropoda","Insecta","Plecoptera","Perlidae","Calineuria"
"Centroptilum",9.00090009,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Centroptilum"
"Chironomidae",216.0216022,"Arthropoda","Insecta","Diptera","Chironomidae",
"Epeorus",9.00090009,"Arthropoda","Insecta","Ephemeroptera","Heptageniidae","Epeorus"
"Hesperoperla",4.500450045,"Arthropoda","Insecta","Plecoptera","Perlidae","Hesperoperla"
"Ironodes",58.50585059,"Arthropoda","Insecta","Ephemeroptera","Heptageniidae","Ironodes"
"Oreogeton",4.500450045,"Arthropoda","Insecta","Diptera","Empididae","Oreogeton"
"Pisidium",31.50315032,"Mollusca","Bivalvia","Veneroida","Pisidiidae","Pisidium"
"Rhyacophila",13.50135014,"Arthropoda","Insecta","Trichoptera","Rhyacophilidae","Rhyacophila"
"Simulium",9.00090009,"Arthropoda","Insecta","Diptera","Simuliidae","Simulium"
"Turbellaria",4.500450045,"Platyhelminthes","Turbellaria",,,
"Zapada",27.00270027,"Arthropoda","Insecta","Plecoptera","Nemouridae","Zapada"
