"node","density","phylum","class","order","family","genus"
"Acentrella",9.00090009,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Acentrella"
"Agraylea",18.00180018,"Arthropoda","Insecta","Trichoptera","Hydroptilidae","Agraylea"
"Baetis",76.50765077,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis"
"Callibaetis",13.50135014,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Callibaetis"
"Chironomidae",432.0432043,"Arthropoda","Insecta","Diptera","Chironomidae",
"Drunella",18.00180018,"Arthropoda","Insecta","Ephemeroptera","Ephemerellidae","Drunella"
"Ecclisomyia",4.500450045,"Arthropoda","Insecta","Trichoptera","Limnephilidae","Ecclisomyia"
"Heterlimnius",243.0243024,"Arthropoda","Insecta","Coleoptera","Elmidae","Heterlimnius"
"Malenka",22.50225023,"Arthropoda","Insecta","Plecoptera","Nemouridae","Malenka"
"Parapsyche",9.00090009,"Arthropoda","Insecta","Trichoptera","Hydropsychidae","Parapsyche"
"Pisidium",459.0459046,"Mollusca","Bivalvia","Veneroida","Pisidiidae","Pisidium"
"Rhizelmis",31.50315032,"Arthropoda","Insecta","Coleoptera","Elmidae","Rhizelmis"
"Rhyacophila",81.00810081,"Arthropoda","Insecta","Trichoptera","Rhyacophilidae","Rhyacophila"
"Simulium",81.00810081,"Arthropoda","Insecta","Diptera","Simuliidae","Simulium"
"Skwala",4.500450045,"Arthropoda","Insecta","Plecoptera","Perlodidae","Skwala"
"Zapada",4.500450045,"Arthropoda","Insecta","Plecoptera","Nemouridae","Zapada"
