"node","density","phylum","class","order","family","genus"
"Acari",18.00180018,"Arthropoda","Arachnida",,,
"Agraylea",9.00090009,"Arthropoda","Insecta","Trichoptera","Hydroptilidae","Agraylea"
"Baetis",18.00180018,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis"
"Chironomidae",139.5139514,"Arthropoda","Insecta","Diptera","Chironomidae",
"Diphetor",4.500450045,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Diphetor"
"Oreogeton",9.00090009,"Arthropoda","Insecta","Diptera","Empididae","Oreogeton"
"Pisidium",135.0135014,"Mollusca","Bivalvia","Veneroida","Pisidiidae","Pisidium"
"Prosimulium",13.50135014,"Arthropoda","Insecta","Diptera","Simuliidae","Prosimulium"
"Rhyacophila",9.00090009,"Arthropoda","Insecta","Trichoptera","Rhyacophilidae","Rhyacophila"
"Simulium",9.00090009,"Arthropoda","Insecta","Diptera","Simuliidae","Simulium"
