"node","density","phylum","class","order","family","genus"
"Acari",94.50945095,"Arthropoda","Arachnida",,,
"Acentrella",13.50135014,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Acentrella"
"Baetis",22.50225023,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis"
"Calineuria",9.00090009,"Arthropoda","Insecta","Plecoptera","Perlidae","Calineuria"
"Chironomidae",256.5256526,"Arthropoda","Insecta","Diptera","Chironomidae",
"Ecclisomyia",4.500450045,"Arthropoda","Insecta","Trichoptera","Limnephilidae","Ecclisomyia"
"Neothremma",4.500450045,"Arthropoda","Insecta","Trichoptera","Uenoidae","Neothremma"
"Oligochaeta",49.5049505,"Annelida","Clitellata",,,
"Oreogeton",40.50405041,"Arthropoda","Insecta","Diptera","Empididae","Oreogeton"
"Pisidium",504.050405,"Mollusca","Bivalvia","Veneroida","Pisidiidae","Pisidium"
"Prosimulium",94.50945095,"Arthropoda","Insecta","Diptera","Simuliidae","Prosimulium"
"Rhyacophila",4.500450045,"Arthropoda","Insecta","Trichoptera","Rhyacophilidae","Rhyacophila"
"Simulium",90.0090009,"Arthropoda","Insecta","Diptera","Simuliidae","Simulium"
