"node","density","phylum","class","order","family","genus"
"Acentrella",4.500450045,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Acentrella"
"Baetis",45.00450045,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis"
"Chironomidae",436.5436544,"Arthropoda","Insecta","Diptera","Chironomidae",
"Dicranota",4.500450045,"Arthropoda","Insecta","Diptera","Tipulidae","Dicranota"
"Diphetor",4.500450045,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Diphetor"
"Oligochaeta",9.00090009,"Annelida","Clitellata",,,
"Oreogeton",18.00180018,"Arthropoda","Insecta","Diptera","Empididae","Oreogeton"
"Pisidium",193.5193519,"Mollusca","Bivalvia","Veneroida","Pisidiidae","Pisidium"
"Prosimulium",4.500450045,"Arthropoda","Insecta","Diptera","Simuliidae","Prosimulium"
"Rhyacophila",4.500450045,"Arthropoda","Insecta","Trichoptera","Rhyacophilidae","Rhyacophila"
"Zapada",9.00090009,"Arthropoda","Insecta","Plecoptera","Nemouridae","Zapada"
