"node","Taxonomic_name","M","Network","O.NET","Site","N","phylum","class","order","family","genus","Resolved.to"
"Acari","Acari",0.1,"LO.KERN","KERN","10035",576,"Arthropoda","Arachnida",,,,"Class"
"Baetis","Baetis",0.712555345,"LO.KERN","KERN","10035",584,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis","Genus"
"Chironomidae","Chironomidae",0.95630662,"LO.KERN","KERN","10035",2224,"Arthropoda","Insecta","Diptera","Chironomidae",,"Family"
"Desmona","Desmona",11.25992905,"LO.KERN","KERN","10035",8,"Arthropoda","Insecta","Trichoptera","Limnephilidae","Desmona","Genus"
"Ironodes","Ironodes",5.59637151,"LO.KERN","KERN","10035",48,"Arthropoda","Insecta","Ephemeroptera","Heptageniidae","Ironodes","Genus"
"Limnophora","Limnophora",0.83633613,"LO.KERN","KERN","10035",48,"Arthropoda","Insecta","Diptera","Muscidae","Limnophora","Genus"
"Monophilus","Monophilus",1.212481117,"LO.KERN","KERN","10035",8,"Arthropoda","Insecta","Diptera","Tipulidae","Monophilus","Genus"
"Paraleptophlebia","Paraleptophlebia",1.004883072,"LO.KERN","KERN","10035",8,"Arthropoda","Insecta","Ephemeroptera","Leptophlebiidae","Paraleptophlebia","Genus"
"Prosimulium","Prosimulium",0.291869328,"LO.KERN","KERN","10035",384,"Arthropoda","Insecta","Diptera","Simuliidae","Prosimulium","Genus"
"Psychoglypha","Psychoglypha",10.61210978,"LO.KERN","KERN","10035",8,"Arthropoda","Insecta","Trichoptera","Limnephilidae","Psychoglypha","Genus"
"Rhyacophila","Rhyacophila",5.337910712,"LO.KERN","KERN","10035",24,"Arthropoda","Insecta","Trichoptera","Rhyacophilidae","Rhyacophila","Genus"
"Sanfilippodytes","Sanfilippodytes",0.66911638,"LO.KERN","KERN","10035",16,"Arthropoda","Insecta","Coleoptera","Dytiscidae","Sanfilippodytes","Genus"
"Simulium","Simulium",0.357951466,"LO.KERN","KERN","10035",40,"Arthropoda","Insecta","Diptera","Simuliidae","Simulium","Genus"
"Turbellaria","Turbellaria",0.030679362,"LO.KERN","KERN","10035",40,"Platyhelminthes","Turbellaria",,,,"Class"
"Benthic.producers","Benthic.producers",0.001,"LO.KERN","KERN","10035",1,,,,"Benthic.producers",,"Family"
"Pelagic.producers","Pelagic.producers",0.001,"LO.KERN","KERN","10035",1,,,,"Pelagic.producers",,"Family"
