"node","N","M","phylum","class","order","family","genus"
"Acari",2368,0.1,"Arthropoda","Arachnida",,,
"Baetis",384,0.712555345,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis"
"Chironomidae",3488,0.95630662,"Arthropoda","Insecta","Diptera","Chironomidae",
"Dicosmoecus",10.66666667,7.071423253,"Arthropoda","Insecta","Trichoptera","Limnephilidae","Dicosmoecus"
"Dicranota",21.33333333,0.456662436,"Arthropoda","Insecta","Diptera","Tipulidae","Dicranota"
"Doroneuria",10.66666667,47.55178364,"Arthropoda","Insecta","Plecoptera","Perlidae","Doroneuria"
"Ironodes",21.33333333,5.59637151,"Arthropoda","Insecta","Ephemeroptera","Heptageniidae","Ironodes"
"Limnophora",32,0.83633613,"Arthropoda","Insecta","Diptera","Muscidae","Limnophora"
"Oligochaeta",544,0.506640431,"Annelida","Clitellata",,,
"Rhyacophila",10.66666667,5.337910712,"Arthropoda","Insecta","Trichoptera","Rhyacophilidae","Rhyacophila"
"Sanfilippodytes",42.66666667,0.66911638,"Arthropoda","Insecta","Coleoptera","Dytiscidae","Sanfilippodytes"
"Simulium",128,0.357951466,"Arthropoda","Insecta","Diptera","Simuliidae","Simulium"
"Benthic.producers",1,0.001,,,,"Benthic.producers",
"Pelagic.producers",1,0.001,,,,"Pelagic.producers",
