"node","Taxonomic_name","M","Network","O.NET","Site","N","phylum","class","order","family","genus","Resolved.to"
"Acari","Acari",0.1,"UP.KERN","KERN","10030",345.6,"Arthropoda","Arachnida",,,,"Class"
"Ameletus","Ameletus",9.08748113,"UP.KERN","KERN","10030",3.2,"Arthropoda","Insecta","Ephemeroptera","Ameletidae","Ameletus","Genus"
"Baetis","Baetis",0.712555345,"UP.KERN","KERN","10030",3.2,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis","Genus"
"Callibaetis","Callibaetis",3.974439309,"UP.KERN","KERN","10030",6.4,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Callibaetis","Genus"
"Chironomidae","Chironomidae",0.95630662,"UP.KERN","KERN","10030",1129.6,"Arthropoda","Insecta","Diptera","Chironomidae",,"Family"
"Desmona","Desmona",11.25992905,"UP.KERN","KERN","10030",3.2,"Arthropoda","Insecta","Trichoptera","Limnephilidae","Desmona","Genus"
"Limnophora","Limnophora",0.83633613,"UP.KERN","KERN","10030",19.2,"Arthropoda","Insecta","Diptera","Muscidae","Limnophora","Genus"
"Oligochaeta","Oligochaeta",0.506640431,"UP.KERN","KERN","10030",304,"Annelida","Clitellata",,,,"Subclass"
"Oreodytes","Oreodytes",2.487221922,"UP.KERN","KERN","10030",3.2,"Arthropoda","Insecta","Coleoptera","Dytiscidae","Oreodytes","Genus"
"Ostracoda","Ostracoda",0.014,"UP.KERN","KERN","10030",22.4,"Arthropoda","Ostracoda",,,,"Class"
"Psychoglypha","Psychoglypha",10.61210978,"UP.KERN","KERN","10030",3.2,"Arthropoda","Insecta","Trichoptera","Limnephilidae","Psychoglypha","Genus"
"Sanfilippodytes","Sanfilippodytes",0.66911638,"UP.KERN","KERN","10030",3.2,"Arthropoda","Insecta","Coleoptera","Dytiscidae","Sanfilippodytes","Genus"
"Simulium","Simulium",0.357951466,"UP.KERN","KERN","10030",38.4,"Arthropoda","Insecta","Diptera","Simuliidae","Simulium","Genus"
"Benthic.producers","Benthic.producers",0.001,"LO.KERN","KERN","10030",1,,,,"Benthic.producers",,"Family"
"Pelagic.producers","Pelagic.producers",0.001,"LO.KERN","KERN","10030",1,,,,"Pelagic.producers",,"Family"
