"node","N","M","phylum","class","order","family","genus"
"Acari",2880,0.1,"Arthropoda","Arachnida",,,
"Ameletus",18.28571429,9.08748113,"Arthropoda","Insecta","Ephemeroptera","Ameletidae","Ameletus"
"Baetis",201.1428571,0.712555345,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis"
"Chironomidae",1526.857143,0.95630662,"Arthropoda","Insecta","Diptera","Chironomidae",
"Dicosmoecus",9.142857143,7.071423253,"Arthropoda","Insecta","Trichoptera","Limnephilidae","Dicosmoecus"
"Dicranota",9.142857143,0.456662436,"Arthropoda","Insecta","Diptera","Tipulidae","Dicranota"
"Ecclisomyia",36.57142857,9.197155302,"Arthropoda","Insecta","Trichoptera","Limnephilidae","Ecclisomyia"
"Ironodes",18.28571429,5.59637151,"Arthropoda","Insecta","Ephemeroptera","Heptageniidae","Ironodes"
"Limnophora",9.142857143,0.83633613,"Arthropoda","Insecta","Diptera","Muscidae","Limnophora"
"Monohelea",9.142857143,0.162619632,"Arthropoda","Insecta","Diptera","Ceratopogonidae","Monohelea"
"Oligochaeta",118.8571429,0.506640431,"Annelida","Clitellata",,,
"Oreodytes",27.42857143,2.487221922,"Arthropoda","Insecta","Coleoptera","Dytiscidae","Oreodytes"
"Pisidium",18.28571429,0.102405857,"Mollusca","Bivalvia","Veneroida","Pisidiidae","Pisidium"
"Polycentropus",9.142857143,2.27173375,"Arthropoda","Insecta","Trichoptera","Polycentropodidae","Polycentropus"
"Rhyacophila",9.142857143,5.337910712,"Arthropoda","Insecta","Trichoptera","Rhyacophilidae","Rhyacophila"
"Sanfilippodytes",9.142857143,0.66911638,"Arthropoda","Insecta","Coleoptera","Dytiscidae","Sanfilippodytes"
"Simulium",9.142857143,0.357951466,"Arthropoda","Insecta","Diptera","Simuliidae","Simulium"
"Turbellaria",9.142857143,0.030679362,"Platyhelminthes","Turbellaria",,,
"Benthic.producers",1,0.001,,,,"Benthic.producers",
"Pelagic.producers",1,0.001,,,,"Pelagic.producers",
