"resource","consumer","res.taxonomic_name","res.m","res.network","res.o.net","res.site","res.n","res.phylum","res.class","res.order","res.family","res.genus","res.resolved.to","con.taxonomic_name","con.m","con.network","con.o.net","con.site","con.n","con.phylum","con.class","con.order","con.family","con.genus","con.resolved.to","res.method","con.method","N.records","linkevidence","source.id"
"Acari","Acari","Acari",0.1,"UP.KERN","KERN","10032",453.8181818,"Arthropoda","Arachnida",,,,"Class","Acari",0.1,"UP.KERN","KERN","10032",453.8181818,"Arthropoda","Arachnida",,,,"Class","exact","exact",16,"Proctor, H., & Pritchard, G. (1989). Neglected Predators : Water Mites (Acari: Parasitengona: Hydrachnellae) in Freshwater Communities. Journal of the North American Benthological Society, 8(1), 100�111.",""
"Acari","Chironomidae","Acari",0.1,"UP.KERN","KERN","10032",453.8181818,"Arthropoda","Arachnida",,,,"Class","Chironomidae",0.95630662,"UP.KERN","KERN","10032",846.5454546,"Arthropoda","Insecta","Diptera","Chironomidae",,"Family","exact","family",1,"Proctor, H., & Pritchard, G. (1989). Neglected Predators : Water Mites (Acari: Parasitengona: Hydrachnellae) in Freshwater Communities. Journal of the North American Benthological Society, 8(1), 100�111.",""
"Acari","Oreodytes","Acari",0.1,"UP.KERN","KERN","10032",453.8181818,"Arthropoda","Arachnida",,,,"Class","Oreodytes",2.487221922,"UP.KERN","KERN","10032",116.3636364,"Arthropoda","Insecta","Coleoptera","Dytiscidae","Oreodytes","Genus","exact","family",16,"Proctor, H., & Pritchard, G. (1989). Neglected Predators : Water Mites (Acari: Parasitengona: Hydrachnellae) in Freshwater Communities. Journal of the North American Benthological Society, 8(1), 100�111.",""
"Baetis","Chironomidae","Baetis",0.712555345,"UP.KERN","KERN","10032",43.63636364,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis","Genus","Chironomidae",0.95630662,"UP.KERN","KERN","10032",846.5454546,"Arthropoda","Insecta","Diptera","Chironomidae",,"Family","exact","family",10,"Proctor, H., & Pritchard, G. (1989). Neglected Predators : Water Mites (Acari: Parasitengona: Hydrachnellae) in Freshwater Communities. Journal of the North American Benthological Society, 8(1), 100�111.",""
"Baetis","Oreodytes","Baetis",0.712555345,"UP.KERN","KERN","10032",43.63636364,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis","Genus","Oreodytes",2.487221922,"UP.KERN","KERN","10032",116.3636364,"Arthropoda","Insecta","Coleoptera","Dytiscidae","Oreodytes","Genus","genus","genus",6,"Proctor, H., & Pritchard, G. (1989). Neglected Predators : Water Mites (Acari: Parasitengona: Hydrachnellae) in Freshwater Communities. Journal of the North American Benthological Society, 8(1), 100�111.",""
"Baetis","Psychoglypha","Baetis",0.712555345,"UP.KERN","KERN","10032",43.63636364,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis","Genus","Psychoglypha",10.61210978,"UP.KERN","KERN","10032",11.63636364,"Arthropoda","Insecta","Trichoptera","Limnephilidae","Psychoglypha","Genus","exact","family",2,"Proctor, H., & Pritchard, G. (1989). Neglected Predators : Water Mites (Acari: Parasitengona: Hydrachnellae) in Freshwater Communities. Journal of the North American Benthological Society, 8(1), 100�111.",""
"Centroptilum","Chironomidae","Centroptilum",1.851714709,"UP.KERN","KERN","10032",17.45454545,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Centroptilum","Genus","Chironomidae",0.95630662,"UP.KERN","KERN","10032",846.5454546,"Arthropoda","Insecta","Diptera","Chironomidae",,"Family","family","family",15,"Proctor, H., & Pritchard, G. (1989). Neglected Predators : Water Mites (Acari: Parasitengona: Hydrachnellae) in Freshwater Communities. Journal of the North American Benthological Society, 8(1), 100�111.",""
"Centroptilum","Oreodytes","Centroptilum",1.851714709,"UP.KERN","KERN","10032",17.45454545,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Centroptilum","Genus","Oreodytes",2.487221922,"UP.KERN","KERN","10032",116.3636364,"Arthropoda","Insecta","Coleoptera","Dytiscidae","Oreodytes","Genus","family","genus",6,"Proctor, H., & Pritchard, G. (1989). Neglected Predators : Water Mites (Acari: Parasitengona: Hydrachnellae) in Freshwater Communities. Journal of the North American Benthological Society, 8(1), 100�111.",""
"Centroptilum","Psychoglypha","Centroptilum",1.851714709,"UP.KERN","KERN","10032",17.45454545,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Centroptilum","Genus","Psychoglypha",10.61210978,"UP.KERN","KERN","10032",11.63636364,"Arthropoda","Insecta","Trichoptera","Limnephilidae","Psychoglypha","Genus","family","family",2,"Proctor, H., & Pritchard, G. (1989). Neglected Predators : Water Mites (Acari: Parasitengona: Hydrachnellae) in Freshwater Communities. Journal of the North American Benthological Society, 8(1), 100�111.",""
"Chironomidae","Acari","Chironomidae",0.95630662,"UP.KERN","KERN","10032",846.5454546,"Arthropoda","Insecta","Diptera","Chironomidae",,"Family","Acari",0.1,"UP.KERN","KERN","10032",453.8181818,"Arthropoda","Arachnida",,,,"Class","exact","exact",1,"Proctor, H., & Pritchard, G. (1989). Neglected Predators : Water Mites (Acari: Parasitengona: Hydrachnellae) in Freshwater Communities. Journal of the North American Benthological Society, 8(1), 100�111.",""
