"node","N","M","phylum","class","order","family","genus"
"Acari",6688,0.1,"Arthropoda","Arachnida",,,
"Baetis",1056,0.712555345,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis"
"Chironomidae",2736,0.95630662,"Arthropoda","Insecta","Diptera","Chironomidae",
"Desmona",16,11.25992905,"Arthropoda","Insecta","Trichoptera","Limnephilidae","Desmona"
"Dicranota",16,0.456662436,"Arthropoda","Insecta","Diptera","Tipulidae","Dicranota"
"Ironodes",32,5.59637151,"Arthropoda","Insecta","Ephemeroptera","Heptageniidae","Ironodes"
"Muscidae",80,0.83633613,"Arthropoda","Insecta","Diptera","Muscidae","Limnophora"
"Oligochaeta",864,0.506640431,"Annelida","Clitellata",,,
"Prosimulium",112,0.291869328,"Arthropoda","Insecta","Diptera","Simuliidae","Prosimulium"
"Rhyacophila",16,5.337910712,"Arthropoda","Insecta","Trichoptera","Rhyacophilidae","Rhyacophila"
"Dytiscidae",80,0.66911638,"Arthropoda","Insecta","Coleoptera","Dytiscidae","Sanfilippodytes"
"Simulium",176,0.357951466,"Arthropoda","Insecta","Diptera","Simuliidae","Simulium"
