"resource","consumer","res.density","res.phylum","res.class","res.order","res.family","res.genus","con.density","con.phylum","con.class","con.order","con.family","con.genus","res.method","con.method","N.records","linkevidence","source.id"
"Acari","Acari",2880,"Arthropoda","Arachnida",,,,2880,"Arthropoda","Arachnida",,,,"exact","exact",8,"source","http://iNaturalist.org is a place where you can record what you see in nature, meet other nature lovers, and learn about the natural world."
"Acari","Oreodytes",2880,"Arthropoda","Arachnida",,,,27.42857143,"Arthropoda","Insecta","Coleoptera","Dytiscidae","Oreodytes","exact","family",2,"source","http://iNaturalist.org is a place where you can record what you see in nature, meet other nature lovers, and learn about the natural world."
"Acari","Dytiscidae",2880,"Arthropoda","Arachnida",,,,9.142857143,"Arthropoda","Insecta","Coleoptera","Dytiscidae","Sanfilippodytes","exact","family",2,"source","http://iNaturalist.org is a place where you can record what you see in nature, meet other nature lovers, and learn about the natural world."
"Ameletus","Oreodytes",18.28571429,"Arthropoda","Insecta","Ephemeroptera","Ameletidae","Ameletus",27.42857143,"Arthropoda","Insecta","Coleoptera","Dytiscidae","Oreodytes","exact","family",1,"source","http://iNaturalist.org is a place where you can record what you see in nature, meet other nature lovers, and learn about the natural world."
"Ameletus","Polycentropus",18.28571429,"Arthropoda","Insecta","Ephemeroptera","Ameletidae","Ameletus",9.142857143,"Arthropoda","Insecta","Trichoptera","Polycentropodidae","Polycentropus","exact","exact",1,"source","http://iNaturalist.org is a place where you can record what you see in nature, meet other nature lovers, and learn about the natural world."
"Ameletus","Dytiscidae",18.28571429,"Arthropoda","Insecta","Ephemeroptera","Ameletidae","Ameletus",9.142857143,"Arthropoda","Insecta","Coleoptera","Dytiscidae","Sanfilippodytes","exact","family",1,"source","http://iNaturalist.org is a place where you can record what you see in nature, meet other nature lovers, and learn about the natural world."
"Baetis","Chironomidae",201.1428571,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis",1526.857143,"Arthropoda","Insecta","Diptera","Chironomidae",,"exact","family",4,"source","http://iNaturalist.org is a place where you can record what you see in nature, meet other nature lovers, and learn about the natural world."
"Baetis","Oligochaeta",201.1428571,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis",118.8571429,"Annelida","Clitellata",,,,"exact","exact",1,"source","http://iNaturalist.org is a place where you can record what you see in nature, meet other nature lovers, and learn about the natural world."
"Baetis","Oreodytes",201.1428571,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis",27.42857143,"Arthropoda","Insecta","Coleoptera","Dytiscidae","Oreodytes","family","family",3,"source","http://iNaturalist.org is a place where you can record what you see in nature, meet other nature lovers, and learn about the natural world."
"Baetis","Polycentropus",201.1428571,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis",9.142857143,"Arthropoda","Insecta","Trichoptera","Polycentropodidae","Polycentropus","exact","exact",3,"source","http://iNaturalist.org is a place where you can record what you see in nature, meet other nature lovers, and learn about the natural world."
"Baetis","Rhyacophila",201.1428571,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis",9.142857143,"Arthropoda","Insecta","Trichoptera","Rhyacophilidae","Rhyacophila","exact","exact",1,"source","http://iNaturalist.org is a place where you can record what you see in nature, meet other nature lovers, and learn about the natural world."
"Baetis","Perlodidae",201.1428571,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis",9.142857143,"Arthropoda","Insecta","Plecoptera","Perlodidae","Cultus","genus","genus",2,"source","http://iNaturalist.org is a place where you can record what you see in nature, meet other nature lovers, and learn about the natural world."
"Baetis","Dytiscidae",201.1428571,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis",9.142857143,"Arthropoda","Insecta","Coleoptera","Dytiscidae","Sanfilippodytes","family","family",3,"source","http://iNaturalist.org is a place where you can record what you see in nature, meet other nature lovers, and learn about the natural world."
"Chironomidae","Chironomidae",1526.857143,"Arthropoda","Insecta","Diptera","Chironomidae",,1526.857143,"Arthropoda","Insecta","Diptera","Chironomidae",,"exact","family",1,"source","http://iNaturalist.org is a place where you can record what you see in nature, meet other nature lovers, and learn about the natural world."
"Chironomidae","Dicranota",1526.857143,"Arthropoda","Insecta","Diptera","Chironomidae",,9.142857143,"Arthropoda","Insecta","Diptera","Tipulidae","Dicranota","family","exact",23,"source","http://iNaturalist.org is a place where you can record what you see in nature, meet other nature lovers, and learn about the natural world."
"Chironomidae","Ecclisomyia",1526.857143,"Arthropoda","Insecta","Diptera","Chironomidae",,36.57142857,"Arthropoda","Insecta","Trichoptera","Limnephilidae","Ecclisomyia","family","family",12,"source","http://iNaturalist.org is a place where you can record what you see in nature, meet other nature lovers, and learn about the natural world."
"Chironomidae","Oligochaeta",1526.857143,"Arthropoda","Insecta","Diptera","Chironomidae",,118.8571429,"Annelida","Clitellata",,,,"family","exact",21,"source","http://iNaturalist.org is a place where you can record what you see in nature, meet other nature lovers, and learn about the natural world."
"Chironomidae","Oreodytes",1526.857143,"Arthropoda","Insecta","Diptera","Chironomidae",,27.42857143,"Arthropoda","Insecta","Coleoptera","Dytiscidae","Oreodytes","exact","family",27,"source","http://iNaturalist.org is a place where you can record what you see in nature, meet other nature lovers, and learn about the natural world."
"Chironomidae","Polycentropus",1526.857143,"Arthropoda","Insecta","Diptera","Chironomidae",,9.142857143,"Arthropoda","Insecta","Trichoptera","Polycentropodidae","Polycentropus","exact","exact",4,"source","http://iNaturalist.org is a place where you can record what you see in nature, meet other nature lovers, and learn about the natural world."
"Chironomidae","Rhyacophila",1526.857143,"Arthropoda","Insecta","Diptera","Chironomidae",,9.142857143,"Arthropoda","Insecta","Trichoptera","Rhyacophilidae","Rhyacophila","exact","genus",3,"source","http://iNaturalist.org is a place where you can record what you see in nature, meet other nature lovers, and learn about the natural world."
"Chironomidae","Simulium",1526.857143,"Arthropoda","Insecta","Diptera","Chironomidae",,9.142857143,"Arthropoda","Insecta","Diptera","Simuliidae","Simulium","exact","exact",1,"source","http://iNaturalist.org is a place where you can record what you see in nature, meet other nature lovers, and learn about the natural world."
"Chironomidae","Perlodidae",1526.857143,"Arthropoda","Insecta","Diptera","Chironomidae",,9.142857143,"Arthropoda","Insecta","Plecoptera","Perlodidae","Cultus","family","family",39,"source","http://iNaturalist.org is a place where you can record what you see in nature, meet other nature lovers, and learn about the natural world."
"Chironomidae","Limnephilidae",1526.857143,"Arthropoda","Insecta","Diptera","Chironomidae",,9.142857143,"Arthropoda","Insecta","Trichoptera","Limnephilidae","Dicosmoecus","family","family",12,"source","http://iNaturalist.org is a place where you can record what you see in nature, meet other nature lovers, and learn about the natural world."
"Chironomidae","Dytiscidae",1526.857143,"Arthropoda","Insecta","Diptera","Chironomidae",,9.142857143,"Arthropoda","Insecta","Coleoptera","Dytiscidae","Sanfilippodytes","exact","family",27,"source","http://iNaturalist.org is a place where you can record what you see in nature, meet other nature lovers, and learn about the natural world."
"Dicranota","Dicranota",9.142857143,"Arthropoda","Insecta","Diptera","Tipulidae","Dicranota",9.142857143,"Arthropoda","Insecta","Diptera","Tipulidae","Dicranota","exact","exact",1,"source","http://iNaturalist.org is a place where you can record what you see in nature, meet other nature lovers, and learn about the natural world."
"Ecclisomyia","Chironomidae",36.57142857,"Arthropoda","Insecta","Trichoptera","Limnephilidae","Ecclisomyia",1526.857143,"Arthropoda","Insecta","Diptera","Chironomidae",,"family","family",1,"source","http://iNaturalist.org is a place where you can record what you see in nature, meet other nature lovers, and learn about the natural world."
"Ecclisomyia","Oreodytes",36.57142857,"Arthropoda","Insecta","Trichoptera","Limnephilidae","Ecclisomyia",27.42857143,"Arthropoda","Insecta","Coleoptera","Dytiscidae","Oreodytes","family","family",13,"source","http://iNaturalist.org is a place where you can record what you see in nature, meet other nature lovers, and learn about the natural world."
"Ecclisomyia","Polycentropus",36.57142857,"Arthropoda","Insecta","Trichoptera","Limnephilidae","Ecclisomyia",9.142857143,"Arthropoda","Insecta","Trichoptera","Polycentropodidae","Polycentropus","family","exact",4,"source","http://iNaturalist.org is a place where you can record what you see in nature, meet other nature lovers, and learn about the natural world."
