"node","density","phylum","class","order","family","genus"
"Acari",808,"Arthropoda","Arachnida",,,
"Ameletus",80,"Arthropoda","Insecta","Ephemeroptera","Ameletidae","Ameletus"
"Baetis",392,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis"
"Ceratopogonidae",72,"Arthropoda","Insecta","Diptera","Ceratopogonidae","Bezzia"
"Chironomidae",2192,"Arthropoda","Insecta","Diptera","Chironomidae",
"Diptera",48,,,,,
"Doroneuria",144,"Arthropoda","Insecta","Plecoptera","Perlidae","Doroneuria"
"Drunella",80,"Arthropoda","Insecta","Ephemeroptera","Ephemerellidae","Drunella"
"Heptageniidae",48,"Arthropoda","Insecta","Ephemeroptera","Heptageniidae","Cinygmula"
"Heterlimnius",320,"Arthropoda","Insecta","Coleoptera","Elmidae","Heterlimnius"
"Leuctridae",8,"Arthropoda","Insecta","Plecoptera","Leuctridae","Despaxia"
"Limnephilidae",32,"Arthropoda","Insecta","Trichoptera","Limnephilidae","Psychoglypha"
"Micrasema",16,"Arthropoda","Insecta","Trichoptera","Brachycentridae","Micrasema"
"Neothremma",16,"Arthropoda","Insecta","Trichoptera","Uenoidae","Neothremma"
"Oligochaeta",16,"Annelida","Clitellata",,,
"Paraleptophlebia",80,"Arthropoda","Insecta","Ephemeroptera","Leptophlebiidae","Paraleptophlebia"
"Parapsyche",8,"Arthropoda","Insecta","Trichoptera","Hydropsychidae","Parapsyche"
"Pisidium",472,"Mollusca","Bivalvia","Veneroida","Pisidiidae","Pisidium"
"Rhyacophila",112,"Arthropoda","Insecta","Trichoptera","Rhyacophilidae","Rhyacophila"
"Serratella",136,"Arthropoda","Insecta","Ephemeroptera","Ephemerellidae","Serratella"
"Simulium",8,"Arthropoda","Insecta","Diptera","Simuliidae","Simulium"
"Suwallia",8,"Arthropoda","Insecta","Plecoptera","Chloroperlidae","Suwallia"
"Sweltsa",32,"Arthropoda","Insecta","Plecoptera","Chloroperlidae","Sweltsa"
"Tipulidae",16,"Arthropoda","Insecta","Diptera","Tipulidae","Limnophila"
"Turbellaria",64,"Platyhelminthes","Turbellaria",,,
"Zapada",32,"Arthropoda","Insecta","Plecoptera","Nemouridae","Zapada"
