"node","density","phylum","class","order","family","genus"
"Acari",152,"Arthropoda","Arachnida",,,
"Ameletus",84,"Arthropoda","Insecta","Ephemeroptera","Ameletidae","Ameletus"
"Baetis",8,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis"
"Chironomidae",1772,"Arthropoda","Insecta","Diptera","Chironomidae",
"Dicranota",12,"Arthropoda","Insecta","Diptera","Tipulidae","Dicranota"
"Diptera",8,,,,,
"Drunella",12,"Arthropoda","Insecta","Ephemeroptera","Ephemerellidae","Drunella"
"Heptageniidae",20,"Arthropoda","Insecta","Ephemeroptera","Heptageniidae","Cinygmula"
"Limnephilidae",16,,,,,
"Neotaenioglossa",4,"Mollusca","Gastropoda","Neotaenioglossa","Pleuroceridae",
"Oligochaeta",80,"Annelida","Clitellata",,,
"Ostracoda",16,"Arthropoda","Ostracoda",,,
"Paraleptophlebia",24,"Arthropoda","Insecta","Ephemeroptera","Leptophlebiidae","Paraleptophlebia"
"Perlodidae",20,"Arthropoda","Insecta","Plecoptera","Perlodidae","Cultus"
"Pisidium",172,"Mollusca","Bivalvia","Veneroida","Pisidiidae","Pisidium"
"Sweltsa",12,"Arthropoda","Insecta","Plecoptera","Chloroperlidae","Sweltsa"
"Turbellaria",188,"Platyhelminthes","Turbellaria",,,
